N, ROB size, RS size, Cache Size, Unrolls, Optimization Lvl, Cycles, Instructions, Icache hit, Dcache hit, ROB hzrds, RS hzrds, LSQ hzrds
1, 16, 8, 16, 1, 1, 1898, 643, 0.856855, 0.761905, 448, 34, 598
1, 16, 8, 16, 1, 2, 1898, 643, 0.856855, 0.761905, 448, 34, 598
1, 16, 8, 16, 1, 3, 1898, 643, 0.856855, 0.761905, 448, 34, 598
1, 16, 8, 16, 1, 4, 1898, 643, 0.856855, 0.761905, 448, 34, 598
1, 16, 8, 16, 1, 5, 1898, 643, 0.856855, 0.761905, 448, 34, 598
1, 16, 8, 16, 1, 6, 1898, 643, 0.856855, 0.761905, 448, 34, 598
1, 16, 8, 16, 1, 7, 1898, 643, 0.856855, 0.761905, 448, 34, 598
1, 16, 8, 16, 1, 8, 1898, 643, 0.856855, 0.761905, 448, 34, 598
1, 16, 8, 16, 2, 1, 1901, 631, 0.805211, 0.742424, 241, 11, 273
1, 16, 8, 16, 2, 2, 1901, 631, 0.805211, 0.742424, 241, 11, 273
