N, ROB size, RS size, Cache Size, Memory Latency, Branch Type, Unrolls, Optimization Lvl, Cycles, Instructions, Branch hit, Icache hit, Dcache hit, ROB hzrds, RS hzrds, LSQ hzrds
1, 12, 6, 8, 100, 1, 1, 8, 2485, 643, 0.562500, 0.348407, 0.619318, 666, 80, 39
1, 12, 6, 8, 100, 1, 2, 8, 2181, 608, 0.486486, 0.467980, 0.609756, 642, 0, 38
1, 12, 6, 8, 100, 1, 3, 8, 2202, 597, 0.513889, 0.417516, 0.596273, 584, 48, 39
1, 12, 6, 8, 100, 1, 4, 8, 2156, 592, 0.507042, 0.425373, 0.611111, 576, 76, 38
1, 12, 6, 8, 100, 2, 1, 8, 2186, 643, 0.450000, 0.488344, 0.608434, 599, 11, 39
1, 12, 6, 8, 100, 2, 2, 8, 2181, 608, 0.486486, 0.467980, 0.609756, 642, 0, 38
1, 12, 6, 8, 100, 2, 3, 8, 2159, 597, 0.500000, 0.442532, 0.596273, 580, 48, 39
1, 12, 6, 8, 100, 2, 4, 8, 2156, 592, 0.507042, 0.425373, 0.611111, 576, 76, 38
1, 12, 6, 8, 100, 3, 1, 8, 2186, 643, 0.450000, 0.488344, 0.608434, 599, 11, 39
1, 12, 6, 8, 100, 3, 2, 8, 2181, 608, 0.486486, 0.467980, 0.609756, 642, 0, 38
1, 12, 6, 8, 100, 3, 3, 8, 2159, 597, 0.500000, 0.442532, 0.596273, 580, 48, 39
1, 12, 6, 8, 100, 3, 4, 8, 2156, 592, 0.507042, 0.425373, 0.611111, 576, 76, 38
1, 12, 6, 8, 1000, 1, 1, 8, 10050, 643, 0.537500, 0.411456, 0.609467, 3419, 124, 188
1, 12, 6, 8, 1000, 1, 2, 8, 9054, 608, 0.486486, 0.460432, 0.623457, 3370, 0, 124
1, 12, 6, 8, 1000, 1, 3, 8, 9020, 597, 0.500000, 0.453012, 0.594937, 3109, 182, 188
1, 12, 6, 8, 1000, 1, 4, 8, 8932, 592, 0.507042, 0.425301, 0.614907, 2995, 226, 124
1, 12, 6, 8, 1000, 2, 1, 8, 9221, 643, 0.450000, 0.488563, 0.609756, 3497, 57, 188
