Case name,Unrolls,Optimization Lvl,IPL,N-iterations,myIPL,myN-iterations
fc_forward,1,1,11,12,11,12
fc_forward,1,2,11,12,,
fc_forward,1,3,11,12,,
fc_forward,1,4,11,12,,
fc_forward,1,5,11,12,,
fc_forward,1,6,11,12,,
fc_forward,1,7,11,12,,
fc_forward,1,8,11,12,,
fc_forward,2,1,20,6,20,6
fc_forward,2,2,20,6,,
fc_forward,2,3,19,6,19,6
fc_forward,2,4,19,6,,
fc_forward,2,5,19,6,,
fc_forward,2,6,19,6,19,6
fc_forward,2,7,16,6,16,6
fc_forward,2,8,16,6,,
fc_forward,3,1,29,4,29,4
fc_forward,3,2,29,4,,
fc_forward,3,3,27,4,27,4
fc_forward,3,4,27,4,,
fc_forward,3,5,27,4,,
fc_forward,3,6,27,4,27,4
fc_forward,3,7,21,4,21,4
fc_forward,3,8,21,4,,
fc_forward,4,1,41,3,41,3
fc_forward,4,2,41,3,,
fc_forward,4,3,38,3,38,3
fc_forward,4,4,38,3,,
fc_forward,4,5,38,3,,
fc_forward,4,6,38,3,38,3
fc_forward,4,7,26,3,26,3
fc_forward,4,8,26,3,,
