Case name,Unrolls,Optimization Lvl,IPL,N-iterations,myIPL,myN-iterations
min_distance,1,1,17,24,17,
min_distance,1,2,17,24,,
min_distance,1,3,17,24,,
min_distance,1,4,17,24,,
min_distance,1,5,17,24,,
min_distance,1,6,17,24,,
min_distance,1,7,17,24,,
min_distance,1,8,17,24,,
min_distance,2,1,33,12,33,
min_distance,2,2,33,12,,
min_distance,2,3,33,12,,
min_distance,2,4,33,12,,
min_distance,2,5,33,12,,
min_distance,2,6,33,12,,
min_distance,2,7,30,12,30,
min_distance,2,8,30,12,,
min_distance,3,1,49,8,49,
min_distance,3,2,49,8,,
min_distance,3,3,49,8,,
min_distance,3,4,49,8,,
min_distance,3,5,49,8,,
min_distance,3,6,49,8,,
min_distance,3,7,43,8,43,
min_distance,3,8,43,8,,
min_distance,4,1,65,6,65,
min_distance,4,2,65,6,,
min_distance,4,3,65,6,,
min_distance,4,4,65,6,,
min_distance,4,5,65,6,,
min_distance,4,6,65,6,,
min_distance,4,7,53,6,53,
min_distance,4,8,53,6,,
