Case name,Unrolls,Optimization Lvl,IPL,N-iterations,myIPL,myN-iterations
rv32_copy,1,1,8,16,8,16
rv32_copy,1,2,8,16,,
rv32_copy,1,3,8,16,8,16
rv32_copy,1,4,7,16,7,16
rv32_copy,1,5,7,16,,
rv32_copy,1,6,7,16,,
rv32_copy,1,7,7,16,7,16
rv32_copy,1,8,7,16,,
rv32_copy,2,1,14,8,14,8
rv32_copy,2,2,14,8,,
rv32_copy,2,3,14,8,14,8
rv32_copy,2,4,12,8,12,8
rv32_copy,2,5,12,8,,
rv32_copy,2,6,12,8,,
rv32_copy,2,7,10,8,10,8
rv32_copy,2,8,10,8,,
rv32_copy,3,1,20,5,20,5
rv32_copy,3,2,20,5,,
rv32_copy,3,3,20,5,20,5
rv32_copy,3,4,17,5,17,5
rv32_copy,3,5,17,5,,
rv32_copy,3,6,17,5,,
rv32_copy,3,7,13,5,13,5
rv32_copy,3,8,13,5,,
rv32_copy,4,1,26,4,26,4
rv32_copy,4,2,26,4,,
rv32_copy,4,3,26,4,26,4
rv32_copy,4,4,22,4,22,4
rv32_copy,4,5,22,4,,
rv32_copy,4,6,22,4,,
rv32_copy,4,7,16,4,16,4
rv32_copy,4,8,16,4,,
