Case name,Unrolls,Optimization Lvl,IPL,N-iterations,myIPL,myN-iterations
rv32_evens,1,1,7,16,7,16
rv32_evens,1,2,7,16,,
rv32_evens,1,3,7,16,7,16
rv32_evens,1,4,7,16,,
rv32_evens,1,5,7,16,,
rv32_evens,1,6,7,16,,
rv32_evens,1,7,7,16,,
rv32_evens,1,8,7,16,,
rv32_evens,2,1,12,8,12,8
rv32_evens,2,2,12,8,,
rv32_evens,2,3,12,8,12,8
rv32_evens,2,4,12,8,,
rv32_evens,2,5,12,8,,
rv32_evens,2,6,12,8,,
rv32_evens,2,7,12,8,12,8
rv32_evens,2,8,12,8,,
rv32_evens,3,1,17,5,17,5
rv32_evens,3,2,17,5,,
rv32_evens,3,3,17,5,17,5
rv32_evens,3,4,17,5,,
rv32_evens,3,5,17,5,,
rv32_evens,3,6,17,5,,
rv32_evens,3,7,17,5,17,5
rv32_evens,3,8,17,5,,
rv32_evens,4,1,22,4,22,4
rv32_evens,4,2,22,4,,
rv32_evens,4,3,22,4,22,4
rv32_evens,4,4,22,4,,
rv32_evens,4,5,22,4,,
rv32_evens,4,6,22,4,,
rv32_evens,4,7,22,4,22,4
rv32_evens,4,8,22,4,,
