Case name,Unrolls,Optimization Lvl,IPL,N-iterations,myIPL,myN-iterations
rv32_fib,1,1,10,14,10,14
rv32_fib,1,2,10,14,,
rv32_fib,1,3,10,14,10,14
rv32_fib,1,4,10,14,,
rv32_fib,1,5,10,14,,
rv32_fib,1,6,10,14,,
rv32_fib,1,7,10,14,,
rv32_fib,1,8,10,14,,
rv32_fib,2,1,18,7,18,7
rv32_fib,2,2,18,7,,
rv32_fib,2,3,18,7,18,7
rv32_fib,2,4,18,7,,
rv32_fib,2,5,18,7,,
rv32_fib,2,6,18,7,,
rv32_fib,2,7,14,7,14,7
rv32_fib,2,8,14,7,,
rv32_fib,3,1,26,4,26,4
rv32_fib,3,2,26,4,,
rv32_fib,3,3,26,4,26,4
rv32_fib,3,4,26,4,,
rv32_fib,3,5,26,4,,
rv32_fib,3,6,26,4,,
rv32_fib,3,7,18,4,18,4
rv32_fib,3,8,18,4,,
rv32_fib,4,1,34,3,34,3
rv32_fib,4,2,34,3,,
rv32_fib,4,3,34,3,34,3
rv32_fib,4,4,34,3,,
rv32_fib,4,5,34,3,,
rv32_fib,4,6,34,3,,
rv32_fib,4,7,22,3,22,3
rv32_fib,4,8,22,3,,
