Case name,Unrolls,Optimization Lvl,IPL,N-iterations,myIPL,myN-iterations
rv32_max_large,1,1,7,256,7,256
rv32_max_large,1,2,7,256,,
rv32_max_large,1,3,7,256,7,256
rv32_max_large,1,4,7,256,,
rv32_max_large,1,5,7,256,,
rv32_max_large,1,6,7,256,,
rv32_max_large,1,7,7,256,,
rv32_max_large,1,8,7,256,,
rv32_max_large,2,1,7,256,,
rv32_max_large,2,2,7,256,,
rv32_max_large,2,3,7,256,,
rv32_max_large,2,4,7,256,,
rv32_max_large,2,5,7,256,,
rv32_max_large,2,6,7,256,,
rv32_max_large,2,7,7,256,,
rv32_max_large,2,8,10,128,10,128
rv32_max_large,3,1,10,128,,
rv32_max_large,3,2,10,128,,
rv32_max_large,3,3,10,128,,
rv32_max_large,3,4,10,128,,
rv32_max_large,3,5,10,128,,
rv32_max_large,3,6,10,128,,
rv32_max_large,3,7,10,128,,
rv32_max_large,3,8,13,85,13,85
rv32_max_large,4,1,13,85,,
rv32_max_large,4,2,13,85,,
rv32_max_large,4,3,13,85,,
rv32_max_large,4,4,13,85,,
rv32_max_large,4,5,13,85,,
rv32_max_large,4,6,13,85,,
rv32_max_large,4,7,13,85,,
rv32_max_large,4,8,16,64,16,64
