Case name,Unrolls,Optimization Lvl,IPL,N-iterations,myIPL,myN-iterations
rv32_mult,1,1,20,24,20,
rv32_mult,1,2,20,24,,
rv32_mult,1,3,19,24,19,
rv32_mult,1,4,19,24,,
rv32_mult,1,5,19,24,,
rv32_mult,1,6,19,24,,
rv32_mult,1,7,19,24,,
rv32_mult,1,8,19,24,,
rv32_mult,2,1,38,12,38,
rv32_mult,2,2,38,12,,
rv32_mult,2,3,37,12,37,
rv32_mult,2,4,37,12,,
rv32_mult,2,5,37,12,,
rv32_mult,2,6,37,12,,
rv32_mult,2,7,35,12,35,
rv32_mult,2,8,35,12,,
rv32_mult,3,1,56,8,56,
rv32_mult,3,2,56,8,,
rv32_mult,3,3,55,8,55,
rv32_mult,3,4,55,8,,
rv32_mult,3,5,55,8,,
rv32_mult,3,6,55,8,,
rv32_mult,3,7,51,8,51,
rv32_mult,3,8,51,8,,
rv32_mult,4,1,74,6,74,
rv32_mult,4,2,74,6,,
rv32_mult,4,3,73,6,73,
rv32_mult,4,4,73,6,,
rv32_mult,4,5,73,6,,
rv32_mult,4,6,73,6,,
rv32_mult,4,7,67,6,67,
rv32_mult,4,8,67,6,,
