Case name,Unrolls,Optimization Lvl,IPL,N-iterations,myIPL,myN-iterations
rv32_parallel,1,1,13,48,13,48
rv32_parallel,1,2,13,48,,
rv32_parallel,1,3,13,48,,
rv32_parallel,1,4,12,48,12,48
rv32_parallel,1,5,12,48,,
rv32_parallel,1,6,12,48,,
rv32_parallel,1,7,12,48,,
rv32_parallel,1,8,12,48,,
rv32_parallel,2,1,24,24,24,24
rv32_parallel,2,2,24,24,,
rv32_parallel,2,3,23,24,23,24
rv32_parallel,2,4,22,24,22,24
rv32_parallel,2,5,22,24,,
rv32_parallel,2,6,22,24,,
rv32_parallel,2,7,21,24,21,24
rv32_parallel,2,8,21,24,,
rv32_parallel,3,1,35,16,35,16
rv32_parallel,3,2,35,16,,
rv32_parallel,3,3,33,16,33,16
rv32_parallel,3,4,32,16,32,16
rv32_parallel,3,5,32,16,,
rv32_parallel,3,6,32,16,,
rv32_parallel,3,7,30,16,30,16
rv32_parallel,3,8,30,16,,
rv32_parallel,4,1,46,12,46,12
rv32_parallel,4,2,46,12,,
rv32_parallel,4,3,43,12,43,12
rv32_parallel,4,4,42,12,42,12
rv32_parallel,4,5,42,12,,
rv32_parallel,4,6,42,12,,
rv32_parallel,4,7,39,12,39,12
rv32_parallel,4,8,39,12,,
