N, ROB size, RS size, Cache Size, Memory Latency, Branch Type, Unrolls, Optimization Lvl, Cycles, Instructions, Branch hit, Icache hit, Dcache hit, ROB hzrds, RS hzrds, LSQ hzrds
1, 12, 6, 8, 100, 1, 1, 8, 15219, 4435, 0.277011, 0.747758, 0.541702, 3145, 318, 0
1, 12, 6, 8, 100, 1, 2, 8, 16069, 3859, 0.332107, 0.352015, 0.553600, 3596, 519, 0
1, 12, 6, 8, 100, 1, 3, 8, 16167, 3667, 0.356112, 0.236969, 0.551861, 3697, 497, 0
1, 12, 6, 8, 100, 1, 4, 8, 16832, 3571, 0.424631, 0.241430, 0.571429, 3187, 479, 0
1, 12, 6, 8, 100, 2, 1, 8, 23985, 4435, 0.661251, 0.344536, 0.493857, 2197, 1055, 0
1, 12, 6, 8, 100, 2, 2, 8, 19271, 3859, 0.528059, 0.310996, 0.557489, 2772, 938, 0
1, 12, 6, 8, 100, 2, 3, 8, 17356, 3667, 0.441771, 0.273018, 0.572727, 3317, 715, 0
1, 12, 6, 8, 100, 2, 4, 8, 17441, 3571, 0.476847, 0.269941, 0.579656, 2922, 735, 0
1, 12, 6, 8, 100, 3, 1, 8, 14323, 4435, 0.235581, 0.847940, 0.552609, 2966, 316, 0
1, 12, 6, 8, 100, 3, 2, 8, 14960, 3859, 0.265869, 0.343989, 0.559902, 3838, 356, 0
1, 12, 6, 8, 100, 3, 3, 8, 15135, 3667, 0.277190, 0.230763, 0.554197, 4035, 435, 0
1, 12, 6, 8, 100, 3, 4, 8, 15871, 3571, 0.356650, 0.226080, 0.565842, 3370, 501, 0
1, 12, 6, 8, 1000, 1, 1, 8, 63219, 4435, 0.336312, 0.697616, 0.544389, 21502, 465, 0
1, 12, 6, 8, 1000, 1, 2, 8, 63745, 3859, 0.336707, 0.567055, 0.544118, 21100, 2632, 0
1, 12, 6, 8, 1000, 1, 3, 8, 70816, 3667, 0.341675, 0.284746, 0.533948, 23264, 1890, 0
1, 12, 6, 8, 1000, 1, 4, 8, 78194, 3571, 0.425616, 0.239952, 0.547881, 23163, 2378, 0
1, 12, 6, 8, 1000, 2, 1, 8, 102807, 4435, 0.661251, 0.392625, 0.479895, 19194, 1555, 0
1, 12, 6, 8, 1000, 2, 2, 8, 84623, 3859, 0.527139, 0.332830, 0.534717, 21181, 3737, 0
1, 12, 6, 8, 1000, 2, 3, 8, 79688, 3667, 0.438884, 0.261136, 0.550363, 23776, 3600, 0
1, 12, 6, 8, 1000, 2, 4, 8, 79420, 3571, 0.476847, 0.258452, 0.557920, 22486, 3322, 0
1, 12, 6, 8, 1000, 3, 1, 8, 55157, 4435, 0.235581, 0.846520, 0.544580, 22966, 323, 0
1, 12, 6, 8, 1000, 3, 2, 8, 55884, 3859, 0.265869, 0.648440, 0.566116, 20938, 2896, 0
1, 12, 6, 8, 1000, 3, 3, 8, 65781, 3667, 0.279115, 0.274720, 0.551489, 23762, 2347, 0
1, 12, 6, 8, 1000, 3, 4, 8, 70774, 3571, 0.358621, 0.253707, 0.559308, 21294, 2554, 0
1, 12, 6, 16, 100, 1, 1, 8, 13261, 4435, 0.300569, 0.961157, 0.727205, 3300, 198, 0
1, 12, 6, 16, 100, 1, 2, 8, 13754, 3859, 0.353266, 0.873698, 0.723147, 3168, 377, 0
1, 12, 6, 16, 100, 1, 3, 8, 13601, 3667, 0.341675, 0.607167, 0.735160, 2703, 233, 0
1, 12, 6, 16, 100, 1, 4, 8, 14597, 3571, 0.431527, 0.484772, 0.746362, 2267, 289, 0
1, 12, 6, 16, 100, 2, 1, 8, 18510, 4435, 0.664500, 0.868838, 0.716565, 2781, 489, 0
1, 12, 6, 16, 100, 2, 2, 8, 16057, 3859, 0.529899, 0.728464, 0.738146, 2604, 580, 0
1, 12, 6, 16, 100, 2, 3, 8, 14837, 3667, 0.440808, 0.534522, 0.754411, 2466, 279, 0
