N, ROB size, RS size, Cache Size, Unrolls, Optimization Lvl, Cycles, Instructions, Icache hit, Dcache hit, ROB hzrds, RS hzrds, LSQ hzrds
1, 16, 8, 16, 1, 1, 2063, 643, 0.740805, 0.720497, 470, 0, 40
1, 16, 8, 16, 1, 2, 2063, 643, 0.740805, 0.720497, 470, 0, 40
1, 16, 8, 16, 1, 3, 2063, 643, 0.740805, 0.720497, 470, 0, 40
1, 16, 8, 16, 1, 4, 2063, 643, 0.740805, 0.720497, 470, 0, 40
1, 16, 8, 16, 1, 5, 2063, 643, 0.740805, 0.720497, 470, 0, 40
1, 16, 8, 16, 1, 6, 2063, 643, 0.740805, 0.720497, 470, 0, 40
1, 16, 8, 16, 1, 7, 2063, 643, 0.740805, 0.720497, 470, 0, 40
1, 16, 8, 16, 1, 8, 2063, 643, 0.740805, 0.720497, 470, 0, 40
1, 16, 8, 16, 2, 1, 2053, 631, 0.704545, 0.719745, 372, 0, 40
1, 16, 8, 16, 2, 2, 2053, 631, 0.704545, 0.719745, 372, 0, 40
1, 16, 8, 16, 2, 3, 2039, 625, 0.717504, 0.723270, 454, 0, 40
1, 16, 8, 16, 2, 4, 2039, 625, 0.717504, 0.723270, 454, 0, 40
1, 16, 8, 16, 2, 5, 2039, 625, 0.717504, 0.723270, 454, 0, 40
1, 16, 8, 16, 2, 6, 2060, 626, 0.707975, 0.719745, 396, 0, 40
1, 16, 8, 16, 2, 7, 2036, 608, 0.720862, 0.723270, 472, 13, 40
1, 16, 8, 16, 2, 8, 2036, 608, 0.720862, 0.723270, 472, 13, 40
1, 16, 8, 16, 3, 1, 2041, 627, 0.699192, 0.712500, 446, 0, 49
1, 16, 8, 16, 3, 2, 2041, 627, 0.699192, 0.712500, 446, 0, 49
1, 16, 8, 16, 3, 3, 2074, 619, 0.703725, 0.691824, 495, 0, 40
1, 16, 8, 16, 3, 4, 2074, 619, 0.703725, 0.691824, 495, 0, 40
1, 16, 8, 16, 3, 5, 2074, 619, 0.703725, 0.691824, 495, 0, 40
1, 16, 8, 16, 3, 6, 2040, 621, 0.700641, 0.712500, 464, 0, 49
1, 16, 8, 16, 3, 7, 2067, 597, 0.711460, 0.691824, 512, 32, 40
1, 16, 8, 16, 3, 8, 2067, 597, 0.711460, 0.691824, 512, 32, 40
1, 16, 8, 16, 4, 1, 2058, 634, 0.666284, 0.712500, 468, 0, 40
1, 16, 8, 16, 4, 2, 2058, 634, 0.666284, 0.712500, 468, 0, 40
1, 16, 8, 16, 4, 3, 2088, 625, 0.663991, 0.710692, 408, 0, 40
1, 16, 8, 16, 4, 4, 2088, 625, 0.663991, 0.710692, 408, 0, 40
1, 16, 8, 16, 4, 5, 2088, 625, 0.663991, 0.710692, 408, 0, 40
1, 16, 8, 16, 4, 6, 2070, 628, 0.673199, 0.712500, 490, 0, 40
1, 16, 8, 16, 4, 7, 2032, 592, 0.694494, 0.712500, 460, 47, 49
1, 16, 8, 16, 4, 8, 2032, 592, 0.694494, 0.712500, 460, 47, 49
1, 16, 8, 64, 1, 1, 1687, 643, 0.887242, 0.831250, 253, 0, 26
1, 16, 8, 64, 1, 2, 1687, 643, 0.887242, 0.831250, 253, 0, 26
1, 16, 8, 64, 1, 3, 1687, 643, 0.887242, 0.831250, 253, 0, 26
1, 16, 8, 64, 1, 4, 1687, 643, 0.887242, 0.831250, 253, 0, 26
1, 16, 8, 64, 1, 5, 1687, 643, 0.887242, 0.831250, 253, 0, 26
1, 16, 8, 64, 1, 6, 1687, 643, 0.887242, 0.831250, 253, 0, 26
1, 16, 8, 64, 1, 7, 1687, 643, 0.887242, 0.831250, 253, 0, 26
1, 16, 8, 64, 1, 8, 1687, 643, 0.887242, 0.831250, 253, 0, 26
1, 16, 8, 64, 2, 1, 1685, 631, 0.878474, 0.830189, 264, 0, 26
1, 16, 8, 64, 2, 2, 1685, 631, 0.878474, 0.830189, 264, 0, 26
1, 16, 8, 64, 2, 3, 1682, 625, 0.876215, 0.831250, 265, 0, 26
1, 16, 8, 64, 2, 4, 1682, 625, 0.876215, 0.831250, 265, 0, 26
1, 16, 8, 64, 2, 5, 1682, 625, 0.876215, 0.831250, 265, 0, 26
1, 16, 8, 64, 2, 6, 1682, 626, 0.878001, 0.830189, 265, 2, 26
