N, ROB size, RS size, Cache Size, Unrolls, Optimization Lvl, Cycles, Instructions, Icache hit, Dcache hit, ROB hzrds, RS hzrds, LSQ hzrds
1, 16, 8, 16, 1, 1, 666, 131, 0.617778, 0.000000, 445, 0, 0
1, 16, 8, 16, 1, 2, 666, 131, 0.617778, 0.000000, 445, 0, 0
1, 16, 8, 16, 1, 3, 665, 131, 0.620536, 0.000000, 445, 0, 0
1, 16, 8, 16, 1, 4, 659, 115, 0.587156, 0.000000, 445, 0, 0
1, 16, 8, 16, 1, 5, 659, 115, 0.587156, 0.000000, 445, 0, 0
1, 16, 8, 16, 1, 6, 659, 115, 0.587156, 0.000000, 445, 0, 0
1, 16, 8, 16, 1, 7, 635, 116, 0.626866, 0.000000, 437, 0, 0
1, 16, 8, 16, 1, 8, 635, 116, 0.626866, 0.000000, 437, 0, 0
1, 16, 8, 16, 2, 1, 648, 115, 0.504237, 0.000000, 414, 0, 0
1, 16, 8, 16, 2, 2, 648, 115, 0.504237, 0.000000, 414, 0, 0
1, 16, 8, 16, 2, 3, 648, 115, 0.504237, 0.000000, 414, 0, 0
1, 16, 8, 16, 2, 4, 633, 99, 0.486364, 0.000000, 415, 0, 0
1, 16, 8, 16, 2, 5, 633, 99, 0.486364, 0.000000, 415, 0, 0
1, 16, 8, 16, 2, 6, 633, 99, 0.486364, 0.000000, 415, 0, 0
1, 16, 8, 16, 2, 7, 603, 85, 0.479798, 0.000000, 321, 0, 85
1, 16, 8, 16, 2, 8, 603, 85, 0.479798, 0.000000, 321, 0, 85
1, 16, 8, 16, 3, 1, 652, 107, 0.383065, 0.000000, 409, 0, 0
1, 16, 8, 16, 3, 2, 652, 107, 0.383065, 0.000000, 409, 0, 0
1, 16, 8, 16, 3, 3, 652, 107, 0.383065, 0.000000, 409, 0, 0
1, 16, 8, 16, 3, 4, 645, 92, 0.335968, 0.000000, 395, 0, 0
1, 16, 8, 16, 3, 5, 645, 92, 0.335968, 0.000000, 395, 0, 0
1, 16, 8, 16, 3, 6, 645, 92, 0.335968, 0.000000, 395, 0, 0
1, 16, 8, 16, 3, 7, 595, 74, 0.318966, 0.000000, 207, 0, 259
1, 16, 8, 16, 3, 8, 595, 74, 0.318966, 0.000000, 207, 0, 259
1, 16, 8, 16, 4, 1, 640, 107, 0.375000, 0.000000, 409, 0, 0
1, 16, 8, 16, 4, 2, 640, 107, 0.375000, 0.000000, 409, 0, 0
1, 16, 8, 16, 4, 3, 640, 107, 0.375000, 0.000000, 409, 0, 0
1, 16, 8, 16, 4, 4, 625, 91, 0.365741, 0.000000, 410, 0, 0
1, 16, 8, 16, 4, 5, 625, 91, 0.365741, 0.000000, 410, 0, 0
1, 16, 8, 16, 4, 6, 625, 91, 0.365741, 0.000000, 410, 0, 0
1, 16, 8, 16, 4, 7, 589, 71, 0.292237, 0.000000, 188, 0, 320
1, 16, 8, 16, 4, 8, 589, 71, 0.292237, 0.000000, 188, 0, 320
1, 16, 8, 64, 1, 1, 424, 131, 0.779412, 0.000000, 233, 0, 0
1, 16, 8, 64, 1, 2, 424, 131, 0.779412, 0.000000, 233, 0, 0
1, 16, 8, 64, 1, 3, 426, 131, 0.783251, 0.000000, 236, 0, 0
1, 16, 8, 64, 1, 4, 408, 115, 0.770053, 0.000000, 234, 0, 0
1, 16, 8, 64, 1, 5, 408, 115, 0.770053, 0.000000, 234, 0, 0
1, 16, 8, 64, 1, 6, 408, 115, 0.770053, 0.000000, 234, 0, 0
1, 16, 8, 64, 1, 7, 393, 116, 0.800000, 0.000000, 224, 0, 0
1, 16, 8, 64, 1, 8, 393, 116, 0.800000, 0.000000, 224, 0, 0
1, 16, 8, 64, 2, 1, 414, 115, 0.674877, 0.000000, 224, 0, 0
1, 16, 8, 64, 2, 2, 414, 115, 0.674877, 0.000000, 224, 0, 0
1, 16, 8, 64, 2, 3, 416, 115, 0.674877, 0.000000, 226, 0, 0
1, 16, 8, 64, 2, 4, 393, 99, 0.657754, 0.000000, 219, 0, 0
1, 16, 8, 64, 2, 5, 393, 99, 0.657754, 0.000000, 219, 0, 0
1, 16, 8, 64, 2, 6, 393, 99, 0.657754, 0.000000, 219, 0, 0
1, 16, 8, 64, 2, 7, 365, 85, 0.656627, 0.000000, 168, 0, 42
1, 16, 8, 64, 2, 8, 365, 85, 0.656627, 0.000000, 168, 0, 42
1, 16, 8, 64, 3, 1, 413, 107, 0.682028, 0.000000, 216, 0, 0
1, 16, 8, 64, 3, 2, 413, 107, 0.682028, 0.000000, 216, 0, 0
1, 16, 8, 64, 3, 3, 413, 107, 0.682028, 0.000000, 216, 0, 0
1, 16, 8, 64, 3, 4, 396, 92, 0.653846, 0.000000, 206, 0, 0
1, 16, 8, 64, 3, 5, 396, 92, 0.653846, 0.000000, 206, 0, 0
1, 16, 8, 64, 3, 6, 396, 92, 0.653846, 0.000000, 206, 0, 0
1, 16, 8, 64, 3, 7, 353, 74, 0.595745, 0.000000, 99, 0, 119
1, 16, 8, 64, 3, 8, 353, 74, 0.595745, 0.000000, 99, 0, 119
1, 16, 8, 64, 4, 1, 403, 107, 0.573529, 0.000000, 215, 0, 0
1, 16, 8, 64, 4, 2, 403, 107, 0.573529, 0.000000, 215, 0, 0
1, 16, 8, 64, 4, 3, 403, 107, 0.573529, 0.000000, 215, 0, 0
1, 16, 8, 64, 4, 4, 384, 91, 0.558511, 0.000000, 212, 0, 0
1, 16, 8, 64, 4, 5, 384, 91, 0.558511, 0.000000, 212, 0, 0
1, 16, 8, 64, 4, 6, 384, 91, 0.558511, 0.000000, 212, 0, 0
1, 16, 8, 64, 4, 7, 350, 71, 0.474576, 0.000000, 91, 0, 147
1, 16, 8, 64, 4, 8, 350, 71, 0.474576, 0.000000, 91, 0, 147
1, 16, 16, 16, 1, 1, 666, 131, 0.617778, 0.000000, 445, 0, 0
1, 16, 16, 16, 1, 2, 666, 131, 0.617778, 0.000000, 445, 0, 0
1, 16, 16, 16, 1, 3, 665, 131, 0.620536, 0.000000, 445, 0, 0
1, 16, 16, 16, 1, 4, 659, 115, 0.587156, 0.000000, 445, 0, 0
1, 16, 16, 16, 1, 5, 659, 115, 0.587156, 0.000000, 445, 0, 0
1, 16, 16, 16, 1, 6, 659, 115, 0.587156, 0.000000, 445, 0, 0
1, 16, 16, 16, 1, 7, 635, 116, 0.626866, 0.000000, 437, 0, 0
1, 16, 16, 16, 1, 8, 635, 116, 0.626866, 0.000000, 437, 0, 0
1, 16, 16, 16, 2, 1, 648, 115, 0.504237, 0.000000, 414, 0, 0
1, 16, 16, 16, 2, 2, 648, 115, 0.504237, 0.000000, 414, 0, 0
1, 16, 16, 16, 2, 3, 648, 115, 0.504237, 0.000000, 414, 0, 0
1, 16, 16, 16, 2, 4, 633, 99, 0.486364, 0.000000, 415, 0, 0
1, 16, 16, 16, 2, 5, 633, 99, 0.486364, 0.000000, 415, 0, 0
1, 16, 16, 16, 2, 6, 633, 99, 0.486364, 0.000000, 415, 0, 0
1, 16, 16, 16, 2, 7, 603, 85, 0.479798, 0.000000, 321, 0, 85
1, 16, 16, 16, 2, 8, 603, 85, 0.479798, 0.000000, 321, 0, 85
1, 16, 16, 16, 3, 1, 652, 107, 0.383065, 0.000000, 409, 0, 0
1, 16, 16, 16, 3, 2, 652, 107, 0.383065, 0.000000, 409, 0, 0
1, 16, 16, 16, 3, 3, 652, 107, 0.383065, 0.000000, 409, 0, 0
1, 16, 16, 16, 3, 4, 645, 92, 0.335968, 0.000000, 395, 0, 0
1, 16, 16, 16, 3, 5, 645, 92, 0.335968, 0.000000, 395, 0, 0
1, 16, 16, 16, 3, 6, 645, 92, 0.335968, 0.000000, 395, 0, 0
1, 16, 16, 16, 3, 7, 595, 74, 0.318966, 0.000000, 207, 0, 259
1, 16, 16, 16, 3, 8, 595, 74, 0.318966, 0.000000, 207, 0, 259
1, 16, 16, 16, 4, 1, 640, 107, 0.375000, 0.000000, 409, 0, 0
1, 16, 16, 16, 4, 2, 640, 107, 0.375000, 0.000000, 409, 0, 0
1, 16, 16, 16, 4, 3, 640, 107, 0.375000, 0.000000, 409, 0, 0
1, 16, 16, 16, 4, 4, 625, 91, 0.365741, 0.000000, 410, 0, 0
1, 16, 16, 16, 4, 5, 625, 91, 0.365741, 0.000000, 410, 0, 0
1, 16, 16, 16, 4, 6, 625, 91, 0.365741, 0.000000, 410, 0, 0
1, 16, 16, 16, 4, 7, 589, 71, 0.292237, 0.000000, 188, 0, 320
1, 16, 16, 16, 4, 8, 589, 71, 0.292237, 0.000000, 188, 0, 320
1, 16, 16, 64, 1, 1, 424, 131, 0.779412, 0.000000, 233, 0, 0
1, 16, 16, 64, 1, 2, 424, 131, 0.779412, 0.000000, 233, 0, 0
1, 16, 16, 64, 1, 3, 426, 131, 0.783251, 0.000000, 236, 0, 0
1, 16, 16, 64, 1, 4, 408, 115, 0.770053, 0.000000, 234, 0, 0
1, 16, 16, 64, 1, 5, 408, 115, 0.770053, 0.000000, 234, 0, 0
1, 16, 16, 64, 1, 6, 408, 115, 0.770053, 0.000000, 234, 0, 0
1, 16, 16, 64, 1, 7, 393, 116, 0.800000, 0.000000, 224, 0, 0
1, 16, 16, 64, 1, 8, 393, 116, 0.800000, 0.000000, 224, 0, 0
1, 16, 16, 64, 2, 1, 414, 115, 0.674877, 0.000000, 224, 0, 0
1, 16, 16, 64, 2, 2, 414, 115, 0.674877, 0.000000, 224, 0, 0
1, 16, 16, 64, 2, 3, 416, 115, 0.674877, 0.000000, 226, 0, 0
1, 16, 16, 64, 2, 4, 393, 99, 0.657754, 0.000000, 219, 0, 0
1, 16, 16, 64, 2, 5, 393, 99, 0.657754, 0.000000, 219, 0, 0
1, 16, 16, 64, 2, 6, 393, 99, 0.657754, 0.000000, 219, 0, 0
1, 16, 16, 64, 2, 7, 365, 85, 0.656627, 0.000000, 168, 0, 42
1, 16, 16, 64, 2, 8, 365, 85, 0.656627, 0.000000, 168, 0, 42
1, 16, 16, 64, 3, 1, 413, 107, 0.682028, 0.000000, 216, 0, 0
1, 16, 16, 64, 3, 2, 413, 107, 0.682028, 0.000000, 216, 0, 0
1, 16, 16, 64, 3, 3, 413, 107, 0.682028, 0.000000, 216, 0, 0
1, 16, 16, 64, 3, 4, 396, 92, 0.653846, 0.000000, 206, 0, 0
1, 16, 16, 64, 3, 5, 396, 92, 0.653846, 0.000000, 206, 0, 0
1, 16, 16, 64, 3, 6, 396, 92, 0.653846, 0.000000, 206, 0, 0
1, 16, 16, 64, 3, 7, 353, 74, 0.595745, 0.000000, 99, 0, 119
1, 16, 16, 64, 3, 8, 353, 74, 0.595745, 0.000000, 99, 0, 119
1, 16, 16, 64, 4, 1, 403, 107, 0.573529, 0.000000, 215, 0, 0
