N, ROB size, RS size, Cache Size, Unrolls, Optimization Lvl, Cycles, Instructions, Icache hit, Dcache hit, ROB hzrds, RS hzrds, LSQ hzrds
1, 16, 8, 16, 1, 1, 442, 149, 0.615079, 0.111111, 194, 0, 0
1, 16, 8, 16, 1, 2, 442, 149, 0.615079, 0.111111, 194, 0, 0
1, 16, 8, 16, 1, 3, 440, 149, 0.615079, 0.111111, 192, 0, 0
1, 16, 8, 16, 1, 4, 440, 149, 0.615079, 0.111111, 192, 0, 0
1, 16, 8, 16, 1, 5, 440, 149, 0.615079, 0.111111, 192, 0, 0
1, 16, 8, 16, 1, 6, 440, 149, 0.615079, 0.111111, 192, 0, 0
1, 16, 8, 16, 1, 7, 440, 149, 0.615079, 0.111111, 192, 0, 0
1, 16, 8, 16, 1, 8, 440, 149, 0.615079, 0.111111, 192, 0, 0
1, 16, 8, 16, 2, 1, 425, 135, 0.534188, 0.111111, 196, 0, 0
1, 16, 8, 16, 2, 2, 425, 135, 0.534188, 0.111111, 196, 0, 0
1, 16, 8, 16, 2, 3, 425, 135, 0.534188, 0.111111, 196, 0, 0
1, 16, 8, 16, 2, 4, 425, 135, 0.534188, 0.111111, 196, 0, 0
1, 16, 8, 16, 2, 5, 425, 135, 0.534188, 0.111111, 196, 0, 0
1, 16, 8, 16, 2, 6, 425, 135, 0.534188, 0.111111, 196, 0, 0
1, 16, 8, 16, 2, 7, 397, 107, 0.509709, 0.111111, 196, 0, 0
1, 16, 8, 16, 2, 8, 397, 107, 0.509709, 0.111111, 196, 0, 0
1, 16, 8, 16, 3, 1, 431, 124, 0.338521, 0.238095, 181, 0, 0
1, 16, 8, 16, 3, 2, 431, 124, 0.338521, 0.238095, 181, 0, 0
1, 16, 8, 16, 3, 3, 431, 124, 0.338521, 0.238095, 181, 0, 0
1, 16, 8, 16, 3, 4, 431, 124, 0.338521, 0.238095, 181, 0, 0
1, 16, 8, 16, 3, 5, 431, 124, 0.338521, 0.238095, 181, 0, 0
1, 16, 8, 16, 3, 6, 431, 124, 0.338521, 0.238095, 181, 0, 0
1, 16, 8, 16, 3, 7, 387, 89, 0.437811, 0.200000, 195, 0, 0
1, 16, 8, 16, 3, 8, 387, 89, 0.437811, 0.200000, 195, 0, 0
1, 16, 8, 16, 4, 1, 434, 125, 0.251012, 0.200000, 196, 0, 0
1, 16, 8, 16, 4, 2, 434, 125, 0.251012, 0.200000, 196, 0, 0
1, 16, 8, 16, 4, 3, 434, 125, 0.251012, 0.200000, 196, 0, 0
1, 16, 8, 16, 4, 4, 434, 125, 0.251012, 0.200000, 196, 0, 0
1, 16, 8, 16, 4, 5, 434, 125, 0.251012, 0.200000, 196, 0, 0
1, 16, 8, 16, 4, 6, 434, 125, 0.251012, 0.200000, 196, 0, 0
1, 16, 8, 16, 4, 7, 392, 89, 0.348259, 0.200000, 200, 0, 0
1, 16, 8, 16, 4, 8, 392, 89, 0.348259, 0.200000, 200, 0, 0
1, 16, 8, 64, 1, 1, 325, 149, 0.744493, 0.157895, 112, 0, 0
1, 16, 8, 64, 1, 2, 325, 149, 0.744493, 0.157895, 112, 0, 0
1, 16, 8, 64, 1, 3, 325, 149, 0.751111, 0.157895, 114, 0, 0
1, 16, 8, 64, 1, 4, 325, 149, 0.751111, 0.157895, 114, 0, 0
1, 16, 8, 64, 1, 5, 325, 149, 0.751111, 0.157895, 114, 0, 0
1, 16, 8, 64, 1, 6, 325, 149, 0.751111, 0.157895, 114, 0, 0
1, 16, 8, 64, 1, 7, 325, 149, 0.751111, 0.157895, 114, 0, 0
1, 16, 8, 64, 1, 8, 325, 149, 0.751111, 0.157895, 114, 0, 0
1, 16, 8, 64, 2, 1, 312, 135, 0.668182, 0.157895, 112, 0, 0
1, 16, 8, 64, 2, 2, 312, 135, 0.668182, 0.157895, 112, 0, 0
