N, ROB size, RS size, Cache Size, Unrolls, Optimization Lvl, Cycles, Instructions, Icache hit, Dcache hit, ROB hzrds, RS hzrds, LSQ hzrds
1, 16, 8, 16, 1, 1, 2067, 485, 0.751181, -0.010309, 1410, 24, 0
1, 16, 8, 16, 1, 2, 2067, 485, 0.751181, -0.010309, 1410, 24, 0
1, 16, 8, 16, 1, 3, 2032, 461, 0.731079, -0.010309, 1388, 25, 0
1, 16, 8, 16, 1, 4, 2032, 461, 0.731079, -0.010309, 1388, 25, 0
1, 16, 8, 16, 1, 5, 2032, 461, 0.731079, -0.010309, 1388, 25, 0
1, 16, 8, 16, 1, 6, 2032, 461, 0.731079, -0.010309, 1388, 25, 0
1, 16, 8, 16, 1, 7, 2032, 461, 0.731079, -0.010309, 1388, 25, 0
1, 16, 8, 16, 1, 8, 2032, 461, 0.731079, -0.010309, 1388, 25, 0
1, 16, 8, 16, 2, 1, 2034, 461, 0.562092, -0.010309, 1398, 28, 0
1, 16, 8, 16, 2, 2, 2034, 461, 0.562092, -0.010309, 1398, 28, 0
1, 16, 8, 16, 2, 3, 2043, 437, 0.600346, -0.010309, 1436, 31, 0
1, 16, 8, 16, 2, 4, 2043, 437, 0.600346, -0.010309, 1436, 31, 0
1, 16, 8, 16, 2, 5, 2043, 437, 0.600346, -0.010309, 1436, 31, 0
1, 16, 8, 16, 2, 6, 2043, 437, 0.600346, -0.010309, 1436, 31, 0
1, 16, 8, 16, 2, 7, 2029, 425, 0.609375, -0.010309, 1424, 43, 0
1, 16, 8, 16, 2, 8, 2029, 425, 0.609375, -0.010309, 1424, 43, 0
1, 16, 8, 16, 3, 1, 2038, 453, 0.072848, -0.010309, 1406, 30, 0
1, 16, 8, 16, 3, 2, 2038, 453, 0.072848, -0.010309, 1406, 30, 0
1, 16, 8, 16, 3, 3, 2037, 429, 0.124138, -0.010309, 1428, 43, 0
1, 16, 8, 16, 3, 4, 2037, 429, 0.124138, -0.010309, 1428, 43, 0
1, 16, 8, 16, 3, 5, 2037, 429, 0.124138, -0.010309, 1428, 43, 0
