N, ROB size, RS size, Cache Size, Unrolls, Optimization Lvl, Cycles, Instructions, Icache hit, Dcache hit, ROB hzrds, RS hzrds, LSQ hzrds
1, 16, 8, 16, 1, 1, 1582, 628, 0.870702, 0.000000, 860, 0, 0
1, 16, 8, 16, 1, 2, 1582, 628, 0.870702, 0.000000, 860, 0, 0
1, 16, 8, 16, 1, 3, 1582, 628, 0.870702, 0.000000, 860, 0, 0
1, 16, 8, 16, 1, 4, 1499, 580, 0.851744, 0.000000, 816, 1, 0
1, 16, 8, 16, 1, 5, 1499, 580, 0.851744, 0.000000, 816, 1, 0
1, 16, 8, 16, 1, 6, 1499, 580, 0.851744, 0.000000, 816, 1, 0
1, 16, 8, 16, 1, 7, 1499, 580, 0.851744, 0.000000, 816, 1, 0
1, 16, 8, 16, 1, 8, 1499, 580, 0.851744, 0.000000, 816, 1, 0
1, 16, 8, 16, 2, 1, 1594, 580, 0.834320, 0.000000, 923, 6, 0
1, 16, 8, 16, 2, 2, 1594, 580, 0.834320, 0.000000, 923, 6, 0
1, 16, 8, 16, 2, 3, 1799, 556, 0.842679, 0.000000, 1160, 8, 0
1, 16, 8, 16, 2, 4, 1763, 532, 0.831210, 0.000000, 1138, 8, 0
1, 16, 8, 16, 2, 5, 1763, 532, 0.831210, 0.000000, 1138, 8, 0
1, 16, 8, 16, 2, 6, 1763, 532, 0.831210, 0.000000, 1138, 8, 0
1, 16, 8, 16, 2, 7, 1850, 510, 0.814754, 0.000000, 1233, 16, 0
1, 16, 8, 16, 2, 8, 1850, 510, 0.814754, 0.000000, 1233, 16, 0
1, 16, 8, 16, 3, 1, 1770, 564, 0.730061, 0.000000, 1123, 6, 0
1, 16, 8, 16, 3, 2, 1770, 564, 0.730061, 0.000000, 1123, 6, 0
1, 16, 8, 16, 3, 3, 1731, 532, 0.766129, 0.000000, 1114, 22, 0
1, 16, 8, 16, 3, 4, 1709, 516, 0.786297, 0.000000, 1099, 22, 0
1, 16, 8, 16, 3, 5, 1709, 516, 0.786297, 0.000000, 1099, 22, 0
1, 16, 8, 16, 3, 6, 1709, 516, 0.786297, 0.000000, 1099, 22, 0
1, 16, 8, 16, 3, 7, 1730, 490, 0.756667, 0.000000, 1123, 16, 0
1, 16, 8, 16, 3, 8, 1730, 490, 0.756667, 0.000000, 1123, 16, 0
1, 16, 8, 16, 4, 1, 1737, 556, 0.302290, 0.000000, 1087, 6, 0
1, 16, 8, 16, 4, 2, 1737, 556, 0.302290, 0.000000, 1087, 6, 0
1, 16, 8, 16, 4, 3, 1655, 520, 0.357027, 0.000000, 1039, 18, 0
1, 16, 8, 16, 4, 4, 1659, 508, 0.406919, 0.000000, 1055, 18, 0
1, 16, 8, 16, 4, 5, 1659, 508, 0.406919, 0.000000, 1055, 18, 0
1, 16, 8, 16, 4, 6, 1659, 508, 0.406919, 0.000000, 1055, 18, 0
1, 16, 8, 16, 4, 7, 1627, 480, 0.507640, 0.000000, 1031, 16, 0
1, 16, 8, 16, 4, 8, 1627, 480, 0.507640, 0.000000, 1031, 16, 0
1, 16, 8, 64, 1, 1, 1636, 628, 0.911641, 0.000000, 938, 0, 0
1, 16, 8, 64, 1, 2, 1636, 628, 0.911641, 0.000000, 938, 0, 0
1, 16, 8, 64, 1, 3, 1636, 628, 0.911641, 0.000000, 938, 0, 0
1, 16, 8, 64, 1, 4, 1573, 580, 0.908133, 0.000000, 924, 1, 0
1, 16, 8, 64, 1, 5, 1573, 580, 0.908133, 0.000000, 924, 1, 0
1, 16, 8, 64, 1, 6, 1573, 580, 0.908133, 0.000000, 924, 1, 0
1, 16, 8, 64, 1, 7, 1573, 580, 0.908133, 0.000000, 924, 1, 0
1, 16, 8, 64, 1, 8, 1573, 580, 0.908133, 0.000000, 924, 1, 0
1, 16, 8, 64, 2, 1, 1558, 580, 0.896813, 0.000000, 921, 17, 0
1, 16, 8, 64, 2, 2, 1558, 580, 0.896813, 0.000000, 921, 17, 0
1, 16, 8, 64, 2, 3, 1643, 556, 0.894488, 0.000000, 1028, 8, 0
1, 16, 8, 64, 2, 4, 1596, 532, 0.891980, 0.000000, 1005, 8, 0
1, 16, 8, 64, 2, 5, 1596, 532, 0.891980, 0.000000, 1005, 8, 0
1, 16, 8, 64, 2, 6, 1596, 532, 0.891980, 0.000000, 1005, 8, 0
1, 16, 8, 64, 2, 7, 1488, 510, 0.868552, 0.000000, 897, 16, 0
1, 16, 8, 64, 2, 8, 1488, 510, 0.868552, 0.000000, 897, 16, 0
1, 16, 8, 64, 3, 1, 1625, 564, 0.865031, 0.000000, 995, 6, 0
1, 16, 8, 64, 3, 2, 1625, 564, 0.865031, 0.000000, 995, 6, 0
1, 16, 8, 64, 3, 3, 1591, 532, 0.861290, 0.000000, 991, 22, 0
1, 16, 8, 64, 3, 4, 1559, 516, 0.860697, 0.000000, 976, 22, 0
1, 16, 8, 64, 3, 5, 1559, 516, 0.860697, 0.000000, 976, 22, 0
1, 16, 8, 64, 3, 6, 1559, 516, 0.860697, 0.000000, 976, 22, 0
1, 16, 8, 64, 3, 7, 1591, 490, 0.848958, 0.000000, 997, 44, 0
1, 16, 8, 64, 3, 8, 1591, 490, 0.848958, 0.000000, 997, 44, 0
1, 16, 8, 64, 4, 1, 1614, 556, 0.854232, 0.000000, 998, 16, 0
1, 16, 8, 64, 4, 2, 1614, 556, 0.854232, 0.000000, 998, 16, 0
1, 16, 8, 64, 4, 3, 1591, 520, 0.849088, 0.000000, 1007, 24, 0
1, 16, 8, 64, 4, 4, 1568, 508, 0.847716, 0.000000, 996, 24, 0
1, 16, 8, 64, 4, 5, 1568, 508, 0.847716, 0.000000, 996, 24, 0
1, 16, 8, 64, 4, 6, 1568, 508, 0.847716, 0.000000, 996, 24, 0
1, 16, 8, 64, 4, 7, 1579, 480, 0.828319, 0.000000, 1004, 36, 0
1, 16, 8, 64, 4, 8, 1579, 480, 0.828319, 0.000000, 1004, 36, 0
1, 16, 16, 16, 1, 1, 1582, 628, 0.870702, 0.000000, 860, 0, 0
1, 16, 16, 16, 1, 2, 1582, 628, 0.870702, 0.000000, 860, 0, 0
1, 16, 16, 16, 1, 3, 1582, 628, 0.870702, 0.000000, 860, 0, 0
1, 16, 16, 16, 1, 4, 1499, 580, 0.851744, 0.000000, 816, 0, 0
1, 16, 16, 16, 1, 5, 1499, 580, 0.851744, 0.000000, 816, 0, 0
1, 16, 16, 16, 1, 6, 1499, 580, 0.851744, 0.000000, 816, 0, 0
1, 16, 16, 16, 1, 7, 1499, 580, 0.851744, 0.000000, 816, 0, 0
1, 16, 16, 16, 1, 8, 1499, 580, 0.851744, 0.000000, 816, 0, 0
1, 16, 16, 16, 2, 1, 1594, 580, 0.834320, 0.000000, 927, 0, 0
1, 16, 16, 16, 2, 2, 1594, 580, 0.834320, 0.000000, 927, 0, 0
1, 16, 16, 16, 2, 3, 1799, 556, 0.842679, 0.000000, 1166, 0, 0
