N, ROB size, RS size, Cache Size, Memory Latency, Branch Type, Unrolls, Optimization Lvl, Cycles, Instructions, Branch hit, Icache hit, Dcache hit, ROB hzrds, RS hzrds, LSQ hzrds
1, 12, 6, 8, 100, 1, 1, 8, 644, 115, 0.125000, 0.584541, 0.000000, 441, 0, 0
1, 12, 6, 8, 100, 1, 2, 8, 613, 84, 0.250000, 0.441176, 0.000000, 411, 0, 0
1, 12, 6, 8, 100, 1, 3, 8, 603, 72, 0.400000, 0.336585, 0.000000, 403, 0, 0
1, 12, 6, 8, 100, 1, 4, 8, 599, 70, 0.500000, 0.314721, 0.000000, 364, 0, 39
1, 12, 6, 8, 100, 2, 1, 8, 644, 115, 0.125000, 0.584541, 0.000000, 441, 0, 0
1, 12, 6, 8, 100, 2, 2, 8, 613, 84, 0.250000, 0.441176, 0.000000, 411, 0, 0
1, 12, 6, 8, 100, 2, 3, 8, 603, 72, 0.400000, 0.336585, 0.000000, 403, 0, 0
1, 12, 6, 8, 100, 2, 4, 8, 599, 70, 0.500000, 0.314721, 0.000000, 364, 0, 39
1, 12, 6, 8, 100, 3, 1, 8, 644, 115, 0.125000, 0.584541, 0.000000, 441, 0, 0
1, 12, 6, 8, 100, 3, 2, 8, 613, 84, 0.250000, 0.441176, 0.000000, 411, 0, 0
1, 12, 6, 8, 100, 3, 3, 8, 603, 72, 0.400000, 0.336585, 0.000000, 403, 0, 0
1, 12, 6, 8, 100, 3, 4, 8, 599, 70, 0.500000, 0.314721, 0.000000, 364, 0, 39
1, 12, 6, 8, 1000, 1, 1, 8, 3445, 115, 0.125000, 0.502203, 0.000000, 2781, 0, 0
1, 12, 6, 8, 1000, 1, 2, 8, 3478, 84, 0.250000, 0.343348, 0.000000, 2595, 0, 0
1, 12, 6, 8, 1000, 1, 3, 8, 3398, 72, 0.400000, 0.260684, 0.000000, 2512, 0, 0
1, 12, 6, 8, 1000, 1, 4, 8, 3391, 70, 0.500000, 0.262443, 0.000000, 2235, 0, 279
1, 12, 6, 8, 1000, 2, 1, 8, 3445, 115, 0.125000, 0.502203, 0.000000, 2781, 0, 0
1, 12, 6, 8, 1000, 2, 2, 8, 3478, 84, 0.250000, 0.343348, 0.000000, 2595, 0, 0
1, 12, 6, 8, 1000, 2, 3, 8, 3398, 72, 0.400000, 0.260684, 0.000000, 2512, 0, 0
1, 12, 6, 8, 1000, 2, 4, 8, 3391, 70, 0.500000, 0.262443, 0.000000, 2235, 0, 279
1, 12, 6, 8, 1000, 3, 1, 8, 3445, 115, 0.125000, 0.502203, 0.000000, 2781, 0, 0
1, 12, 6, 8, 1000, 3, 2, 8, 3478, 84, 0.250000, 0.343348, 0.000000, 2595, 0, 0
1, 12, 6, 8, 1000, 3, 3, 8, 3398, 72, 0.400000, 0.260684, 0.000000, 2512, 0, 0
1, 12, 6, 8, 1000, 3, 4, 8, 3391, 70, 0.500000, 0.262443, 0.000000, 2235, 0, 279
1, 12, 6, 16, 100, 1, 1, 8, 644, 115, 0.125000, 0.628019, 0.000000, 441, 0, 0
1, 12, 6, 16, 100, 1, 2, 8, 613, 84, 0.250000, 0.441176, 0.000000, 411, 0, 0
1, 12, 6, 16, 100, 1, 3, 8, 603, 72, 0.400000, 0.346341, 0.000000, 403, 0, 0
1, 12, 6, 16, 100, 1, 4, 8, 599, 70, 0.500000, 0.314721, 0.000000, 364, 0, 39
1, 12, 6, 16, 100, 2, 1, 8, 644, 115, 0.125000, 0.628019, 0.000000, 441, 0, 0
1, 12, 6, 16, 100, 2, 2, 8, 613, 84, 0.250000, 0.441176, 0.000000, 411, 0, 0
1, 12, 6, 16, 100, 2, 3, 8, 603, 72, 0.400000, 0.346341, 0.000000, 403, 0, 0
1, 12, 6, 16, 100, 2, 4, 8, 599, 70, 0.500000, 0.314721, 0.000000, 364, 0, 39
1, 12, 6, 16, 100, 3, 1, 8, 644, 115, 0.125000, 0.628019, 0.000000, 441, 0, 0
1, 12, 6, 16, 100, 3, 2, 8, 613, 84, 0.250000, 0.441176, 0.000000, 411, 0, 0
1, 12, 6, 16, 100, 3, 3, 8, 603, 72, 0.400000, 0.346341, 0.000000, 403, 0, 0
1, 12, 6, 16, 100, 3, 4, 8, 599, 70, 0.500000, 0.314721, 0.000000, 364, 0, 39
1, 12, 6, 16, 1000, 1, 1, 8, 3445, 115, 0.125000, 0.533040, 0.000000, 2781, 0, 0
1, 12, 6, 16, 1000, 1, 2, 8, 3478, 84, 0.250000, 0.343348, 0.000000, 2595, 0, 0
1, 12, 6, 16, 1000, 1, 3, 8, 3398, 72, 0.400000, 0.260684, 0.000000, 2512, 0, 0
1, 12, 6, 16, 1000, 1, 4, 8, 3391, 70, 0.500000, 0.262443, 0.000000, 2235, 0, 279
1, 12, 6, 16, 1000, 2, 1, 8, 3445, 115, 0.125000, 0.533040, 0.000000, 2781, 0, 0
1, 12, 6, 16, 1000, 2, 2, 8, 3478, 84, 0.250000, 0.343348, 0.000000, 2595, 0, 0
1, 12, 6, 16, 1000, 2, 3, 8, 3398, 72, 0.400000, 0.260684, 0.000000, 2512, 0, 0
1, 12, 6, 16, 1000, 2, 4, 8, 3391, 70, 0.500000, 0.262443, 0.000000, 2235, 0, 279
1, 12, 6, 16, 1000, 3, 1, 8, 3445, 115, 0.125000, 0.533040, 0.000000, 2781, 0, 0
1, 12, 6, 16, 1000, 3, 2, 8, 3478, 84, 0.250000, 0.343348, 0.000000, 2595, 0, 0
1, 12, 6, 16, 1000, 3, 3, 8, 3398, 72, 0.400000, 0.260684, 0.000000, 2512, 0, 0
1, 12, 6, 16, 1000, 3, 4, 8, 3391, 70, 0.500000, 0.262443, 0.000000, 2235, 0, 279
1, 12, 6, 64, 100, 1, 1, 8, 624, 115, 0.125000, 0.710660, 0.000000, 441, 0, 0
1, 12, 6, 64, 100, 1, 2, 8, 593, 84, 0.250000, 0.541237, 0.000000, 411, 0, 0
