N, ROB size, RS size, Cache Size, Memory Latency, Branch Type, Unrolls, Optimization Lvl, Cycles, Instructions, Branch hit, Icache hit, Dcache hit, ROB hzrds, RS hzrds, LSQ hzrds
1, 12, 6, 8, 100, 1, 1, 8, 4267, 1538, 0.253906, 0.927567, 0.000000, 762, 0, 0
1, 12, 6, 8, 100, 1, 2, 8, 3259, 1283, 0.007812, 0.957540, 0.000000, 1897, 0, 0
1, 12, 6, 8, 100, 1, 3, 8, 5307, 1197, 0.478006, 0.453966, 0.000000, 669, 0, 0
1, 12, 6, 8, 100, 1, 4, 8, 4149, 1157, 0.193750, 0.017558, 0.000000, 517, 0, 0
1, 12, 6, 8, 100, 2, 1, 8, 4267, 1538, 0.253906, 0.986170, 0.000000, 762, 0, 0
1, 12, 6, 8, 100, 2, 2, 8, 7297, 1283, 0.643229, 0.311025, 0.000000, 52, 0, 0
1, 12, 6, 8, 100, 2, 3, 8, 4015, 1197, 0.387097, 0.877368, 0.000000, 7, 0, 0
1, 12, 6, 8, 100, 2, 4, 8, 6179, 1157, 0.578125, 0.272272, 0.000000, 494, 0, 0
1, 12, 6, 8, 100, 3, 1, 8, 4267, 1538, 0.253906, 0.986170, 0.000000, 762, 0, 0
1, 12, 6, 8, 100, 3, 2, 8, 4330, 1283, 0.171875, 0.178650, 0.000000, 448, 0, 0
1, 12, 6, 8, 100, 3, 3, 8, 4015, 1197, 0.387097, 0.877368, 0.000000, 7, 0, 0
1, 12, 6, 8, 100, 3, 4, 8, 3496, 1157, 0.078125, 0.549574, 0.000000, 1729, 0, 0
1, 12, 6, 8, 1000, 1, 1, 8, 14474, 1538, 0.253906, 0.847529, 0.000000, 10668, 0, 0
1, 12, 6, 8, 1000, 1, 2, 8, 13543, 1283, 0.007812, 0.947025, 0.000000, 11803, 0, 0
1, 12, 6, 8, 1000, 1, 3, 8, 22137, 1197, 0.407625, 0.519624, 0.000000, 5358, 0, 0
1, 12, 6, 8, 1000, 1, 4, 8, 23026, 1157, 0.193750, 0.016208, 0.000000, 5613, 0, 0
1, 12, 6, 8, 1000, 2, 1, 8, 14474, 1538, 0.253906, 0.986541, 0.000000, 10668, 0, 0
1, 12, 6, 8, 1000, 2, 2, 8, 45175, 1283, 0.643229, 0.333262, 0.000000, 364, 0, 0
1, 12, 6, 8, 1000, 2, 3, 8, 14415, 1197, 0.387097, 0.853518, 0.000000, 13, 0, 0
1, 12, 6, 8, 1000, 2, 4, 8, 24957, 1157, 0.578125, 0.326821, 0.000000, 2939, 0, 0
1, 12, 6, 8, 1000, 3, 1, 8, 14474, 1538, 0.253906, 0.986541, 0.000000, 10668, 0, 0
1, 12, 6, 8, 1000, 3, 2, 8, 13543, 1283, 0.007812, 0.947025, 0.000000, 11803, 0, 0
1, 12, 6, 8, 1000, 3, 3, 8, 14415, 1197, 0.387097, 0.853518, 0.000000, 13, 0, 0
1, 12, 6, 8, 1000, 3, 4, 8, 15496, 1157, 0.078125, 0.587956, 0.000000, 11564, 0, 0
1, 12, 6, 16, 100, 1, 1, 8, 4257, 1538, 0.253906, 0.990367, 0.000000, 762, 0, 0
1, 12, 6, 16, 100, 1, 2, 8, 3239, 1283, 0.007812, 0.969027, 0.000000, 1897, 0, 0
1, 12, 6, 16, 100, 1, 3, 8, 3932, 1197, 0.387097, 0.913719, 0.000000, 763, 0, 0
1, 12, 6, 16, 100, 1, 4, 8, 4051, 1157, 0.181250, 0.231512, 0.000000, 609, 0, 0
1, 12, 6, 16, 100, 2, 1, 8, 4257, 1538, 0.253906, 0.990367, 0.000000, 762, 0, 0
1, 12, 6, 16, 100, 2, 2, 8, 4850, 1283, 0.648438, 0.983420, 0.000000, 37, 0, 0
1, 12, 6, 16, 100, 2, 3, 8, 3932, 1197, 0.387097, 0.986765, 0.000000, 763, 0, 0
1, 12, 6, 16, 100, 2, 4, 8, 4346, 1157, 0.581250, 0.859393, 0.000000, 471, 0, 0
1, 12, 6, 16, 100, 3, 1, 8, 4257, 1538, 0.253906, 0.990367, 0.000000, 762, 0, 0
1, 12, 6, 16, 100, 3, 2, 8, 4117, 1283, 0.333333, 0.835277, 0.000000, 0, 0, 0
1, 12, 6, 16, 100, 3, 3, 8, 3932, 1197, 0.387097, 0.986765, 0.000000, 763, 0, 0
1, 12, 6, 16, 100, 3, 4, 8, 3337, 1157, 0.109375, 0.975229, 0.000000, 1641, 0, 0
1, 12, 6, 16, 1000, 1, 1, 8, 14358, 1538, 0.253906, 0.990754, 0.000000, 10668, 0, 0
1, 12, 6, 16, 1000, 1, 2, 8, 13348, 1283, 0.007812, 0.964758, 0.000000, 11803, 0, 0
1, 12, 6, 16, 1000, 1, 3, 8, 13994, 1197, 0.387097, 0.784770, 0.000000, 10597, 0, 0
