N, ROB size, RS size, Cache Size, Memory Latency, Branch Type, Unrolls, Optimization Lvl, Cycles, Instructions, Branch hit, Icache hit, Dcache hit, ROB hzrds, RS hzrds, LSQ hzrds
1, 12, 6, 8, 100, 1, 1, 8, 307, 98, 0.312500, 0.774510, 0.000000, 42, 0, 0
1, 12, 6, 8, 100, 1, 2, 8, 259, 83, 0.125000, 0.650602, 0.000000, 97, 0, 0
1, 12, 6, 8, 100, 1, 3, 8, 335, 77, 0.571429, 0.487952, 0.000000, 7, 0, 0
1, 12, 6, 8, 100, 1, 4, 8, 270, 77, 0.200000, 0.378947, 0.000000, 89, 0, 0
1, 12, 6, 8, 100, 2, 1, 8, 307, 98, 0.312500, 0.807190, 0.000000, 42, 0, 0
1, 12, 6, 8, 100, 2, 2, 8, 337, 83, 0.291667, 0.327526, 0.000000, 52, 0, 0
1, 12, 6, 8, 100, 2, 3, 8, 335, 77, 0.571429, 0.602410, 0.000000, 7, 0, 0
1, 12, 6, 8, 100, 2, 4, 8, 299, 77, 0.250000, 0.307692, 0.000000, 74, 0, 0
1, 12, 6, 8, 100, 3, 1, 8, 307, 98, 0.312500, 0.807190, 0.000000, 42, 0, 0
1, 12, 6, 8, 100, 3, 2, 8, 310, 83, 0.250000, 0.230508, 0.000000, 28, 0, 0
1, 12, 6, 8, 100, 3, 3, 8, 335, 77, 0.571429, 0.602410, 0.000000, 7, 0, 0
1, 12, 6, 8, 100, 3, 4, 8, 276, 77, 0.250000, 0.362245, 0.000000, 89, 0, 0
1, 12, 6, 8, 1000, 1, 1, 8, 1154, 98, 0.312500, 0.721354, 0.000000, 588, 0, 0
1, 12, 6, 8, 1000, 1, 2, 8, 1183, 83, 0.125000, 0.589888, 0.000000, 643, 0, 0
1, 12, 6, 8, 1000, 1, 3, 8, 1416, 77, 0.571429, 0.528205, 0.000000, 97, 0, 0
1, 12, 6, 8, 1000, 1, 4, 8, 1350, 77, 0.200000, 0.342995, 0.000000, 564, 0, 0
1, 12, 6, 8, 1000, 2, 1, 8, 1154, 98, 0.312500, 0.809896, 0.000000, 588, 0, 0
1, 12, 6, 8, 1000, 2, 2, 8, 1855, 83, 0.291667, 0.331395, 0.000000, 364, 0, 0
1, 12, 6, 8, 1000, 2, 3, 8, 1415, 77, 0.571429, 0.623077, 0.000000, 13, 0, 0
1, 12, 6, 8, 1000, 2, 4, 8, 1606, 77, 0.250000, 0.294776, 0.000000, 471, 0, 0
1, 12, 6, 8, 1000, 3, 1, 8, 1154, 98, 0.312500, 0.809896, 0.000000, 588, 0, 0
1, 12, 6, 8, 1000, 3, 2, 8, 1183, 83, 0.125000, 0.589888, 0.000000, 643, 0, 0
1, 12, 6, 8, 1000, 3, 3, 8, 1415, 77, 0.571429, 0.623077, 0.000000, 13, 0, 0
1, 12, 6, 8, 1000, 3, 4, 8, 1356, 77, 0.250000, 0.342723, 0.000000, 564, 0, 0
1, 12, 6, 16, 100, 1, 1, 8, 297, 98, 0.312500, 0.861486, 0.000000, 42, 0, 0
1, 12, 6, 16, 100, 1, 2, 8, 239, 83, 0.125000, 0.730769, 0.000000, 97, 0, 0
1, 12, 6, 16, 100, 1, 3, 8, 292, 77, 0.571429, 0.795848, 0.000000, 43, 0, 0
1, 12, 6, 16, 100, 1, 4, 8, 240, 77, 0.200000, 0.682353, 0.000000, 89, 0, 0
1, 12, 6, 16, 100, 2, 1, 8, 297, 98, 0.312500, 0.861486, 0.000000, 42, 0, 0
1, 12, 6, 16, 100, 2, 2, 8, 290, 83, 0.375000, 0.698113, 0.000000, 37, 0, 0
1, 12, 6, 16, 100, 2, 3, 8, 292, 77, 0.571429, 0.820069, 0.000000, 43, 0, 0
1, 12, 6, 16, 100, 2, 4, 8, 266, 77, 0.300000, 0.464135, 0.000000, 51, 0, 0
1, 12, 6, 16, 100, 3, 1, 8, 297, 98, 0.312500, 0.861486, 0.000000, 42, 0, 0
1, 12, 6, 16, 100, 3, 2, 8, 277, 83, 0.333333, 0.717391, 0.000000, 0, 0, 0
1, 12, 6, 16, 100, 3, 3, 8, 292, 77, 0.571429, 0.820069, 0.000000, 43, 0, 0
1, 12, 6, 16, 100, 3, 4, 8, 247, 77, 0.250000, 0.730000, 0.000000, 81, 0, 0
1, 12, 6, 16, 1000, 1, 1, 8, 1038, 98, 0.312500, 0.864130, 0.000000, 588, 0, 0
1, 12, 6, 16, 1000, 1, 2, 8, 988, 83, 0.125000, 0.703704, 0.000000, 643, 0, 0
1, 12, 6, 16, 1000, 1, 3, 8, 994, 77, 0.571429, 0.739255, 0.000000, 517, 0, 0
1, 12, 6, 16, 1000, 1, 4, 8, 1103, 77, 0.200000, 0.648352, 0.000000, 635, 0, 0
1, 12, 6, 16, 1000, 2, 1, 8, 1038, 98, 0.312500, 0.864130, 0.000000, 588, 0, 0
1, 12, 6, 16, 1000, 2, 2, 8, 1142, 83, 0.291667, 0.558719, 0.000000, 364, 0, 0
1, 12, 6, 16, 1000, 2, 3, 8, 994, 77, 0.571429, 0.828080, 0.000000, 517, 0, 0
1, 12, 6, 16, 1000, 2, 4, 8, 1112, 77, 0.250000, 0.610092, 0.000000, 542, 0, 0
1, 12, 6, 16, 1000, 3, 1, 8, 1038, 98, 0.312500, 0.864130, 0.000000, 588, 0, 0
1, 12, 6, 16, 1000, 3, 2, 8, 1083, 83, 0.166667, 0.563725, 0.000000, 480, 0, 0
1, 12, 6, 16, 1000, 3, 3, 8, 994, 77, 0.571429, 0.828080, 0.000000, 517, 0, 0
1, 12, 6, 16, 1000, 3, 4, 8, 1109, 77, 0.250000, 0.675532, 0.000000, 635, 0, 0
1, 12, 6, 64, 100, 1, 1, 8, 297, 98, 0.312500, 0.861486, 0.000000, 42, 0, 0
1, 12, 6, 64, 100, 1, 2, 8, 239, 83, 0.125000, 0.730769, 0.000000, 97, 0, 0
1, 12, 6, 64, 100, 1, 3, 8, 292, 77, 0.571429, 0.795848, 0.000000, 43, 0, 0
1, 12, 6, 64, 100, 1, 4, 8, 240, 77, 0.200000, 0.682353, 0.000000, 89, 0, 0
1, 12, 6, 64, 100, 2, 1, 8, 297, 98, 0.312500, 0.861486, 0.000000, 42, 0, 0
1, 12, 6, 64, 100, 2, 2, 8, 280, 83, 0.375000, 0.752941, 0.000000, 37, 0, 0
1, 12, 6, 64, 100, 2, 3, 8, 292, 77, 0.571429, 0.820069, 0.000000, 43, 0, 0
1, 12, 6, 64, 100, 2, 4, 8, 256, 77, 0.300000, 0.606987, 0.000000, 51, 0, 0
1, 12, 6, 64, 100, 3, 1, 8, 297, 98, 0.312500, 0.861486, 0.000000, 42, 0, 0
1, 12, 6, 64, 100, 3, 2, 8, 277, 83, 0.333333, 0.717391, 0.000000, 0, 0, 0
1, 12, 6, 64, 100, 3, 3, 8, 292, 77, 0.571429, 0.820069, 0.000000, 43, 0, 0
1, 12, 6, 64, 100, 3, 4, 8, 247, 77, 0.250000, 0.730000, 0.000000, 81, 0, 0
1, 12, 6, 64, 1000, 1, 1, 8, 1038, 98, 0.312500, 0.864130, 0.000000, 588, 0, 0
1, 12, 6, 64, 1000, 1, 2, 8, 988, 83, 0.125000, 0.703704, 0.000000, 643, 0, 0
1, 12, 6, 64, 1000, 1, 3, 8, 994, 77, 0.571429, 0.739255, 0.000000, 517, 0, 0
1, 12, 6, 64, 1000, 1, 4, 8, 1015, 77, 0.200000, 0.664835, 0.000000, 635, 0, 0
1, 12, 6, 64, 1000, 2, 1, 8, 1038, 98, 0.312500, 0.864130, 0.000000, 588, 0, 0
1, 12, 6, 64, 1000, 2, 2, 8, 1016, 83, 0.291667, 0.620000, 0.000000, 364, 0, 0
1, 12, 6, 64, 1000, 2, 3, 8, 994, 77, 0.571429, 0.828080, 0.000000, 517, 0, 0
1, 12, 6, 64, 1000, 2, 4, 8, 1024, 77, 0.250000, 0.623853, 0.000000, 542, 0, 0
1, 12, 6, 64, 1000, 3, 1, 8, 1038, 98, 0.312500, 0.864130, 0.000000, 588, 0, 0
1, 12, 6, 64, 1000, 3, 2, 8, 1036, 83, 0.333333, 0.583144, 0.000000, 0, 0, 0
1, 12, 6, 64, 1000, 3, 3, 8, 994, 77, 0.571429, 0.828080, 0.000000, 517, 0, 0
1, 12, 6, 64, 1000, 3, 4, 8, 1021, 77, 0.250000, 0.680851, 0.000000, 635, 0, 0
1, 24, 12, 8, 100, 1, 1, 8, 321, 98, 0.312500, 0.671875, 0.000000, 0, 0, 0
1, 24, 12, 8, 100, 1, 2, 8, 260, 83, 0.125000, 0.674157, 0.000000, 84, 0, 0
1, 24, 12, 8, 100, 1, 3, 8, 335, 77, 0.571429, 0.479042, 0.000000, 0, 0, 0
1, 24, 12, 8, 100, 1, 4, 8, 283, 77, 0.200000, 0.367442, 0.000000, 70, 0, 0
1, 24, 12, 8, 100, 2, 1, 8, 321, 98, 0.312500, 0.815625, 0.000000, 0, 0, 0
1, 24, 12, 8, 100, 2, 2, 8, 338, 83, 0.291667, 0.301282, 0.000000, 24, 0, 0
1, 24, 12, 8, 100, 2, 3, 8, 335, 77, 0.571429, 0.592814, 0.000000, 0, 0, 0
1, 24, 12, 8, 100, 2, 4, 8, 285, 77, 0.200000, 0.205761, 0.000000, 40, 0, 0
1, 24, 12, 8, 100, 3, 1, 8, 321, 98, 0.312500, 0.815625, 0.000000, 0, 0, 0
1, 24, 12, 8, 100, 3, 2, 8, 314, 83, 0.250000, 0.217252, 0.000000, 0, 0, 0
1, 24, 12, 8, 100, 3, 3, 8, 335, 77, 0.571429, 0.592814, 0.000000, 0, 0, 0
1, 24, 12, 8, 100, 3, 4, 8, 283, 77, 0.200000, 0.367442, 0.000000, 70, 0, 0
1, 24, 12, 8, 1000, 1, 1, 8, 1154, 98, 0.312500, 0.602564, 0.000000, 72, 0, 0
1, 24, 12, 8, 1000, 1, 2, 8, 1183, 83, 0.125000, 0.615789, 0.000000, 631, 0, 0
1, 24, 12, 8, 1000, 1, 3, 8, 1476, 77, 0.523810, 0.564433, 0.000000, 77, 0, 0
1, 24, 12, 8, 1000, 1, 4, 8, 1244, 77, 0.200000, 0.397129, 0.000000, 538, 0, 0
1, 24, 12, 8, 1000, 2, 1, 8, 1154, 98, 0.312500, 0.844017, 0.000000, 504, 0, 0
1, 24, 12, 8, 1000, 2, 2, 8, 1432, 83, 0.208333, 0.296029, 0.000000, 352, 0, 0
1, 24, 12, 8, 1000, 2, 3, 8, 1482, 77, 0.571429, 0.609023, 0.000000, 0, 0, 0
1, 24, 12, 8, 1000, 2, 4, 8, 1300, 77, 0.150000, 0.256410, 0.000000, 352, 0, 0
1, 24, 12, 8, 1000, 3, 1, 8, 1154, 98, 0.312500, 0.803419, 0.000000, 504, 0, 0
1, 24, 12, 8, 1000, 3, 2, 8, 1183, 83, 0.125000, 0.615789, 0.000000, 631, 0, 0
1, 24, 12, 8, 1000, 3, 3, 8, 1482, 77, 0.571429, 0.609023, 0.000000, 0, 0, 0
1, 24, 12, 8, 1000, 3, 4, 8, 1244, 77, 0.200000, 0.392344, 0.000000, 538, 0, 0
1, 24, 12, 16, 100, 1, 1, 8, 311, 98, 0.312500, 0.867742, 0.000000, 0, 0, 0
1, 24, 12, 16, 100, 1, 2, 8, 239, 83, 0.125000, 0.750000, 0.000000, 83, 0, 0
1, 24, 12, 16, 100, 1, 3, 8, 306, 77, 0.571429, 0.793443, 0.000000, 0, 0, 0
1, 24, 12, 16, 100, 1, 4, 8, 241, 77, 0.200000, 0.713514, 0.000000, 68, 0, 0
1, 24, 12, 16, 100, 2, 1, 8, 311, 98, 0.312500, 0.867742, 0.000000, 0, 0, 0
1, 24, 12, 16, 100, 2, 2, 8, 300, 83, 0.375000, 0.548495, 0.000000, 8, 0, 0
1, 24, 12, 16, 100, 2, 3, 8, 308, 77, 0.571429, 0.830619, 0.000000, 0, 0, 0
1, 24, 12, 16, 100, 2, 4, 8, 268, 77, 0.300000, 0.404494, 0.000000, 8, 0, 0
1, 24, 12, 16, 100, 3, 1, 8, 311, 98, 0.312500, 0.867742, 0.000000, 0, 0, 0
1, 24, 12, 16, 100, 3, 2, 8, 277, 83, 0.333333, 0.717391, 0.000000, 0, 0, 0
1, 24, 12, 16, 100, 3, 3, 8, 308, 77, 0.571429, 0.830619, 0.000000, 0, 0, 0
1, 24, 12, 16, 100, 3, 4, 8, 249, 77, 0.250000, 0.762332, 0.000000, 47, 0, 0
1, 24, 12, 16, 1000, 1, 1, 8, 1051, 98, 0.312500, 0.768421, 0.000000, 288, 0, 0
1, 24, 12, 16, 1000, 1, 2, 8, 988, 83, 0.125000, 0.724138, 0.000000, 631, 0, 0
1, 24, 12, 16, 1000, 1, 3, 8, 1136, 77, 0.571429, 0.669683, 0.000000, 216, 0, 0
1, 24, 12, 16, 1000, 1, 4, 8, 1103, 77, 0.200000, 0.636364, 0.000000, 538, 0, 0
1, 24, 12, 16, 1000, 2, 1, 8, 1038, 98, 0.312500, 0.889381, 0.000000, 504, 0, 0
1, 24, 12, 16, 1000, 2, 2, 8, 1237, 83, 0.208333, 0.427509, 0.000000, 352, 0, 0
1, 24, 12, 16, 1000, 2, 3, 8, 1136, 77, 0.571429, 0.812918, 0.000000, 432, 0, 0
1, 24, 12, 16, 1000, 2, 4, 8, 1159, 77, 0.150000, 0.405983, 0.000000, 352, 0, 0
1, 24, 12, 16, 1000, 3, 1, 8, 1038, 98, 0.312500, 0.889381, 0.000000, 504, 0, 0
1, 24, 12, 16, 1000, 3, 2, 8, 1083, 83, 0.166667, 0.587963, 0.000000, 467, 0, 0
1, 24, 12, 16, 1000, 3, 3, 8, 1136, 77, 0.571429, 0.812918, 0.000000, 432, 0, 0
