N, ROB size, RS size, Cache Size, Memory Latency, Branch Type, Unrolls, Optimization Lvl, Cycles, Instructions, Branch hit, Icache hit, Dcache hit, ROB hzrds, RS hzrds, LSQ hzrds
1, 12, 6, 8, 100, 1, 1, 8, 438, 149, 0.142857, 0.665198, 0.466667, 219, 0, 0
1, 12, 6, 8, 100, 1, 2, 8, 396, 107, 0.285714, 0.545946, 0.111111, 219, 0, 0
1, 12, 6, 8, 100, 1, 3, 8, 396, 89, 0.500000, 0.280788, 0.200000, 203, 0, 0
1, 12, 6, 8, 100, 1, 4, 8, 390, 83, 0.666667, 0.163265, 0.238095, 204, 0, 0
1, 12, 6, 8, 100, 2, 1, 8, 438, 149, 0.142857, 0.665198, 0.466667, 219, 0, 0
1, 12, 6, 8, 100, 2, 2, 8, 396, 107, 0.285714, 0.545946, 0.111111, 219, 0, 0
1, 12, 6, 8, 100, 2, 3, 8, 396, 89, 0.500000, 0.280788, 0.200000, 203, 0, 0
1, 12, 6, 8, 100, 2, 4, 8, 390, 83, 0.666667, 0.163265, 0.238095, 204, 0, 0
1, 12, 6, 8, 100, 3, 1, 8, 438, 149, 0.142857, 0.665198, 0.466667, 219, 0, 0
1, 12, 6, 8, 100, 3, 2, 8, 396, 107, 0.285714, 0.545946, 0.111111, 219, 0, 0
1, 12, 6, 8, 100, 3, 3, 8, 396, 89, 0.500000, 0.280788, 0.200000, 203, 0, 0
1, 12, 6, 8, 100, 3, 4, 8, 390, 83, 0.666667, 0.163265, 0.238095, 204, 0, 0
1, 12, 6, 8, 1000, 1, 1, 8, 1981, 149, 0.142857, 0.602564, 0.483871, 1384, 0, 0
1, 12, 6, 8, 1000, 1, 2, 8, 1940, 107, 0.285714, 0.494792, 0.157895, 1385, 0, 0
1, 12, 6, 8, 1000, 1, 3, 8, 2011, 89, 0.500000, 0.275362, 0.200000, 1224, 0, 0
1, 12, 6, 8, 1000, 1, 4, 8, 2003, 83, 0.666667, 0.158416, 0.238095, 1224, 0, 0
1, 12, 6, 8, 1000, 2, 1, 8, 1981, 149, 0.142857, 0.602564, 0.483871, 1384, 0, 0
1, 12, 6, 8, 1000, 2, 2, 8, 1940, 107, 0.285714, 0.494792, 0.157895, 1385, 0, 0
1, 12, 6, 8, 1000, 2, 3, 8, 2011, 89, 0.500000, 0.275362, 0.200000, 1224, 0, 0
1, 12, 6, 8, 1000, 2, 4, 8, 2003, 83, 0.666667, 0.158416, 0.238095, 1224, 0, 0
1, 12, 6, 8, 1000, 3, 1, 8, 1981, 149, 0.142857, 0.602564, 0.483871, 1384, 0, 0
1, 12, 6, 8, 1000, 3, 2, 8, 1940, 107, 0.285714, 0.494792, 0.157895, 1385, 0, 0
