N, ROB size, RS size, Cache Size, Memory Latency, Branch Type, Unrolls, Optimization Lvl, Cycles, Instructions, Branch hit, Icache hit, Dcache hit, ROB hzrds, RS hzrds, LSQ hzrds
1, 12, 6, 8, 100, 1, 1, 8, 3429, 1547, 0.017544, 0.947778, -0.919708, 1537, 0, 0
1, 12, 6, 8, 100, 1, 2, 8, 2613, 1039, 0.028497, 0.913599, -2.402597, 1307, 7, 0
1, 12, 6, 8, 100, 1, 3, 8, 2095, 872, 0.043605, 0.895735, -8.310345, 811, 29, 0
1, 12, 6, 8, 100, 1, 4, 8, 4263, 793, 0.395062, 0.893803, -0.948529, 43, 979, 0
1, 12, 6, 8, 100, 2, 1, 8, 3416, 1547, 0.015595, 0.946983, -0.926471, 1537, 0, 0
1, 12, 6, 8, 100, 2, 2, 8, 2592, 1039, 0.025907, 0.891975, -2.493333, 1305, 7, 0
1, 12, 6, 8, 100, 2, 3, 8, 2109, 872, 0.043605, 0.831715, -9.269231, 792, 36, 0
1, 12, 6, 8, 100, 2, 4, 8, 2115, 793, 0.043210, 0.738243, -2.546667, 806, 47, 0
1, 12, 6, 8, 100, 3, 1, 8, 3432, 1547, 0.017544, 0.920863, -0.911765, 1526, 0, 0
1, 12, 6, 8, 100, 3, 2, 8, 2585, 1039, 0.023316, 0.910784, -2.493333, 1305, 7, 0
1, 12, 6, 8, 100, 3, 3, 8, 2084, 872, 0.040698, 0.893204, -8.642857, 814, 29, 0
1, 12, 6, 8, 100, 3, 4, 8, 2099, 793, 0.043210, 0.788958, -2.926471, 804, 54, 0
1, 12, 6, 8, 1000, 1, 1, 8, 13370, 1547, 0.019493, 0.941929, -23.181818, 10932, 0, 0
1, 12, 6, 8, 1000, 1, 2, 8, 8546, 1039, 0.028497, 0.903509, -23.727273, 6767, 80, 0
1, 12, 6, 8, 1000, 1, 3, 8, 8087, 872, 0.043605, 0.872209, -12.850000, 6122, 110, 0
1, 12, 6, 8, 1000, 1, 4, 8, 14973, 793, 0.391975, 0.890728, -0.781421, 813, 5581, 0
1, 12, 6, 8, 1000, 2, 1, 8, 13337, 1547, 0.015595, 0.939978, -32.000000, 10926, 0, 0
1, 12, 6, 8, 1000, 2, 2, 8, 8376, 1039, 0.025907, 0.895500, -28.444444, 6620, 80, 0
1, 12, 6, 8, 1000, 2, 3, 8, 8259, 872, 0.043605, 0.835035, -15.117647, 6095, 279, 0
1, 12, 6, 8, 1000, 2, 4, 8, 8672, 793, 0.043210, 0.682313, -18.714286, 5875, 465, 0
1, 12, 6, 8, 1000, 3, 1, 8, 13337, 1547, 0.015595, 0.939978, -32.000000, 10926, 0, 0
1, 12, 6, 8, 1000, 3, 2, 8, 8369, 1039, 0.023316, 0.898773, -28.444444, 6620, 80, 0
1, 12, 6, 8, 1000, 3, 3, 8, 8060, 872, 0.040698, 0.865460, -14.277778, 6071, 110, 0
1, 12, 6, 8, 1000, 3, 4, 8, 8001, 793, 0.043210, 0.802048, -17.400000, 5476, 298, 0
1, 12, 6, 16, 100, 1, 1, 8, 3420, 1547, 0.017544, 0.966630, -0.919708, 1538, 0, 0
1, 12, 6, 16, 100, 1, 2, 8, 2603, 1039, 0.028497, 0.946253, -2.402597, 1307, 7, 0
1, 12, 6, 16, 100, 1, 3, 8, 2085, 872, 0.043605, 0.929936, -8.310345, 811, 29, 0
1, 12, 6, 16, 100, 1, 4, 8, 3785, 793, 0.398148, 0.974841, -0.516000, 259, 904, 0
1, 12, 6, 16, 100, 2, 1, 8, 3407, 1547, 0.015595, 0.966121, -0.926471, 1538, 0, 0
1, 12, 6, 16, 100, 2, 2, 8, 2582, 1039, 0.025907, 0.944790, -2.493333, 1305, 7, 0
1, 12, 6, 16, 100, 2, 3, 8, 2068, 872, 0.043605, 0.926728, -8.172414, 796, 43, 0
1, 12, 6, 16, 100, 2, 4, 8, 2053, 793, 0.043210, 0.905455, -2.486842, 817, 44, 0
1, 12, 6, 16, 100, 3, 1, 8, 3412, 1547, 0.017544, 0.960687, -0.911765, 1527, 0, 0
1, 12, 6, 16, 100, 3, 2, 8, 2575, 1039, 0.023316, 0.944488, -2.493333, 1305, 7, 0
1, 12, 6, 16, 100, 3, 3, 8, 2074, 872, 0.040698, 0.928222, -8.642857, 814, 29, 0
1, 12, 6, 16, 100, 3, 4, 8, 2022, 793, 0.046296, 0.920870, -10.250000, 855, 45, 0
1, 12, 6, 16, 1000, 1, 1, 8, 13274, 1547, 0.019493, 0.953797, -23.181818, 10932, 0, 0
1, 12, 6, 16, 1000, 1, 2, 8, 8382, 1039, 0.028497, 0.937545, -17.066667, 6845, 80, 0
1, 12, 6, 16, 1000, 1, 3, 8, 7821, 872, 0.043605, 0.913995, -12.850000, 6122, 173, 0
1, 12, 6, 16, 1000, 1, 4, 8, 9602, 793, 0.398148, 0.973282, -0.584362, 1224, 5427, 0
1, 12, 6, 16, 1000, 2, 1, 8, 13241, 1547, 0.015595, 0.952250, -32.000000, 10926, 0, 0
1, 12, 6, 16, 1000, 2, 2, 8, 8280, 1039, 0.025907, 0.931818, -25.500000, 6766, 163, 0
1, 12, 6, 16, 1000, 2, 3, 8, 7943, 872, 0.043605, 0.897638, -16.250000, 6171, 342, 0
1, 12, 6, 16, 1000, 2, 4, 8, 7835, 793, 0.043210, 0.886172, -21.916667, 5955, 463, 0
1, 12, 6, 16, 1000, 3, 1, 8, 13241, 1547, 0.015595, 0.952250, -32.000000, 10926, 0, 0
1, 12, 6, 16, 1000, 3, 2, 8, 8126, 1039, 0.023316, 0.934601, -2.594595, 6561, 80, 0
1, 12, 6, 16, 1000, 3, 3, 8, 7749, 872, 0.040698, 0.911859, -14.277778, 6071, 173, 0
1, 12, 6, 16, 1000, 3, 4, 8, 7442, 793, 0.043210, 0.915004, -18.500000, 5825, 205, 0
1, 12, 6, 64, 100, 1, 1, 8, 3420, 1547, 0.017544, 0.966630, -0.919708, 1538, 0, 0
1, 12, 6, 64, 100, 1, 2, 8, 2594, 1039, 0.028497, 0.948524, -2.402597, 1308, 7, 0
1, 12, 6, 64, 100, 1, 3, 8, 2059, 872, 0.043605, 0.939394, -7.966667, 790, 34, 0
1, 12, 6, 64, 100, 1, 4, 8, 2107, 793, 0.052469, 0.936982, -2.648649, 869, 31, 0
1, 12, 6, 64, 100, 2, 1, 8, 3407, 1547, 0.015595, 0.966121, -0.926471, 1538, 0, 0
1, 12, 6, 64, 100, 2, 2, 8, 2573, 1039, 0.025907, 0.947123, -2.493333, 1306, 7, 0
1, 12, 6, 64, 100, 2, 3, 8, 2036, 872, 0.043605, 0.935537, -8.740741, 760, 48, 0
1, 12, 6, 64, 100, 2, 4, 8, 2044, 793, 0.043210, 0.930972, -2.486842, 817, 44, 0
1, 12, 6, 64, 100, 3, 1, 8, 3412, 1547, 0.017544, 0.960687, -0.911765, 1527, 0, 0
1, 12, 6, 64, 100, 3, 2, 8, 2566, 1039, 0.023316, 0.946833, -2.493333, 1306, 7, 0
1, 12, 6, 64, 100, 3, 3, 8, 2048, 872, 0.040698, 0.937908, -8.275862, 793, 34, 0
1, 12, 6, 64, 100, 3, 4, 8, 2013, 793, 0.046296, 0.933970, -10.250000, 855, 45, 0
1, 12, 6, 64, 1000, 1, 1, 8, 13274, 1547, 0.019493, 0.953797, -23.181818, 10932, 0, 0
1, 12, 6, 64, 1000, 1, 2, 8, 8382, 1039, 0.028497, 0.937545, -17.066667, 6845, 80, 0
1, 12, 6, 64, 1000, 1, 3, 8, 7821, 872, 0.043605, 0.913995, -12.850000, 6122, 173, 0
1, 12, 6, 64, 1000, 1, 4, 8, 7739, 793, 0.052469, 0.920609, -14.611111, 6153, 211, 0
1, 12, 6, 64, 1000, 2, 1, 8, 13241, 1547, 0.015595, 0.952250, -32.000000, 10926, 0, 0
1, 12, 6, 64, 1000, 2, 2, 8, 8280, 1039, 0.025907, 0.931818, -25.500000, 6766, 163, 0
1, 12, 6, 64, 1000, 2, 3, 8, 7943, 872, 0.043605, 0.897638, -16.250000, 6171, 342, 0
1, 12, 6, 64, 1000, 2, 4, 8, 7747, 793, 0.043210, 0.897133, -21.916667, 5955, 463, 0
1, 12, 6, 64, 1000, 3, 1, 8, 13241, 1547, 0.015595, 0.952250, -32.000000, 10926, 0, 0
1, 12, 6, 64, 1000, 3, 2, 8, 8126, 1039, 0.023316, 0.934601, -2.594595, 6561, 80, 0
1, 12, 6, 64, 1000, 3, 3, 8, 7749, 872, 0.040698, 0.911859, -14.277778, 6071, 173, 0
1, 12, 6, 64, 1000, 3, 4, 8, 7354, 793, 0.043210, 0.918474, -18.500000, 5825, 205, 0
1, 24, 12, 8, 100, 1, 1, 8, 2040, 1547, 0.017544, 0.948323, -19.538462, 3, 0, 0
1, 24, 12, 8, 100, 1, 2, 8, 1642, 1039, 0.028497, 0.913869, -14.111111, 65, 0, 0
1, 24, 12, 8, 100, 1, 3, 8, 1474, 872, 0.040698, 0.887046, -11.173913, 17, 1, 0
1, 24, 12, 8, 100, 1, 4, 8, 4260, 793, 0.395062, 0.894464, -1.031579, 4, 63, 0
1, 24, 12, 8, 100, 2, 1, 8, 2012, 1547, 0.015595, 0.947457, -23.090909, 2, 0, 0
1, 24, 12, 8, 100, 2, 2, 8, 1608, 1039, 0.025907, 0.905405, -19.692308, 66, 0, 0
1, 24, 12, 8, 100, 2, 3, 8, 1462, 872, 0.043605, 0.860689, -11.952381, 16, 1, 0
1, 24, 12, 8, 100, 2, 4, 8, 1440, 793, 0.043210, 0.687605, -13.157895, 7, 12, 0
1, 24, 12, 8, 100, 3, 1, 8, 2012, 1547, 0.015595, 0.947457, -23.090909, 2, 0, 0
