N, ROB size, RS size, Cache Size, Memory Latency, Branch Type, Unrolls, Optimization Lvl, Cycles, Instructions, Branch hit, Icache hit, Dcache hit, ROB hzrds, RS hzrds, LSQ hzrds
1, 12, 6, 8, 100, 1, 1, 8, 376, 107, 0.242424, 0.715152, -0.400000, 97, 0, 0
1, 12, 6, 8, 100, 1, 2, 8, 345, 79, 0.346154, 0.630225, -0.500000, 87, 7, 0
1, 12, 6, 8, 100, 1, 3, 8, 345, 79, 0.346154, 0.630225, -0.500000, 87, 7, 0
1, 12, 6, 8, 100, 1, 4, 8, 377, 72, 0.500000, 0.564024, -0.277778, 17, 48, 0
1, 12, 6, 8, 100, 2, 1, 8, 376, 107, 0.242424, 0.715152, -0.375000, 97, 0, 0
1, 12, 6, 8, 100, 2, 2, 8, 355, 79, 0.384615, 0.561129, -0.533333, 90, 7, 0
1, 12, 6, 8, 100, 2, 3, 8, 355, 79, 0.384615, 0.561129, -0.533333, 90, 7, 0
1, 12, 6, 8, 100, 2, 4, 8, 390, 72, 0.541667, 0.369186, -0.352941, 22, 47, 0
1, 12, 6, 8, 100, 3, 1, 8, 390, 107, 0.272727, 0.592593, -0.250000, 86, 0, 0
1, 12, 6, 8, 100, 3, 2, 8, 348, 79, 0.346154, 0.631410, -0.533333, 90, 7, 0
1, 12, 6, 8, 100, 3, 3, 8, 348, 79, 0.346154, 0.631410, -0.533333, 90, 7, 0
1, 12, 6, 8, 100, 3, 4, 8, 377, 72, 0.500000, 0.567073, -0.277778, 17, 48, 0
1, 12, 6, 8, 1000, 1, 1, 8, 1594, 107, 0.272727, 0.731527, -1.400000, 848, 0, 0
1, 12, 6, 8, 1000, 1, 2, 8, 1350, 79, 0.346154, 0.618497, -2.000000, 562, 80, 0
1, 12, 6, 8, 1000, 1, 3, 8, 1350, 79, 0.346154, 0.618497, -2.000000, 562, 80, 0
1, 12, 6, 8, 1000, 1, 4, 8, 1656, 72, 0.500000, 0.553425, -1.545455, 78, 379, 0
1, 12, 6, 8, 1000, 2, 1, 8, 1579, 107, 0.242424, 0.710106, -1.875000, 846, 0, 0
1, 12, 6, 8, 1000, 2, 2, 8, 1357, 79, 0.384615, 0.610795, -1.888889, 563, 80, 0
1, 12, 6, 8, 1000, 2, 3, 8, 1357, 79, 0.384615, 0.610795, -1.888889, 563, 80, 0
1, 12, 6, 8, 1000, 2, 4, 8, 2378, 72, 0.541667, 0.288330, -1.727273, 418, 463, 0
1, 12, 6, 8, 1000, 3, 1, 8, 1579, 107, 0.242424, 0.710106, -1.875000, 846, 0, 0
1, 12, 6, 8, 1000, 3, 2, 8, 1350, 79, 0.346154, 0.617391, -1.888889, 563, 80, 0
1, 12, 6, 8, 1000, 3, 3, 8, 1350, 79, 0.346154, 0.617391, -1.888889, 563, 80, 0
1, 12, 6, 8, 1000, 3, 4, 8, 1655, 72, 0.500000, 0.549180, -1.545455, 159, 295, 0
1, 12, 6, 16, 100, 1, 1, 8, 367, 107, 0.242424, 0.817073, -0.400000, 98, 0, 0
1, 12, 6, 16, 100, 1, 2, 8, 335, 79, 0.346154, 0.764120, -0.500000, 87, 7, 0
1, 12, 6, 16, 100, 1, 3, 8, 335, 79, 0.346154, 0.764120, -0.500000, 87, 7, 0
1, 12, 6, 16, 100, 1, 4, 8, 348, 72, 0.500000, 0.710191, -0.600000, 56, 30, 0
1, 12, 6, 16, 100, 2, 1, 8, 367, 107, 0.242424, 0.817073, -0.375000, 98, 0, 0
1, 12, 6, 16, 100, 2, 2, 8, 345, 79, 0.384615, 0.770227, -0.533333, 90, 7, 0
1, 12, 6, 16, 100, 2, 3, 8, 345, 79, 0.384615, 0.770227, -0.533333, 90, 7, 0
1, 12, 6, 16, 100, 2, 4, 8, 357, 72, 0.541667, 0.680982, -0.222222, 36, 44, 0
1, 12, 6, 16, 100, 3, 1, 8, 371, 107, 0.272727, 0.796562, -0.250000, 87, 0, 0
1, 12, 6, 16, 100, 3, 2, 8, 338, 79, 0.346154, 0.764901, -0.533333, 90, 7, 0
1, 12, 6, 16, 100, 3, 3, 8, 338, 79, 0.346154, 0.764901, -0.533333, 90, 7, 0
1, 12, 6, 16, 100, 3, 4, 8, 348, 72, 0.500000, 0.710191, -0.600000, 56, 30, 0
1, 12, 6, 16, 1000, 1, 1, 8, 1498, 107, 0.272727, 0.788835, -1.400000, 848, 0, 0
