N, ROB size, RS size, Cache Size, Memory Latency, Branch Type, Unrolls, Optimization Lvl, Cycles, Instructions, Branch hit, Icache hit, Dcache hit, ROB hzrds, RS hzrds, LSQ hzrds
1, 12, 6, 8, 100, 1, 1, 8, 2030, 461, 0.120000, 0.612583, -0.010309, 1394, 34, 0
1, 12, 6, 8, 100, 1, 2, 8, 1995, 425, 0.230769, 0.003521, -0.010309, 1394, 35, 0
1, 12, 6, 8, 100, 1, 3, 8, 1989, 413, 0.333333, 0.003597, -0.010309, 1400, 35, 0
1, 12, 6, 8, 100, 1, 4, 8, 1982, 407, 0.428571, 0.003636, -0.010309, 1399, 35, 0
1, 12, 6, 8, 100, 2, 1, 8, 2030, 461, 0.120000, 0.612583, -0.010309, 1394, 34, 0
1, 12, 6, 8, 100, 2, 2, 8, 1995, 425, 0.230769, 0.003521, -0.010309, 1394, 35, 0
1, 12, 6, 8, 100, 2, 3, 8, 1989, 413, 0.333333, 0.003597, -0.010309, 1400, 35, 0
1, 12, 6, 8, 100, 2, 4, 8, 1982, 407, 0.428571, 0.003636, -0.010309, 1399, 35, 0
1, 12, 6, 8, 100, 3, 1, 8, 2030, 461, 0.120000, 0.612583, -0.010309, 1394, 34, 0
1, 12, 6, 8, 100, 3, 2, 8, 1995, 425, 0.230769, 0.003521, -0.010309, 1394, 35, 0
1, 12, 6, 8, 100, 3, 3, 8, 1989, 413, 0.333333, 0.003597, -0.010309, 1400, 35, 0
1, 12, 6, 8, 100, 3, 4, 8, 1982, 407, 0.428571, 0.003636, -0.010309, 1399, 35, 0
1, 12, 6, 8, 1000, 1, 1, 8, 9946, 461, 0.120000, 0.582677, -0.010309, 8529, 14, 0
1, 12, 6, 8, 1000, 1, 2, 8, 10034, 425, 0.230769, 0.003328, -0.010309, 8563, 88, 0
1, 12, 6, 8, 1000, 1, 3, 8, 10022, 413, 0.333333, 0.003396, -0.010309, 8563, 88, 0
1, 12, 6, 8, 1000, 1, 4, 8, 10016, 407, 0.428571, 0.003431, -0.010309, 8563, 88, 0
1, 12, 6, 8, 1000, 2, 1, 8, 9946, 461, 0.120000, 0.582677, -0.010309, 8529, 14, 0
1, 12, 6, 8, 1000, 2, 2, 8, 10034, 425, 0.230769, 0.003328, -0.010309, 8563, 88, 0
1, 12, 6, 8, 1000, 2, 3, 8, 10022, 413, 0.333333, 0.003396, -0.010309, 8563, 88, 0
