N, ROB size, RS size, Cache Size, Memory Latency, Branch Type, Unrolls, Optimization Lvl, Cycles, Instructions, Branch hit, Icache hit, Dcache hit, ROB hzrds, RS hzrds, LSQ hzrds
1, 12, 6, 8, 100, 1, 1, 8, 1634, 580, 0.041667, 0.852123, 0.000000, 955, 1, 0
1, 12, 6, 8, 100, 1, 2, 8, 1527, 510, 0.083333, 0.615646, 0.000000, 913, 53, 0
1, 12, 6, 8, 100, 1, 3, 8, 1707, 490, 0.125000, 0.051635, 0.000000, 1043, 124, 0
1, 12, 6, 8, 100, 1, 4, 8, 1546, 480, 0.166667, 0.000000, 0.000000, 911, 92, 0
1, 12, 6, 8, 100, 2, 1, 8, 1634, 580, 0.041667, 0.852123, 0.000000, 955, 1, 0
1, 12, 6, 8, 100, 2, 2, 8, 1527, 510, 0.083333, 0.615646, 0.000000, 913, 53, 0
1, 12, 6, 8, 100, 2, 3, 8, 1707, 490, 0.125000, 0.051635, 0.000000, 1043, 124, 0
1, 12, 6, 8, 100, 2, 4, 8, 1546, 480, 0.166667, 0.000000, 0.000000, 911, 92, 0
1, 12, 6, 8, 100, 3, 1, 8, 1634, 580, 0.041667, 0.852123, 0.000000, 955, 1, 0
1, 12, 6, 8, 100, 3, 2, 8, 1527, 510, 0.083333, 0.615646, 0.000000, 913, 53, 0
1, 12, 6, 8, 100, 3, 3, 8, 1707, 490, 0.125000, 0.051635, 0.000000, 1043, 124, 0
1, 12, 6, 8, 100, 3, 4, 8, 1546, 480, 0.166667, 0.000000, 0.000000, 911, 92, 0
1, 12, 6, 8, 1000, 1, 1, 8, 5422, 580, 0.041667, 0.855224, 0.000000, 4318, 0, 0
1, 12, 6, 8, 1000, 1, 2, 8, 5342, 510, 0.083333, 0.618243, 0.000000, 4344, 11, 0
1, 12, 6, 8, 1000, 1, 3, 8, 5494, 490, 0.125000, 0.071066, 0.000000, 4428, 11, 0
1, 12, 6, 8, 1000, 1, 4, 8, 5517, 480, 0.166667, 0.000000, 0.000000, 4454, 22, 0
1, 12, 6, 8, 1000, 2, 1, 8, 5422, 580, 0.041667, 0.855224, 0.000000, 4318, 0, 0
1, 12, 6, 8, 1000, 2, 2, 8, 5342, 510, 0.083333, 0.618243, 0.000000, 4344, 11, 0
1, 12, 6, 8, 1000, 2, 3, 8, 5494, 490, 0.125000, 0.071066, 0.000000, 4428, 11, 0
1, 12, 6, 8, 1000, 2, 4, 8, 5517, 480, 0.166667, 0.000000, 0.000000, 4454, 22, 0
1, 12, 6, 8, 1000, 3, 1, 8, 5422, 580, 0.041667, 0.855224, 0.000000, 4318, 0, 0
1, 12, 6, 8, 1000, 3, 2, 8, 5342, 510, 0.083333, 0.618243, 0.000000, 4344, 11, 0
1, 12, 6, 8, 1000, 3, 3, 8, 5494, 490, 0.125000, 0.071066, 0.000000, 4428, 11, 0
1, 12, 6, 8, 1000, 3, 4, 8, 5517, 480, 0.166667, 0.000000, 0.000000, 4454, 22, 0
1, 12, 6, 16, 100, 1, 1, 8, 1634, 580, 0.041667, 0.852123, 0.000000, 955, 1, 0
