N, ROB size, RS size, Cache Size, Unrolls, Optimization Lvl, Cycles, Instructions, Icache hit, Dcache hit, ROB hzrds, RS hzrds, LSQ hzrds
1, 16, 8, 16, 1, 1, 305, 98, 0.865132, 0.000000, 14, 0, 0
1, 16, 8, 16, 1, 2, 305, 98, 0.865132, 0.000000, 14, 0, 0
1, 16, 8, 16, 1, 3, 320, 98, 0.871473, 0.000000, 28, 0, 0
1, 16, 8, 16, 1, 4, 320, 98, 0.871473, 0.000000, 28, 0, 0
1, 16, 8, 16, 1, 5, 320, 98, 0.871473, 0.000000, 28, 0, 0
1, 16, 8, 16, 1, 6, 320, 98, 0.871473, 0.000000, 28, 0, 0
1, 16, 8, 16, 1, 7, 320, 98, 0.871473, 0.000000, 28, 0, 0
1, 16, 8, 16, 1, 8, 320, 98, 0.871473, 0.000000, 28, 0, 0
1, 16, 8, 16, 2, 1, 268, 82, 0.705128, 0.000000, 57, 0, 0
1, 16, 8, 16, 2, 2, 268, 82, 0.705128, 0.000000, 57, 0, 0
1, 16, 8, 16, 2, 3, 266, 82, 0.702586, 0.000000, 56, 0, 0
1, 16, 8, 16, 2, 4, 266, 82, 0.702586, 0.000000, 56, 0, 0
1, 16, 8, 16, 2, 5, 266, 82, 0.702586, 0.000000, 56, 0, 0
1, 16, 8, 16, 2, 6, 266, 82, 0.702586, 0.000000, 56, 0, 0
1, 16, 8, 16, 2, 7, 241, 83, 0.737500, 0.000000, 94, 0, 0
1, 16, 8, 16, 2, 8, 241, 83, 0.737500, 0.000000, 94, 0, 0
1, 16, 8, 16, 3, 1, 319, 75, 0.798107, 0.000000, 21, 0, 0
1, 16, 8, 16, 3, 2, 319, 75, 0.798107, 0.000000, 21, 0, 0
1, 16, 8, 16, 3, 3, 330, 75, 0.795732, 0.000000, 21, 0, 0
1, 16, 8, 16, 3, 4, 330, 75, 0.795732, 0.000000, 21, 0, 0
1, 16, 8, 16, 3, 5, 330, 75, 0.795732, 0.000000, 21, 0, 0
1, 16, 8, 16, 3, 6, 330, 75, 0.795732, 0.000000, 21, 0, 0
1, 16, 8, 16, 3, 7, 308, 77, 0.778502, 0.000000, 20, 0, 0
1, 16, 8, 16, 3, 8, 308, 77, 0.778502, 0.000000, 20, 0, 0
1, 16, 8, 16, 4, 1, 276, 74, 0.656250, 0.000000, 39, 0, 0
1, 16, 8, 16, 4, 2, 276, 74, 0.656250, 0.000000, 39, 0, 0
1, 16, 8, 16, 4, 3, 275, 74, 0.653543, 0.000000, 40, 0, 0
1, 16, 8, 16, 4, 4, 275, 74, 0.653543, 0.000000, 40, 0, 0
1, 16, 8, 16, 4, 5, 275, 74, 0.653543, 0.000000, 40, 0, 0
1, 16, 8, 16, 4, 6, 275, 74, 0.653543, 0.000000, 40, 0, 0
1, 16, 8, 16, 4, 7, 243, 77, 0.700565, 0.000000, 83, 0, 0
1, 16, 8, 16, 4, 8, 243, 77, 0.700565, 0.000000, 83, 0, 0
1, 16, 8, 64, 1, 1, 242, 98, 0.887967, 0.000000, 0, 0, 0
1, 16, 8, 64, 1, 2, 242, 98, 0.887967, 0.000000, 0, 0, 0
1, 16, 8, 64, 1, 3, 243, 98, 0.888430, 0.000000, 0, 0, 0
