N, ROB size, RS size, Cache Size, Unrolls, Optimization Lvl, Cycles, Instructions, Icache hit, Dcache hit, ROB hzrds, RS hzrds, LSQ hzrds
1, 16, 8, 16, 1, 1, 435, 149, 0.617530, 0.111111, 188, 0, 0
1, 16, 8, 16, 1, 2, 435, 149, 0.617530, 0.111111, 188, 0, 0
1, 16, 8, 16, 1, 3, 435, 149, 0.617530, 0.111111, 188, 0, 0
1, 16, 8, 16, 1, 4, 435, 149, 0.617530, 0.111111, 188, 0, 0
1, 16, 8, 16, 1, 5, 435, 149, 0.617530, 0.111111, 188, 0, 0
1, 16, 8, 16, 1, 6, 435, 149, 0.617530, 0.111111, 188, 0, 0
1, 16, 8, 16, 1, 7, 435, 149, 0.617530, 0.111111, 188, 0, 0
1, 16, 8, 16, 1, 8, 435, 149, 0.617530, 0.111111, 188, 0, 0
1, 16, 8, 16, 2, 1, 435, 149, 0.617530, 0.111111, 188, 0, 0
1, 16, 8, 16, 2, 2, 435, 149, 0.617530, 0.111111, 188, 0, 0
