N, ROB size, RS size, Cache Size, Memory Latency, Unrolls, Optimization Step, Cycles, Instructions, Icache hit, Dcache hit, ROB hzrds, RS hzrds, LSQ hzrds
1, 16, 8, 16, 50, 1, 1, 1700, 628, 0.882845, 0.000000, 992, 0, 0
1, 16, 8, 16, 50, 1, 2, 1700, 628, 0.882845, 0.000000, 992, 0, 0
1, 16, 8, 16, 50, 1, 3, 1700, 628, 0.882845, 0.000000, 992, 0, 0
1, 16, 8, 16, 50, 1, 4, 1816, 580, 0.868148, 0.000000, 1150, 0, 0
1, 16, 8, 16, 50, 1, 5, 1816, 580, 0.868148, 0.000000, 1150, 0, 0
1, 16, 8, 16, 50, 1, 6, 1816, 580, 0.868148, 0.000000, 1150, 0, 0
1, 16, 8, 16, 50, 1, 7, 1816, 580, 0.868148, 0.000000, 1150, 0, 0
1, 16, 8, 16, 50, 1, 8, 1816, 580, 0.868148, 0.000000, 1150, 0, 0
1, 16, 8, 16, 50, 2, 1, 1790, 580, 0.844311, 0.000000, 1137, 4, 0
1, 16, 8, 16, 50, 2, 2, 1790, 580, 0.844311, 0.000000, 1137, 4, 0
1, 16, 8, 16, 50, 2, 3, 1494, 556, 0.847962, 0.000000, 867, 8, 0
1, 16, 8, 16, 50, 2, 4, 1721, 532, 0.841935, 0.000000, 1112, 8, 0
1, 16, 8, 16, 50, 2, 5, 1721, 532, 0.841935, 0.000000, 1112, 8, 0
1, 16, 8, 16, 50, 2, 6, 1721, 532, 0.841935, 0.000000, 1112, 8, 0
1, 16, 8, 16, 50, 2, 7, 1462, 510, 0.825581, 0.000000, 863, 14, 0
1, 16, 8, 16, 50, 2, 8, 1462, 510, 0.825581, 0.000000, 863, 14, 0
1, 16, 8, 16, 50, 3, 1, 1609, 564, 0.733436, 0.000000, 975, 4, 0
1, 16, 8, 16, 50, 3, 2, 1609, 564, 0.733436, 0.000000, 975, 4, 0
1, 16, 8, 16, 50, 3, 3, 1750, 532, 0.766129, 0.000000, 1141, 15, 0
1, 16, 8, 16, 50, 3, 4, 1719, 516, 0.791461, 0.000000, 1121, 16, 0
1, 16, 8, 16, 50, 3, 5, 1719, 516, 0.791461, 0.000000, 1121, 16, 0
1, 16, 8, 16, 50, 3, 6, 1719, 516, 0.791461, 0.000000, 1121, 16, 0
1, 16, 8, 16, 50, 3, 7, 1582, 490, 0.773424, 0.000000, 998, 14, 0
1, 16, 8, 16, 50, 3, 8, 1582, 490, 0.773424, 0.000000, 998, 14, 0
1, 16, 8, 16, 50, 4, 1, 1732, 556, 0.307453, 0.000000, 1103, 4, 0
1, 16, 8, 16, 50, 4, 2, 1732, 556, 0.307453, 0.000000, 1103, 4, 0
1, 16, 8, 16, 50, 4, 3, 1719, 520, 0.363487, 0.000000, 1122, 18, 0
1, 16, 8, 16, 50, 4, 4, 1703, 508, 0.414430, 0.000000, 1118, 18, 0
1, 16, 8, 16, 50, 4, 5, 1703, 508, 0.414430, 0.000000, 1118, 18, 0
1, 16, 8, 16, 50, 4, 6, 1703, 508, 0.414430, 0.000000, 1118, 18, 0
1, 16, 8, 16, 50, 4, 7, 1515, 480, 0.483536, 0.000000, 943, 12, 0
1, 16, 8, 16, 50, 4, 8, 1515, 480, 0.483536, 0.000000, 943, 12, 0
1, 16, 8, 16, 1000, 1, 1, 5405, 628, 0.903683, 0.000000, 4408, 0, 0
1, 16, 8, 16, 1000, 1, 2, 5405, 628, 0.903683, 0.000000, 4408, 0, 0
1, 16, 8, 16, 1000, 1, 3, 5405, 628, 0.903683, 0.000000, 4408, 0, 0
1, 16, 8, 16, 1000, 1, 4, 5349, 580, 0.904255, 0.000000, 4400, 1, 0
1, 16, 8, 16, 1000, 1, 5, 5349, 580, 0.904255, 0.000000, 4400, 1, 0
1, 16, 8, 16, 1000, 1, 6, 5349, 580, 0.904255, 0.000000, 4400, 1, 0
1, 16, 8, 16, 1000, 1, 7, 5349, 580, 0.904255, 0.000000, 4400, 1, 0
1, 16, 8, 16, 1000, 1, 8, 5349, 580, 0.904255, 0.000000, 4400, 1, 0
1, 16, 8, 16, 1000, 2, 1, 5420, 580, 0.853073, 0.000000, 4320, 0, 0
1, 16, 8, 16, 1000, 2, 2, 5420, 580, 0.853073, 0.000000, 4320, 0, 0
1, 16, 8, 16, 1000, 2, 3, 5396, 556, 0.843653, 0.000000, 4319, 2, 0
1, 16, 8, 16, 1000, 2, 4, 5461, 532, 0.823161, 0.000000, 4319, 2, 0
1, 16, 8, 16, 1000, 2, 5, 5461, 532, 0.823161, 0.000000, 4319, 2, 0
1, 16, 8, 16, 1000, 2, 6, 5461, 532, 0.823161, 0.000000, 4319, 2, 0
1, 16, 8, 16, 1000, 2, 7, 5349, 510, 0.828904, 0.000000, 4241, 4, 0
1, 16, 8, 16, 1000, 2, 8, 5349, 510, 0.828904, 0.000000, 4241, 4, 0
1, 16, 8, 16, 1000, 3, 1, 5430, 564, 0.727829, 0.000000, 4346, 0, 0
1, 16, 8, 16, 1000, 3, 2, 5430, 564, 0.727829, 0.000000, 4346, 0, 0
1, 16, 8, 16, 1000, 3, 3, 5399, 532, 0.763666, 0.000000, 4346, 2, 0
1, 16, 8, 16, 1000, 3, 4, 5445, 516, 0.773676, 0.000000, 4319, 2, 0
1, 16, 8, 16, 1000, 3, 5, 5445, 516, 0.773676, 0.000000, 4319, 2, 0
1, 16, 8, 16, 1000, 3, 6, 5445, 516, 0.773676, 0.000000, 4319, 2, 0
