PC=00000000, ---
PC=00000004, REG[ 1]=00000004
PC=00000008, REG[ 1]=00000090
PC=0000000c, REG[ 2]=0001000c
PC=00000010, REG[ 2]=00010000
PC=00000014, REG[ 8]=00010000
PC=00000018, REG[ 3]=00001018
PC=0000001c, REG[ 3]=00000a60
PC=00000020, REG[ 4]=00000000
PC=00000024, REG[ 5]=00000000
PC=00000028, REG[ 6]=00000000
PC=0000002c, REG[ 7]=00000000
PC=00000030, REG[ 9]=00000000
PC=00000034, REG[10]=00000000
PC=00000038, REG[11]=00000000
PC=0000003c, REG[12]=00000000
PC=00000040, REG[13]=00000000
PC=00000044, REG[14]=00000000
PC=00000048, REG[15]=00000000
PC=0000004c, REG[16]=00000000
PC=00000050, REG[17]=00000000
PC=00000054, REG[18]=00000000
PC=00000058, REG[19]=00000000
PC=0000005c, REG[20]=00000000
PC=00000060, REG[21]=00000000
PC=00000064, REG[22]=00000000
PC=00000068, REG[23]=00000000
PC=0000006c, REG[24]=00000000
PC=00000070, REG[25]=00000000
PC=00000074, REG[26]=00000000
PC=00000078, REG[27]=00000000
PC=0000007c, REG[28]=00000000
PC=00000080, REG[29]=00000000
PC=00000084, REG[30]=00000000
PC=00000088, REG[31]=00000000
PC=0000008c, ---
PC=00000118, REG[ 2]=0000ffd0
PC=0000011c, ---
PC=00000120, ---
PC=00000124, ---
PC=00000128, ---
PC=0000012c, ---
PC=00000130, ---
PC=00000134, ---
PC=00000138, ---
PC=0000013c, ---
PC=00000140, ---
PC=00000144, ---
PC=00000148, REG[ 8]=00010000
PC=0000014c, REG[15]=00000000
PC=00000150, REG[14]=0000000c
PC=00000154, REG[15]=00000030
PC=00000158, REG[15]=0000003f
PC=0000015c, REG[15]=00000030
PC=00000160, REG[ 2]=0000ffa0
PC=00000164, REG[23]=0000ffa0
PC=00000168, REG[ 2]=0000ff70
PC=0000016c, REG[24]=0000ff70
PC=00000170, REG[ 2]=0000ff40
PC=00000174, REG[25]=0000ff40
PC=00000178, ---
PC=0000017c, REG[20]=0000ffa0
PC=00000180, REG[19]=0000ff70
PC=00000184, REG[18]=0000ff40
PC=00000188, REG[ 9]=00000000
PC=0000018c, REG[21]=00010000
PC=00000190, REG[21]=0000ffff
PC=00000194, REG[22]=00000000
PC=00000198, REG[ 1]=00000198
PC=0000019c, REG[ 1]=000001a0
PC=000000f0, REG[13]=00000000
PC=000000f4, REG[15]=0720f8a4
PC=000000f8, REG[14]=00004000
PC=000000fc, REG[14]=000041a7
PC=00000100, REG[15]=05a3d6fc
PC=00000104, REG[14]=80000000
PC=00000108, REG[14]=7fffffff
