N, ROB, RS, CPI
1, 1, 1, 5.424028
1, 1, 2, 5.424028
1, 1, 3, 5.424028
1, 1, 4, 5.424028
1, 1, 5, 5.424028
1, 1, 6, 5.424028
1, 1, 7, 5.424028
1, 1, 8, 5.424028
1, 1, 9, 5.424028
1, 1, 10, 5.424028
1, 1, 11, 5.424028
1, 1, 12, 5.424028
1, 1, 13, 5.424028
1, 1, 14, 5.424028
1, 1, 15, 5.424028
1, 1, 16, 5.424028
1, 1, 17, 5.424028
1, 1, 18, 5.424028
1, 1, 19, 5.424028
1, 1, 20, 5.424028
1, 1, 21, 5.424028
1, 1, 22, 5.424028
1, 1, 23, 5.424028
1, 1, 24, 5.424028
1, 1, 25, 5.424028
1, 1, 26, 5.424028
1, 1, 27, 5.424028
1, 1, 28, 5.424028
1, 1, 29, 5.424028
1, 1, 30, 5.424028
1, 1, 31, 5.424028
1, 1, 32, 5.424028
1, 2, 1, 3.445230
1, 2, 2, 3.445230
1, 2, 3, 3.445230
1, 2, 4, 3.445230
1, 2, 5, 3.445230
1, 2, 6, 3.445230
1, 2, 7, 3.445230
1, 2, 8, 3.445230
1, 2, 9, 3.445230
1, 2, 10, 3.445230
1, 2, 11, 3.445230
1, 2, 12, 3.445230
1, 2, 13, 3.445230
1, 2, 14, 3.445230
1, 2, 15, 3.445230
1, 2, 16, 3.445230
1, 2, 17, 3.445230
1, 2, 18, 3.445230
1, 2, 19, 3.445230
1, 2, 20, 3.445230
1, 2, 21, 3.445230
1, 2, 22, 3.445230
1, 2, 23, 3.445230
1, 2, 24, 3.445230
1, 2, 25, 3.445230
1, 2, 26, 3.445230
1, 2, 27, 3.445230
1, 2, 28, 3.445230
1, 2, 29, 3.445230
1, 2, 30, 3.445230
1, 2, 31, 3.445230
1, 2, 32, 3.445230
1, 3, 1, 3.445230
1, 3, 2, 3.063604
1, 3, 3, 3.063604
1, 3, 4, 3.063604
1, 3, 5, 3.063604
1, 3, 6, 3.063604
1, 3, 7, 3.063604
1, 3, 8, 3.063604
1, 3, 9, 3.063604
1, 3, 10, 3.063604
1, 3, 11, 3.063604
1, 3, 12, 3.063604
1, 3, 13, 3.063604
1, 3, 14, 3.063604
1, 3, 15, 3.063604
1, 3, 16, 3.063604
1, 3, 17, 3.063604
1, 3, 18, 3.063604
1, 3, 19, 3.063604
1, 3, 20, 3.063604
1, 3, 21, 3.063604
1, 3, 22, 3.063604
1, 3, 23, 3.063604
1, 3, 24, 3.063604
1, 3, 25, 3.063604
1, 3, 26, 3.063604
1, 3, 27, 3.063604
1, 3, 28, 3.063604
1, 3, 29, 3.063604
1, 3, 30, 3.063604
1, 3, 31, 3.063604
1, 3, 32, 3.063604
1, 4, 1, 3.445230
1, 4, 2, 2.897527
1, 4, 3, 2.893993
1, 4, 4, 2.893993
1, 4, 5, 2.893993
1, 4, 6, 2.893993
1, 4, 7, 2.893993
1, 4, 8, 2.893993
1, 4, 9, 2.893993
1, 4, 10, 2.893993
1, 4, 11, 2.893993
1, 4, 12, 2.893993
1, 4, 13, 2.893993
1, 4, 14, 2.893993
1, 4, 15, 2.893993
1, 4, 16, 2.893993
1, 4, 17, 2.893993
1, 4, 18, 2.893993
1, 4, 19, 2.893993
1, 4, 20, 2.893993
1, 4, 21, 2.893993
1, 4, 22, 2.893993
