PC=00000000, ---
PC=00000004, REG[ 1]=00000004
PC=00000008, REG[ 1]=00000090
PC=0000000c, REG[ 2]=0001000c
PC=00000010, REG[ 2]=00010000
PC=00000014, REG[ 8]=00010000
PC=00000018, REG[ 3]=00001018
PC=0000001c, REG[ 3]=00000ae0
PC=00000020, REG[ 4]=00000000
PC=00000024, REG[ 5]=00000000
PC=00000028, REG[ 6]=00000000
PC=0000002c, REG[ 7]=00000000
PC=00000030, REG[ 9]=00000000
PC=00000034, REG[10]=00000000
PC=00000038, REG[11]=00000000
PC=0000003c, REG[12]=00000000
PC=00000040, REG[13]=00000000
PC=00000044, REG[14]=00000000
PC=00000048, REG[15]=00000000
PC=0000004c, REG[16]=00000000
PC=00000050, REG[17]=00000000
PC=00000054, REG[18]=00000000
PC=00000058, REG[19]=00000000
PC=0000005c, REG[20]=00000000
PC=00000060, REG[21]=00000000
PC=00000064, REG[22]=00000000
PC=00000068, REG[23]=00000000
PC=0000006c, REG[24]=00000000
PC=00000070, REG[25]=00000000
PC=00000074, REG[26]=00000000
PC=00000078, REG[27]=00000000
PC=0000007c, REG[28]=00000000
PC=00000080, REG[29]=00000000
PC=00000084, REG[30]=00000000
PC=00000088, REG[31]=00000000
PC=0000008c, ---
PC=0000026c, REG[ 2]=0000fff0
PC=00000270, ---
PC=00000274, REG[11]=00000000
PC=00000278, REG[11]=000002e0
PC=0000027c, REG[10]=00000000
PC=00000280, REG[10]=000002fc
PC=00000284, REG[ 1]=00000284
PC=00000288, REG[ 1]=0000028c
PC=000000e0, REG[ 2]=0000ffe0
PC=000000e4, ---
PC=000000e8, ---
PC=000000ec, ---
PC=000000f0, REG[ 8]=0000fff0
PC=000000f4, REG[15]=00000072
PC=000000f8, REG[28]=000002fc
PC=000000fc, ---
PC=00000100, REG[ 6]=00000000
PC=00000104, REG[14]=00000000
PC=00000108, REG[ 6]=00000001
PC=0000010c, REG[15]=000002fd
PC=00000110, REG[15]=00000061
PC=00000114, ---
PC=00000104, REG[14]=00000001
PC=00000108, REG[ 6]=00000002
PC=0000010c, REG[15]=000002fe
PC=00000110, REG[15]=00000063
PC=00000114, ---
PC=00000104, REG[14]=00000002
PC=00000108, REG[ 6]=00000003
PC=0000010c, REG[15]=000002ff
PC=00000110, REG[15]=0000006b
PC=00000114, ---
PC=00000104, REG[14]=00000003
PC=00000108, REG[ 6]=00000004
PC=0000010c, REG[15]=00000300
PC=00000110, REG[15]=00000065
PC=00000114, ---
PC=00000104, REG[14]=00000004
PC=00000108, REG[ 6]=00000005
PC=0000010c, REG[15]=00000301
PC=00000110, REG[15]=00000074
PC=00000114, ---
PC=00000104, REG[14]=00000005
PC=00000108, REG[ 6]=00000006
PC=0000010c, REG[15]=00000302
PC=00000110, REG[15]=00000065
PC=00000114, ---
PC=00000104, REG[14]=00000006
PC=00000108, REG[ 6]=00000007
PC=0000010c, REG[15]=00000303
PC=00000110, REG[15]=00000065
PC=00000114, ---
PC=00000104, REG[14]=00000007
PC=00000108, REG[ 6]=00000008
PC=0000010c, REG[15]=00000304
PC=00000110, REG[15]=00000072
PC=00000114, ---
PC=00000104, REG[14]=00000008
PC=00000108, REG[ 6]=00000009
PC=0000010c, REG[15]=00000305
PC=00000110, REG[15]=00000069
PC=00000114, ---
PC=00000104, REG[14]=00000009
PC=00000108, REG[ 6]=0000000a
PC=0000010c, REG[15]=00000306
PC=00000110, REG[15]=0000006e
PC=00000114, ---
PC=00000104, REG[14]=0000000a
PC=00000108, REG[ 6]=0000000b
PC=0000010c, REG[15]=00000307
PC=00000110, REG[15]=00000067
PC=00000114, ---
PC=00000104, REG[14]=0000000b
PC=00000108, REG[ 6]=0000000c
PC=0000010c, REG[15]=00000308
PC=00000110, REG[15]=00000000
PC=00000114, ---
PC=00000118, REG[13]=00000065
PC=0000011c, REG[14]=0000000d
PC=00000120, REG[15]=00000034
PC=00000124, ---
PC=00000128, REG[29]=00000000
PC=0000012c, REG[13]=00000000
PC=00000130, REG[29]=00000001
PC=00000134, REG[16]=000002e1
PC=00000138, REG[15]=0000006c
PC=0000013c, ---
PC=0000012c, REG[13]=00000001
PC=00000130, REG[29]=00000002
PC=00000134, REG[16]=000002e2
PC=00000138, REG[15]=00000065
PC=0000013c, ---
PC=0000012c, REG[13]=00000002
PC=00000130, REG[29]=00000003
PC=00000134, REG[16]=000002e3
PC=00000138, REG[15]=00000063
PC=0000013c, ---
PC=0000012c, REG[13]=00000003
PC=00000130, REG[29]=00000004
PC=00000134, REG[16]=000002e4
PC=00000138, REG[15]=00000074
PC=0000013c, ---
PC=0000012c, REG[13]=00000004
PC=00000130, REG[29]=00000005
PC=00000134, REG[16]=000002e5
PC=00000138, REG[15]=00000072
PC=0000013c, ---
PC=0000012c, REG[13]=00000005
PC=00000130, REG[29]=00000006
PC=00000134, REG[16]=000002e6
PC=00000138, REG[15]=0000006f
PC=0000013c, ---
PC=0000012c, REG[13]=00000006
PC=00000130, REG[29]=00000007
PC=00000134, REG[16]=000002e7
PC=00000138, REG[15]=00000065
PC=0000013c, ---
PC=0000012c, REG[13]=00000007
PC=00000130, REG[29]=00000008
PC=00000134, REG[16]=000002e8
PC=00000138, REG[15]=0000006e
PC=0000013c, ---
PC=0000012c, REG[13]=00000008
PC=00000130, REG[29]=00000009
PC=00000134, REG[16]=000002e9
PC=00000138, REG[15]=00000063
PC=0000013c, ---
PC=0000012c, REG[13]=00000009
PC=00000130, REG[29]=0000000a
PC=00000134, REG[16]=000002ea
PC=00000138, REG[15]=00000065
PC=0000013c, ---
PC=0000012c, REG[13]=0000000a
PC=00000130, REG[29]=0000000b
PC=00000134, REG[16]=000002eb
PC=00000138, REG[15]=00000070
PC=0000013c, ---
PC=0000012c, REG[13]=0000000b
PC=00000130, REG[29]=0000000c
PC=00000134, REG[16]=000002ec
PC=00000138, REG[15]=00000068
PC=0000013c, ---
PC=0000012c, REG[13]=0000000c
PC=00000130, REG[29]=0000000d
PC=00000134, REG[16]=000002ed
PC=00000138, REG[15]=00000061
PC=0000013c, ---
PC=0000012c, REG[13]=0000000d
PC=00000130, REG[29]=0000000e
PC=00000134, REG[16]=000002ee
PC=00000138, REG[15]=0000006c
PC=0000013c, ---
PC=0000012c, REG[13]=0000000e
PC=00000130, REG[29]=0000000f
PC=00000134, REG[16]=000002ef
PC=00000138, REG[15]=0000006f
PC=0000013c, ---
PC=0000012c, REG[13]=0000000f
PC=00000130, REG[29]=00000010
PC=00000134, REG[16]=000002f0
PC=00000138, REG[15]=00000067
PC=0000013c, ---
PC=0000012c, REG[13]=00000010
PC=00000130, REG[29]=00000011
PC=00000134, REG[16]=000002f1
PC=00000138, REG[15]=00000072
PC=0000013c, ---
PC=0000012c, REG[13]=00000011
PC=00000130, REG[29]=00000012
PC=00000134, REG[16]=000002f2
PC=00000138, REG[15]=00000061
PC=0000013c, ---
PC=0000012c, REG[13]=00000012
PC=00000130, REG[29]=00000013
PC=00000134, REG[16]=000002f3
PC=00000138, REG[15]=00000070
PC=0000013c, ---
PC=0000012c, REG[13]=00000013
PC=00000130, REG[29]=00000014
PC=00000134, REG[16]=000002f4
PC=00000138, REG[15]=00000068
PC=0000013c, ---
PC=0000012c, REG[13]=00000014
PC=00000130, REG[29]=00000015
PC=00000134, REG[16]=000002f5
PC=00000138, REG[15]=00000069
PC=0000013c, ---
PC=0000012c, REG[13]=00000015
PC=00000130, REG[29]=00000016
PC=00000134, REG[16]=000002f6
PC=00000138, REG[15]=00000065
PC=0000013c, ---
PC=0000012c, REG[13]=00000016
PC=00000130, REG[29]=00000017
PC=00000134, REG[16]=000002f7
PC=00000138, REG[15]=00000073
PC=0000013c, ---
PC=0000012c, REG[13]=00000017
PC=00000130, REG[29]=00000018
PC=00000134, REG[16]=000002f8
PC=00000138, REG[15]=00000000
PC=0000013c, ---
PC=00000140, REG[13]=00000019
PC=00000144, REG[14]=00000145
PC=00000148, REG[13]=00000064
PC=0000014c, REG[ 5]=00000019
PC=00000150, REG[15]=00000514
PC=00000154, REG[15]=00000523
PC=00000158, REG[15]=00000520
PC=0000015c, REG[ 2]=0000fac0
PC=00000160, REG[31]=0000fac0
PC=00000164, REG[13]=0000000d
PC=00000168, REG[14]=00000000
PC=0000016c, REG[15]=00000000
PC=00000170, REG[15]=00000000
PC=00000174, REG[15]=0000fac0
PC=00000178, ---
PC=0000017c, REG[14]=00000001
PC=00000180, ---
PC=0000016c, REG[15]=00000019
PC=00000170, REG[15]=00000064
PC=00000174, REG[15]=0000fb24
PC=00000178, ---
PC=0000017c, REG[14]=00000002
PC=00000180, ---
PC=0000016c, REG[15]=00000032
PC=00000170, REG[15]=000000c8
