PC=00000000, REG[ 1]=00000001
PC=00000004, REG[ 2]=00000000
PC=00000008, REG[ 3]=00000010
PC=0000000c, REG[ 1]=00000002
PC=00000010, REG[ 1]=00000004
PC=00000014, REG[ 1]=00000008
PC=00000018, REG[ 1]=00000010
PC=0000001c, REG[ 1]=00000020
PC=00000020, REG[ 1]=00000040
PC=00000024, REG[ 2]=00000001
PC=00000028, ---
PC=0000000c, REG[ 1]=00000080
PC=00000010, REG[ 1]=00000100
PC=00000014, REG[ 1]=00000200
PC=00000018, REG[ 1]=00000400
PC=0000001c, REG[ 1]=00000800
PC=00000020, REG[ 1]=00001000
PC=00000024, REG[ 2]=00000002
PC=00000028, ---
PC=0000000c, REG[ 1]=00002000
PC=00000010, REG[ 1]=00004000
PC=00000014, REG[ 1]=00008000
PC=00000018, REG[ 1]=00010000
PC=0000001c, REG[ 1]=00020000
PC=00000020, REG[ 1]=00040000
PC=00000024, REG[ 2]=00000003
PC=00000028, ---
PC=0000000c, REG[ 1]=00080000
PC=00000010, REG[ 1]=00100000
PC=00000014, REG[ 1]=00200000
PC=00000018, REG[ 1]=00400000
PC=0000001c, REG[ 1]=00800000
PC=00000020, REG[ 1]=01000000
PC=00000024, REG[ 2]=00000004
PC=00000028, ---
PC=0000000c, REG[ 1]=02000000
PC=00000010, REG[ 1]=04000000
PC=00000014, REG[ 1]=08000000
PC=00000018, REG[ 1]=10000000
PC=0000001c, REG[ 1]=20000000
PC=00000020, REG[ 1]=40000000
PC=00000024, REG[ 2]=00000005
PC=00000028, ---
PC=0000000c, REG[ 1]=80000000
PC=00000010, REG[ 1]=00000000
PC=00000014, REG[ 1]=00000000
PC=00000018, REG[ 1]=00000000
PC=0000001c, REG[ 1]=00000000
PC=00000020, REG[ 1]=00000000
PC=00000024, REG[ 2]=00000006
PC=00000028, ---
PC=0000000c, REG[ 1]=00000000
PC=00000010, REG[ 1]=00000000
PC=00000014, REG[ 1]=00000000
PC=00000018, REG[ 1]=00000000
PC=0000001c, REG[ 1]=00000000
PC=00000020, REG[ 1]=00000000
PC=00000024, REG[ 2]=00000007
PC=00000028, ---
PC=0000000c, REG[ 1]=00000000
PC=00000010, REG[ 1]=00000000
PC=00000014, REG[ 1]=00000000
PC=00000018, REG[ 1]=00000000
PC=0000001c, REG[ 1]=00000000
PC=00000020, REG[ 1]=00000000
PC=00000024, REG[ 2]=00000008
PC=00000028, ---
PC=0000000c, REG[ 1]=00000000
PC=00000010, REG[ 1]=00000000
PC=00000014, REG[ 1]=00000000
PC=00000018, REG[ 1]=00000000
PC=0000001c, REG[ 1]=00000000
PC=00000020, REG[ 1]=00000000
PC=00000024, REG[ 2]=00000009
PC=00000028, ---
PC=0000000c, REG[ 1]=00000000
PC=00000010, REG[ 1]=00000000
PC=00000014, REG[ 1]=00000000
PC=00000018, REG[ 1]=00000000
PC=0000001c, REG[ 1]=00000000
PC=00000020, REG[ 1]=00000000
PC=00000024, REG[ 2]=0000000a
PC=00000028, ---
PC=0000000c, REG[ 1]=00000000
PC=00000010, REG[ 1]=00000000
PC=00000014, REG[ 1]=00000000
PC=00000018, REG[ 1]=00000000
PC=0000001c, REG[ 1]=00000000
PC=00000020, REG[ 1]=00000000
PC=00000024, REG[ 2]=0000000b
PC=00000028, ---
PC=0000000c, REG[ 1]=00000000
PC=00000010, REG[ 1]=00000000
PC=00000014, REG[ 1]=00000000
PC=00000018, REG[ 1]=00000000
PC=0000001c, REG[ 1]=00000000
PC=00000020, REG[ 1]=00000000
PC=00000024, REG[ 2]=0000000c
PC=00000028, ---
PC=0000000c, REG[ 1]=00000000
PC=00000010, REG[ 1]=00000000
PC=00000014, REG[ 1]=00000000
PC=00000018, REG[ 1]=00000000
PC=0000001c, REG[ 1]=00000000
PC=00000020, REG[ 1]=00000000
PC=00000024, REG[ 2]=0000000d
PC=00000028, ---
PC=0000000c, REG[ 1]=00000000
PC=00000010, REG[ 1]=00000000
PC=00000014, REG[ 1]=00000000
PC=00000018, REG[ 1]=00000000
PC=0000001c, REG[ 1]=00000000
PC=00000020, REG[ 1]=00000000
PC=00000024, REG[ 2]=0000000e
PC=00000028, ---
PC=0000000c, REG[ 1]=00000000
PC=00000010, REG[ 1]=00000000
PC=00000014, REG[ 1]=00000000
PC=00000018, REG[ 1]=00000000
PC=0000001c, REG[ 1]=00000000
PC=00000020, REG[ 1]=00000000
PC=00000024, REG[ 2]=0000000f
PC=00000028, ---
PC=0000000c, REG[ 1]=00000000
PC=00000010, REG[ 1]=00000000
PC=00000014, REG[ 1]=00000000
PC=00000018, REG[ 1]=00000000
PC=0000001c, REG[ 1]=00000000
PC=00000020, REG[ 1]=00000000
PC=00000024, REG[ 2]=00000010
PC=00000028, ---
PC=0000002c, ---
