PC=00000000, REG[ 1]=00000001
PC=00000004, REG[ 4]=00000001
PC=00000008, REG[ 2]=00000000
PC=0000000c, REG[ 3]=00000010
PC=00000010, REG[ 1]=00000002
PC=00000014, REG[ 1]=00000004
PC=00000018, REG[ 4]=00000002
PC=0000001c, REG[ 1]=00000008
PC=00000020, REG[ 4]=00000004
PC=00000024, REG[ 1]=00000010
PC=00000028, REG[ 2]=00000001
PC=0000002c, ---
PC=00000010, REG[ 1]=00000020
PC=00000014, REG[ 1]=00000040
PC=00000018, REG[ 4]=00000008
PC=0000001c, REG[ 1]=00000080
PC=00000020, REG[ 4]=00000010
PC=00000024, REG[ 1]=00000100
PC=00000028, REG[ 2]=00000002
PC=0000002c, ---
PC=00000010, REG[ 1]=00000200
PC=00000014, REG[ 1]=00000400
PC=00000018, REG[ 4]=00000020
PC=0000001c, REG[ 1]=00000800
PC=00000020, REG[ 4]=00000040
PC=00000024, REG[ 1]=00001000
PC=00000028, REG[ 2]=00000003
PC=0000002c, ---
PC=00000010, REG[ 1]=00002000
PC=00000014, REG[ 1]=00004000
PC=00000018, REG[ 4]=00000080
PC=0000001c, REG[ 1]=00008000
PC=00000020, REG[ 4]=00000100
PC=00000024, REG[ 1]=00010000
PC=00000028, REG[ 2]=00000004
PC=0000002c, ---
PC=00000010, REG[ 1]=00020000
PC=00000014, REG[ 1]=00040000
PC=00000018, REG[ 4]=00000200
PC=0000001c, REG[ 1]=00080000
PC=00000020, REG[ 4]=00000400
PC=00000024, REG[ 1]=00100000
PC=00000028, REG[ 2]=00000005
PC=0000002c, ---
PC=00000010, REG[ 1]=00200000
PC=00000014, REG[ 1]=00400000
PC=00000018, REG[ 4]=00000800
PC=0000001c, REG[ 1]=00800000
PC=00000020, REG[ 4]=00001000
PC=00000024, REG[ 1]=01000000
PC=00000028, REG[ 2]=00000006
PC=0000002c, ---
PC=00000010, REG[ 1]=02000000
PC=00000014, REG[ 1]=04000000
PC=00000018, REG[ 4]=00002000
PC=0000001c, REG[ 1]=08000000
PC=00000020, REG[ 4]=00004000
PC=00000024, REG[ 1]=10000000
PC=00000028, REG[ 2]=00000007
PC=0000002c, ---
PC=00000010, REG[ 1]=20000000
PC=00000014, REG[ 1]=40000000
PC=00000018, REG[ 4]=00008000
PC=0000001c, REG[ 1]=80000000
PC=00000020, REG[ 4]=00010000
PC=00000024, REG[ 1]=00000000
PC=00000028, REG[ 2]=00000008
PC=0000002c, ---
PC=00000010, REG[ 1]=00000000
PC=00000014, REG[ 1]=00000000
PC=00000018, REG[ 4]=00020000
PC=0000001c, REG[ 1]=00000000
PC=00000020, REG[ 4]=00040000
PC=00000024, REG[ 1]=00000000
PC=00000028, REG[ 2]=00000009
PC=0000002c, ---
PC=00000010, REG[ 1]=00000000
PC=00000014, REG[ 1]=00000000
PC=00000018, REG[ 4]=00080000
PC=0000001c, REG[ 1]=00000000
PC=00000020, REG[ 4]=00100000
PC=00000024, REG[ 1]=00000000
PC=00000028, REG[ 2]=0000000a
PC=0000002c, ---
PC=00000010, REG[ 1]=00000000
PC=00000014, REG[ 1]=00000000
PC=00000018, REG[ 4]=00200000
PC=0000001c, REG[ 1]=00000000
PC=00000020, REG[ 4]=00400000
PC=00000024, REG[ 1]=00000000
PC=00000028, REG[ 2]=0000000b
PC=0000002c, ---
PC=00000010, REG[ 1]=00000000
PC=00000014, REG[ 1]=00000000
PC=00000018, REG[ 4]=00800000
PC=0000001c, REG[ 1]=00000000
PC=00000020, REG[ 4]=01000000
PC=00000024, REG[ 1]=00000000
PC=00000028, REG[ 2]=0000000c
PC=0000002c, ---
PC=00000010, REG[ 1]=00000000
PC=00000014, REG[ 1]=00000000
PC=00000018, REG[ 4]=02000000
PC=0000001c, REG[ 1]=00000000
PC=00000020, REG[ 4]=04000000
PC=00000024, REG[ 1]=00000000
PC=00000028, REG[ 2]=0000000d
PC=0000002c, ---
PC=00000010, REG[ 1]=00000000
PC=00000014, REG[ 1]=00000000
PC=00000018, REG[ 4]=08000000
PC=0000001c, REG[ 1]=00000000
PC=00000020, REG[ 4]=10000000
PC=00000024, REG[ 1]=00000000
PC=00000028, REG[ 2]=0000000e
PC=0000002c, ---
PC=00000010, REG[ 1]=00000000
PC=00000014, REG[ 1]=00000000
PC=00000018, REG[ 4]=20000000
PC=0000001c, REG[ 1]=00000000
PC=00000020, REG[ 4]=40000000
PC=00000024, REG[ 1]=00000000
PC=00000028, REG[ 2]=0000000f
PC=0000002c, ---
PC=00000010, REG[ 1]=00000000
PC=00000014, REG[ 1]=00000000
PC=00000018, REG[ 4]=80000000
PC=0000001c, REG[ 1]=00000000
PC=00000020, REG[ 4]=00000000
PC=00000024, REG[ 1]=00000000
PC=00000028, REG[ 2]=00000010
PC=0000002c, ---
PC=00000030, ---
