PC=00000000, ---
PC=00000004, REG[ 1]=00000004
PC=00000008, REG[ 1]=000000a0
PC=0000000c, REG[ 2]=0001000c
PC=00000010, REG[ 2]=00010000
PC=00000014, REG[ 8]=00010000
PC=00000018, REG[ 3]=00002018
PC=0000001c, REG[ 3]=00001f60
PC=00000020, REG[ 4]=00000000
PC=00000024, REG[ 5]=00000000
PC=00000028, REG[ 6]=00000000
PC=0000002c, REG[ 7]=00000000
PC=00000030, REG[ 9]=00000000
PC=00000034, REG[10]=00000000
PC=00000038, REG[11]=00000000
PC=0000003c, REG[12]=00000000
PC=00000040, REG[13]=00000000
PC=00000044, REG[14]=00000000
PC=00000048, REG[15]=00000000
PC=0000004c, REG[16]=00000000
PC=00000050, REG[17]=00000000
PC=00000054, REG[18]=00000000
PC=00000058, REG[19]=00000000
PC=0000005c, REG[20]=00000000
PC=00000060, REG[21]=00000000
PC=00000064, REG[22]=00000000
PC=00000068, REG[23]=00000000
PC=0000006c, REG[24]=00000000
PC=00000070, REG[25]=00000000
PC=00000074, REG[26]=00000000
PC=00000078, REG[27]=00000000
PC=0000007c, REG[28]=00000000
PC=00000080, REG[29]=00000000
PC=00000084, REG[30]=00000000
PC=00000088, REG[31]=00000000
PC=0000008c, ---
PC=000010f8, REG[12]=00001000
PC=000010fc, REG[15]=0000ace1
PC=00001100, REG[14]=0000b000
PC=00001104, REG[13]=00000003
PC=00001108, REG[14]=0000b400
PC=0000110c, REG[11]=00000005
PC=00001110, REG[10]=00000001
PC=00001114, REG[15]=00005670
PC=00001118, ---
PC=0000111c, REG[15]=0000e270
PC=00001120, REG[10]=00000000
PC=00001124, REG[15]=00007138
PC=00001128, ---
PC=00001130, REG[10]=00000000
PC=00001134, REG[15]=0000389c
PC=00001138, ---
PC=00001140, REG[10]=00000000
PC=00001144, REG[15]=00001c4e
PC=00001148, ---
PC=00001150, REG[10]=00000000
PC=00001154, REG[15]=00000e27
PC=00001158, ---
PC=00001160, REG[10]=00000001
PC=00001164, REG[15]=00000713
PC=00001168, ---
PC=0000116c, REG[15]=0000b313
PC=00001170, REG[10]=00000001
PC=00001174, REG[15]=00005989
PC=00001178, ---
PC=0000117c, REG[15]=0000ed89
PC=00001180, REG[10]=00000001
PC=00001184, REG[15]=000076c4
PC=00001188, ---
PC=0000118c, REG[15]=0000c2c4
PC=00001190, REG[10]=00000000
PC=00001194, REG[15]=00006162
PC=00001198, ---
PC=000011a0, REG[10]=00000000
PC=000011a4, REG[15]=000030b1
PC=000011a8, ---
PC=000011b0, REG[10]=00000001
PC=000011b4, REG[15]=00001858
PC=000011b8, ---
PC=000011bc, REG[15]=0000ac58
PC=000011c0, REG[10]=00000000
PC=000011c4, REG[15]=0000562c
PC=000011c8, ---
PC=000011d0, REG[10]=00000000
PC=000011d4, REG[15]=00002b16
PC=000011d8, ---
PC=000011e0, REG[10]=00000000
PC=000011e4, REG[15]=0000158b
PC=000011e8, ---
PC=000011f0, REG[10]=00000001
PC=000011f4, REG[15]=00000ac5
PC=000011f8, ---
PC=000011fc, REG[15]=0000bec5
PC=00001200, REG[10]=00000001
PC=00001204, REG[15]=00005f62
PC=00001208, ---
PC=0000120c, REG[15]=0000eb62
PC=00001210, REG[10]=00000000
PC=00001214, REG[15]=000075b1
PC=00001218, ---
PC=00001220, REG[10]=00000001
PC=00001224, REG[15]=00003ad8
PC=00001228, ---
PC=0000122c, REG[15]=00008ed8
PC=00001230, REG[10]=00000000
PC=00001234, REG[15]=0000476c
PC=00001238, ---
PC=00001240, REG[10]=00000000
PC=00001244, REG[15]=000023b6
PC=00001248, ---
PC=00001250, REG[10]=00000000
PC=00001254, REG[15]=000011db
PC=00001258, ---
PC=00001260, REG[10]=00000001
PC=00001264, REG[15]=000008ed
PC=00001268, ---
PC=0000126c, REG[15]=0000bced
PC=00001270, REG[10]=00000001
PC=00001274, REG[15]=00005e76
PC=00001278, ---
PC=0000127c, REG[15]=0000ea76
PC=00001280, REG[10]=00000000
PC=00001284, REG[15]=0000753b
PC=00001288, ---
PC=00001290, REG[10]=00000001
PC=00001294, REG[15]=00003a9d
PC=00001298, ---
PC=0000129c, REG[15]=00008e9d
PC=000012a0, REG[11]=00000004
PC=000012a4, ---
PC=00001110, REG[10]=00000001
PC=00001114, REG[15]=0000474e
PC=00001118, ---
PC=0000111c, REG[15]=0000f34e
PC=00001120, REG[10]=00000000
PC=00001124, REG[15]=000079a7
PC=00001128, ---
PC=00001130, REG[10]=00000001
PC=00001134, REG[15]=00003cd3
PC=00001138, ---
PC=0000113c, REG[15]=000088d3
PC=00001140, REG[10]=00000001
PC=00001144, REG[15]=00004469
PC=00001148, ---
PC=0000114c, REG[15]=0000f069
PC=00001150, REG[10]=00000001
PC=00001154, REG[15]=00007834
PC=00001158, ---
PC=0000115c, REG[15]=0000cc34
PC=00001160, REG[10]=00000000
PC=00001164, REG[15]=0000661a
PC=00001168, ---
PC=00001170, REG[10]=00000000
PC=00001174, REG[15]=0000330d
PC=00001178, ---
PC=00001180, REG[10]=00000001
PC=00001184, REG[15]=00001986
PC=00001188, ---
PC=0000118c, REG[15]=0000ad86
PC=00001190, REG[10]=00000000
PC=00001194, REG[15]=000056c3
PC=00001198, ---
PC=000011a0, REG[10]=00000001
PC=000011a4, REG[15]=00002b61
PC=000011a8, ---
PC=000011ac, REG[15]=00009f61
PC=000011b0, REG[10]=00000001
PC=000011b4, REG[15]=00004fb0
PC=000011b8, ---
PC=000011bc, REG[15]=0000fbb0
PC=000011c0, REG[10]=00000000
PC=000011c4, REG[15]=00007dd8
PC=000011c8, ---
PC=000011d0, REG[10]=00000000
PC=000011d4, REG[15]=00003eec
PC=000011d8, ---
PC=000011e0, REG[10]=00000000
PC=000011e4, REG[15]=00001f76
PC=000011e8, ---
PC=000011f0, REG[10]=00000000
PC=000011f4, REG[15]=00000fbb
PC=000011f8, ---
PC=00001200, REG[10]=00000001
PC=00001204, REG[15]=000007dd
PC=00001208, ---
PC=0000120c, REG[15]=0000b3dd
PC=00001210, REG[10]=00000001
PC=00001214, REG[15]=000059ee
PC=00001218, ---
PC=0000121c, REG[15]=0000edee
PC=00001220, REG[10]=00000000
PC=00001224, REG[15]=000076f7
PC=00001228, ---
PC=00001230, REG[10]=00000001
PC=00001234, REG[15]=00003b7b
PC=00001238, ---
PC=0000123c, REG[15]=00008f7b
PC=00001240, REG[10]=00000001
PC=00001244, REG[15]=000047bd
PC=00001248, ---
PC=0000124c, REG[15]=0000f3bd
PC=00001250, REG[10]=00000001
PC=00001254, REG[15]=000079de
PC=00001258, ---
PC=0000125c, REG[15]=0000cdde
PC=00001260, REG[10]=00000000
PC=00001264, REG[15]=000066ef
PC=00001268, ---
PC=00001270, REG[10]=00000001
PC=00001274, REG[15]=00003377
PC=00001278, ---
PC=0000127c, REG[15]=00008777
PC=00001280, REG[10]=00000001
PC=00001284, REG[15]=000043bb
PC=00001288, ---
PC=0000128c, REG[15]=0000f7bb
PC=00001290, REG[10]=00000001
PC=00001294, REG[15]=00007bdd
PC=00001298, ---
