PC=00000000, ---
PC=00000004, REG[ 1]=00000004
PC=00000008, REG[ 1]=000000a0
PC=0000000c, REG[ 2]=0001000c
PC=00000010, REG[ 2]=00010000
PC=00000014, REG[ 8]=00010000
PC=00000018, REG[ 3]=00002018
PC=0000001c, REG[ 3]=00001e00
PC=00000020, REG[ 4]=00000000
PC=00000024, REG[ 5]=00000000
PC=00000028, REG[ 6]=00000000
PC=0000002c, REG[ 7]=00000000
PC=00000030, REG[ 9]=00000000
PC=00000034, REG[10]=00000000
PC=00000038, REG[11]=00000000
PC=0000003c, REG[12]=00000000
PC=00000040, REG[13]=00000000
PC=00000044, REG[14]=00000000
PC=00000048, REG[15]=00000000
PC=0000004c, REG[16]=00000000
PC=00000050, REG[17]=00000000
PC=00000054, REG[18]=00000000
PC=00000058, REG[19]=00000000
PC=0000005c, REG[20]=00000000
PC=00000060, REG[21]=00000000
PC=00000064, REG[22]=00000000
PC=00000068, REG[23]=00000000
PC=0000006c, REG[24]=00000000
PC=00000070, REG[25]=00000000
PC=00000074, REG[26]=00000000
PC=00000078, REG[27]=00000000
PC=0000007c, REG[28]=00000000
PC=00000080, REG[29]=00000000
PC=00000084, REG[30]=00000000
PC=00000088, REG[31]=00000000
PC=0000008c, ---
PC=0000159c, REG[ 2]=0000fff0
PC=000015a0, ---
PC=000015a4, REG[ 1]=000005a4
PC=000015a8, REG[ 1]=000015ac
PC=000006c4, REG[15]=00001000
PC=000006c8, REG[15]=00001600
PC=000006cc, REG[ 2]=0000fef0
PC=000006d0, REG[ 7]=ffffffff
PC=000006d4, REG[ 5]=fffffffe
PC=000006d8, REG[31]=fffffffe
PC=000006dc, REG[30]=ffffffff
PC=000006e0, REG[29]=00000001
PC=000006e4, REG[28]=00000002
PC=000006e8, REG[17]=00000002
PC=000006ec, REG[16]=00000002
PC=000006f0, REG[10]=00000001
PC=000006f4, REG[11]=ffffffff
PC=000006f8, REG[12]=fffffffe
PC=000006fc, REG[13]=fffffffe
PC=00000700, REG[14]=ffffffff
PC=00000704, REG[ 6]=00000001
PC=00000708, ---
PC=0000070c, ---
PC=00000710, REG[ 8]=00000001
PC=00000714, REG[ 9]=00000002
PC=00000718, REG[15]=ffffffff
PC=0000071c, ---
PC=00000720, ---
PC=00000724, ---
PC=00000728, ---
PC=0000072c, ---
PC=00000730, ---
PC=00000734, ---
PC=00000738, ---
PC=0000073c, ---
PC=00000740, ---
PC=00000744, ---
PC=00000748, ---
PC=0000074c, ---
PC=00000750, ---
PC=00000754, ---
PC=00000758, ---
PC=0000075c, ---
PC=00000760, ---
PC=00000764, ---
PC=00000768, ---
PC=0000076c, REG[15]=0000ff6c
PC=00000770, REG[ 7]=0000ff4c
PC=00000774, ---
PC=00000778, ---
PC=0000077c, ---
PC=00000780, ---
PC=00000784, ---
PC=00000788, ---
PC=0000078c, ---
PC=00000790, ---
PC=00000794, ---
PC=00000798, ---
PC=0000079c, ---
PC=000007a0, ---
PC=000007a4, ---
PC=000007a8, ---
PC=000007ac, ---
PC=000007b0, ---
PC=000007b4, REG[26]=ffffffff
PC=000007b8, REG[27]=00000005
PC=000007bc, REG[25]=0000ff6c
PC=000007c0, REG[24]=0000ff4c
PC=000007c4, REG[ 5]=00000002
PC=000007c8, REG[14]=00000002
PC=000007cc, ---
PC=000007d0, REG[ 7]=00000001
PC=000007d4, ---
PC=000007d8, REG[14]=00000004
PC=000007dc, REG[14]=00000006
PC=000007e0, REG[14]=00000007
PC=000007e4, REG[14]=0000001c
PC=000007e8, REG[13]=0000ff8c
PC=000007ec, REG[23]=0000ffa8
PC=000007f0, REG[14]=ffffffff
PC=000007f4, ---
PC=00000844, REG[14]=00000001
PC=00000848, REG[19]=0000ff6c
PC=0000084c, REG[ 8]=0000ff4c
PC=00000850, ---
PC=00000854, REG[22]=0000ff6c
PC=00000858, REG[21]=0000ff4c
PC=0000085c, REG[25]=00000001
PC=00000860, REG[24]=00000002
PC=00000864, REG[13]=00000002
PC=00000868, REG[14]=00000002
PC=0000086c, REG[ 9]=00000004
PC=00000870, ---
PC=000008a0, REG[21]=0000ff50
PC=000008a4, REG[22]=0000ff70
PC=000008a8, ---
PC=00000864, REG[13]=00000001
PC=00000868, REG[14]=00000002
PC=0000086c, REG[ 9]=00000003
PC=00000870, ---
PC=000008a0, REG[21]=0000ff54
PC=000008a4, REG[22]=0000ff74
PC=000008a8, ---
PC=00000864, REG[13]=ffffffff
PC=00000868, REG[14]=00000002
PC=0000086c, REG[ 9]=00000001
PC=00000870, ---
PC=00000874, REG[13]=00000002
PC=00000878, REG[28]=00000003
PC=0000087c, ---
PC=000008a0, REG[21]=0000ff58
PC=000008a4, REG[22]=0000ff78
PC=000008a8, ---
PC=00000864, REG[13]=fffffffe
PC=00000868, REG[14]=00000002
PC=0000086c, REG[ 9]=00000000
PC=00000870, ---
PC=00000874, REG[13]=00000001
PC=00000878, REG[28]=00000002
PC=0000087c, ---
PC=00000880, REG[13]=00000000
PC=00000884, REG[13]=00000000
PC=00000888, REG[13]=00000002
PC=0000088c, REG[13]=00000008
PC=00000890, REG[12]=0000ff8c
PC=00000894, REG[20]=0000ff94
PC=00000898, REG[13]=ffffffff
PC=0000089c, ---
PC=000008bc, REG[31]=0000ff4c
PC=000008c0, ---
PC=000008c4, ---
PC=000008c8, ---
PC=000008cc, REG[23]=00000001
PC=000008d0, REG[19]=0000ff4c
PC=000008d4, REG[ 5]=0000ff6c
PC=000008d8, REG[31]=0000ff94
PC=000008dc, REG[18]=00000002
PC=000008e0, REG[25]=00000002
PC=000008e4, ---
PC=000008e8, ---
PC=000008ec, ---
PC=000008f0, REG[20]=00000000
PC=000008f4, REG[ 8]=00000002
PC=000008f8, REG[ 8]=00000002
PC=000008fc, ---
PC=00000900, REG[16]=00000001
PC=00000904, REG[16]=00000003
PC=00000908, ---
PC=0000092c, REG[19]=0000ff50
PC=00000930, REG[ 5]=0000ff70
PC=00000934, ---
PC=000008f4, REG[ 8]=00000001
PC=000008f8, REG[ 8]=00000001
PC=000008fc, ---
PC=00000900, REG[16]=00000002
PC=00000904, REG[16]=00000004
PC=00000908, ---
PC=0000092c, REG[19]=0000ff54
PC=00000930, REG[ 5]=0000ff74
PC=00000934, ---
PC=000008f4, REG[ 8]=ffffffff
PC=000008f8, REG[ 8]=ffffffff
PC=000008fc, ---
PC=0000092c, REG[19]=0000ff58
PC=00000930, REG[ 5]=0000ff78
PC=00000934, ---
PC=000008f4, REG[ 8]=fffffffe
PC=000008f8, REG[ 8]=fffffffe
PC=000008fc, ---
PC=0000092c, REG[19]=0000ff5c
PC=00000930, REG[ 5]=0000ff7c
PC=00000934, ---
PC=000008f4, REG[ 8]=fffffffe
PC=000008f8, REG[ 8]=fffffffe
PC=000008fc, ---
PC=0000092c, REG[19]=0000ff60
PC=00000930, REG[ 5]=0000ff80
PC=00000934, ---
PC=000008f4, REG[ 8]=ffffffff
PC=000008f8, REG[ 8]=ffffffff
PC=000008fc, ---
PC=0000092c, REG[19]=0000ff64
PC=00000930, REG[ 5]=0000ff84
