PC=00000000, ---
PC=00000004, REG[ 1]=00000004
PC=00000008, REG[ 1]=000000a0
PC=0000000c, REG[ 2]=0001000c
PC=00000010, REG[ 2]=00010000
PC=00000014, REG[ 8]=00010000
PC=00000018, REG[ 3]=00001018
PC=0000001c, REG[ 3]=000013c0
PC=00000020, REG[ 4]=00000000
PC=00000024, REG[ 5]=00000000
PC=00000028, REG[ 6]=00000000
PC=0000002c, REG[ 7]=00000000
PC=00000030, REG[ 9]=00000000
PC=00000034, REG[10]=00000000
PC=00000038, REG[11]=00000000
PC=0000003c, REG[12]=00000000
PC=00000040, REG[13]=00000000
PC=00000044, REG[14]=00000000
PC=00000048, REG[15]=00000000
PC=0000004c, REG[16]=00000000
PC=00000050, REG[17]=00000000
PC=00000054, REG[18]=00000000
PC=00000058, REG[19]=00000000
PC=0000005c, REG[20]=00000000
PC=00000060, REG[21]=00000000
PC=00000064, REG[22]=00000000
PC=00000068, REG[23]=00000000
PC=0000006c, REG[24]=00000000
PC=00000070, REG[25]=00000000
PC=00000074, REG[26]=00000000
PC=00000078, REG[27]=00000000
PC=0000007c, REG[28]=00000000
PC=00000080, REG[29]=00000000
PC=00000084, REG[30]=00000000
PC=00000088, REG[31]=00000000
PC=0000008c, ---
PC=00000900, REG[ 2]=0000fff0
PC=00000904, ---
PC=00000908, REG[ 8]=00005000
PC=0000090c, REG[ 8]=00004c2c
PC=00000910, ---
PC=00000914, ---
PC=00000918, ---
PC=0000091c, ---
PC=00000920, ---
PC=00000924, ---
PC=00000928, ---
PC=0000092c, ---
PC=00000930, ---
PC=00000934, ---
PC=00000938, ---
PC=0000093c, ---
PC=00000940, ---
PC=00000944, ---
PC=00000948, ---
PC=0000094c, ---
PC=00000950, ---
PC=00000954, ---
PC=00000958, ---
PC=0000095c, ---
PC=00000960, ---
PC=00000964, ---
PC=00000968, ---
PC=0000096c, ---
PC=00000970, ---
PC=00000974, ---
PC=00000978, ---
PC=0000097c, ---
PC=00000980, REG[ 1]=fffff980
PC=00000984, REG[ 1]=00000988
PC=0000017c, REG[ 2]=0000ffd0
PC=00000180, ---
PC=00000184, REG[18]=00001000
PC=00000188, REG[13]=00000000
PC=0000018c, ---
PC=00000190, ---
PC=00000194, ---
PC=00000198, ---
PC=0000019c, ---
PC=000001a0, ---
PC=000001a4, ---
PC=00000278, REG[10]=00001000
PC=0000027c, REG[15]=00000c10
PC=00000280, REG[13]=00000c10
PC=00000284, ---
PC=00000288, ---
PC=0000028c, ---
PC=00000290, REG[10]=00000c10
PC=00000294, ---
PC=000001b8, REG[ 9]=00001000
PC=000001bc, REG[20]=0000000b
PC=000001c0, REG[19]=00001000
PC=000001c4, REG[21]=00000004
PC=000001c8, REG[ 8]=00000003
PC=000001cc, ---
PC=000001dc, REG[15]=00000c10
PC=000001e0, ---
PC=000001e4, REG[15]=00004000
PC=000001e8, REG[14]=00003ff4
PC=000001ec, ---
PC=000001f0, REG[10]=00000c18
PC=000001f4, ---
PC=000001f8, REG[15]=00000c24
PC=000001fc, ---
PC=00000200, REG[10]=00000c20
PC=00000204, ---
PC=00000208, REG[ 1]=00000208
PC=0000020c, REG[ 1]=00000210
PC=000000b4, REG[15]=00001000
PC=000000b8, REG[15]=00000c18
PC=000000bc, ---
PC=000000c0, REG[15]=00005000
PC=000000c4, REG[15]=00004c18
PC=000000c8, ---
PC=000000cc, REG[16]=00001000
PC=000000d0, REG[15]=00000c10
PC=000000d4, REG[13]=00000c18
PC=000000d8, REG[14]=00000c10
PC=000000dc, ---
PC=000000e0, ---
PC=000000e4, ---
PC=000000fc, REG[11]=00000004
PC=00000100, REG[12]=00000020
PC=00000104, REG[12]=00000c38
PC=00000108, ---
PC=0000010c, REG[17]=00000000
PC=00000110, ---
PC=00000114, REG[12]=00000000
PC=00000118, REG[12]=00000c10
PC=0000011c, ---
PC=00000120, ---
PC=00000124, ---
PC=00000128, ---
PC=00000210, REG[15]=00000c10
PC=00000214, ---
PC=00000218, REG[10]=00000c18
PC=0000021c, REG[13]=00000c10
PC=00000220, REG[14]=00000004
PC=00000224, ---
PC=00000228, REG[13]=00000004
PC=0000022c, ---
PC=00000298, REG[14]=00000c10
PC=0000029c, ---
PC=000002a0, ---
PC=00000244, ---
PC=00000248, REG[10]=00000c20
PC=0000024c, REG[ 1]=00000988
PC=00000250, REG[ 8]=00004c2c
PC=00000254, REG[ 9]=00000000
PC=00000258, REG[18]=00000000
PC=0000025c, REG[19]=00000000
PC=00000260, REG[20]=00000000
PC=00000264, REG[21]=00000000
PC=00000268, REG[ 2]=0000fff0
PC=0000026c, ---
PC=00000988, REG[15]=00000053
PC=0000098c, REG[ 9]=00001000
PC=00000990, ---
PC=00000994, REG[15]=00000000
PC=00000998, REG[18]=00005000
PC=0000099c, REG[18]=00004c90
PC=000009a0, REG[14]=00000000
PC=000009a4, REG[14]=00004c90
PC=000009a8, ---
PC=000009ac, REG[15]=00000001
PC=000009b0, ---
PC=000009b4, ---
PC=000009b8, REG[ 1]=fffff9b8
PC=000009bc, REG[ 1]=000009c0
PC=0000017c, REG[ 2]=0000ffd0
PC=00000180, ---
PC=00000184, REG[18]=00001000
PC=00000188, REG[13]=00000c10
PC=0000018c, ---
PC=00000190, ---
PC=00000194, ---
PC=00000198, ---
PC=0000019c, ---
PC=000001a0, ---
PC=000001a4, ---
PC=000001a8, REG[10]=00000c10
PC=000001ac, REG[15]=00000003
PC=000001b0, REG[14]=00000000
PC=000001b4, ---
PC=000001b8, REG[ 9]=00001000
PC=000001bc, REG[20]=0000000b
PC=000001c0, REG[19]=00001000
PC=000001c4, REG[21]=00000004
PC=000001c8, REG[ 8]=00000003
PC=000001cc, ---
PC=000001dc, REG[15]=00000c10
PC=000001e0, ---
PC=000001e4, REG[15]=00003ff4
PC=000001e8, REG[14]=00003fe8
PC=000001ec, ---
PC=000001f0, REG[10]=00000c24
PC=000001f4, ---
PC=000001f8, REG[15]=00000c30
PC=000001fc, ---
PC=00000200, REG[10]=00000c2c
PC=00000204, ---
PC=00000208, REG[ 1]=00000208
PC=0000020c, REG[ 1]=00000210
PC=000000b4, REG[15]=00001000
PC=000000b8, REG[15]=00000c18
PC=000000bc, ---
PC=000000c0, REG[15]=00005000
PC=000000c4, REG[15]=00004c18
PC=000000c8, ---
PC=000000cc, REG[16]=00001000
PC=000000d0, REG[15]=00000c10
PC=000000d4, REG[13]=00000c24
PC=000000d8, REG[14]=00000c10
PC=000000dc, ---
PC=000000e0, ---
PC=000000e4, ---
PC=000000fc, REG[11]=00000004
PC=00000100, REG[12]=00000020
PC=00000104, REG[12]=00000c44
PC=00000108, ---
PC=0000010c, REG[17]=00000000
PC=00000110, ---
PC=00000114, REG[12]=00000000
PC=00000118, REG[12]=00000c10
PC=0000011c, ---
PC=00000120, ---
PC=00000124, ---
PC=00000128, ---
PC=00000210, REG[15]=00000c10
PC=00000214, ---
PC=00000218, REG[10]=00000c24
PC=0000021c, REG[13]=00000c10
PC=00000220, REG[14]=00000004
PC=00000224, ---
PC=00000228, REG[13]=00000004
