PC=00000000, ---
PC=00000004, REG[ 1]=00000004
PC=00000008, REG[ 1]=000000a0
PC=0000000c, REG[ 2]=0001000c
PC=00000010, REG[ 2]=00010000
PC=00000014, REG[ 8]=00010000
PC=00000018, REG[ 3]=00002018
PC=0000001c, REG[ 3]=00001bc0
PC=00000020, REG[ 4]=00000000
PC=00000024, REG[ 5]=00000000
PC=00000028, REG[ 6]=00000000
PC=0000002c, REG[ 7]=00000000
PC=00000030, REG[ 9]=00000000
PC=00000034, REG[10]=00000000
PC=00000038, REG[11]=00000000
PC=0000003c, REG[12]=00000000
PC=00000040, REG[13]=00000000
PC=00000044, REG[14]=00000000
PC=00000048, REG[15]=00000000
PC=0000004c, REG[16]=00000000
PC=00000050, REG[17]=00000000
PC=00000054, REG[18]=00000000
PC=00000058, REG[19]=00000000
PC=0000005c, REG[20]=00000000
PC=00000060, REG[21]=00000000
PC=00000064, REG[22]=00000000
PC=00000068, REG[23]=00000000
PC=0000006c, REG[24]=00000000
PC=00000070, REG[25]=00000000
PC=00000074, REG[26]=00000000
PC=00000078, REG[27]=00000000
PC=0000007c, REG[28]=00000000
PC=00000080, REG[29]=00000000
PC=00000084, REG[30]=00000000
PC=00000088, REG[31]=00000000
PC=0000008c, ---
PC=00001238, REG[ 2]=0000fff0
PC=0000123c, REG[11]=00000010
PC=00001240, REG[10]=00000003
PC=00001244, ---
PC=00001248, ---
PC=0000124c, REG[ 1]=0000124c
PC=00001250, REG[ 1]=00001254
PC=00000e8c, REG[ 2]=0000ffc0
PC=00000e90, ---
PC=00000e94, ---
PC=00000e98, ---
PC=00000e9c, REG[15]=00000001
PC=00000ea0, ---
PC=0000122c, REG[15]=00000001
PC=00001230, ---
PC=00001234, ---
PC=00000ea8, REG[15]=00000001
PC=00000eac, REG[15]=00000001
PC=00000eb0, ---
PC=00001220, REG[15]=00000001
PC=00001224, ---
PC=00001228, ---
PC=00000eb8, REG[15]=00000000
PC=00000ebc, REG[15]=00000000
PC=00000ec0, ---
PC=00000ec4, ---
PC=00000ec8, REG[15]=00000000
PC=00000ecc, REG[15]=00000000
PC=00000ed0, ---
PC=00000ed4, ---
PC=00000ed8, REG[15]=00000000
PC=00000edc, REG[15]=00000000
PC=00000ee0, ---
PC=00000ee4, ---
PC=00000ee8, REG[15]=00000000
PC=00000eec, REG[15]=00000000
PC=00000ef0, ---
PC=00000ef4, ---
PC=00000ef8, REG[15]=00000000
PC=00000efc, REG[15]=00000000
PC=00000f00, ---
PC=00000f04, ---
PC=00000f08, REG[15]=00000000
PC=00000f0c, REG[15]=00000000
PC=00000f10, ---
PC=000011dc, ---
PC=000011e0, ---
PC=00000f1c, REG[15]=00000000
PC=00000f20, ---
PC=00000f24, ---
PC=00000f28, REG[15]=00000008
PC=00000f2c, REG[15]=00000000
PC=00000f30, ---
PC=00000f34, ---
PC=00000f38, REG[15]=00000004
PC=00000f3c, REG[15]=00000000
PC=00000f40, ---
PC=00000f44, ---
PC=00000f48, REG[15]=00000002
PC=00000f4c, REG[15]=00000000
PC=00000f50, ---
PC=00000f54, ---
PC=00000f58, REG[15]=00000001
PC=00000f5c, REG[15]=00000001
PC=00000f60, ---
PC=000011a0, REG[15]=00000001
PC=000011a4, ---
PC=000011a8, ---
PC=00000f68, REG[15]=00000000
PC=00000f6c, REG[15]=00000000
PC=00000f70, ---
PC=00000f74, ---
PC=00000f78, REG[15]=00000000
PC=00000f7c, REG[15]=00000000
PC=00000f80, ---
PC=00000f84, ---
PC=00000f88, REG[15]=00000000
PC=00000f8c, REG[15]=00000000
PC=00000f90, ---
PC=00001180, ---
PC=00001184, ---
PC=00000f9c, REG[11]=00000002
PC=00000fa0, REG[10]=0000ffc0
PC=00000fa4, REG[ 1]=ffffffa4
PC=00000fa8, REG[ 1]=00000fac
PC=00000648, REG[14]=00000001
PC=0000064c, ---
PC=00000650, REG[ 2]=0000ff40
PC=00000654, ---
PC=00000658, REG[ 9]=00020000
PC=0000065c, REG[ 9]=00000002
PC=00000660, REG[15]=00000004
PC=00000664, ---
PC=00000668, ---
PC=0000066c, ---
PC=00000670, ---
PC=00000674, ---
PC=00000678, ---
PC=0000067c, ---
PC=00000680, ---
PC=00000684, ---
PC=00000688, ---
PC=0000068c, ---
PC=00000690, ---
PC=00000694, REG[ 8]=0000ffc0
PC=00000698, REG[22]=0000ffc0
PC=0000069c, REG[16]=00000001
PC=000006a0, REG[21]=00000001
PC=000006a4, REG[20]=00000000
PC=000006a8, REG[10]=00000000
PC=000006ac, REG[11]=00000000
PC=000006b0, REG[19]=00000000
PC=000006b4, REG[13]=00000000
PC=000006b8, REG[18]=00000000
PC=000006bc, REG[12]=00040000
PC=000006c0, REG[24]=00040000
PC=000006c4, REG[12]=00000004
PC=000006c8, ---
PC=000006cc, ---
PC=000006d0, ---
PC=000006d4, ---
PC=000006d8, ---
PC=000006dc, ---
PC=000006e0, ---
PC=000006e4, ---
PC=000006e8, REG[17]=00040000
PC=000006ec, REG[24]=00000004
PC=000006f0, REG[27]=00000004
PC=000006f4, ---
PC=00000bac, REG[15]=00000010
PC=00000bb0, ---
PC=00000d60, REG[25]=0000ff40
PC=00000d64, ---
PC=00000d68, REG[26]=00000004
PC=00000d6c, ---
PC=00000724, REG[12]=00000010
PC=00000728, ---
PC=0000072c, ---
PC=00000730, ---
PC=00000734, ---
PC=00000738, REG[15]=00000010
PC=0000073c, REG[14]=00100000
PC=00000740, REG[23]=00100000
PC=00000744, REG[23]=00000010
PC=00000748, REG[14]=00000010
PC=0000074c, REG[12]=00000010
PC=00000750, ---
PC=00000d4c, REG[11]=00000002
PC=00000d50, REG[10]=0000ff60
PC=00000d54, REG[ 1]=fffffd54
PC=00000d58, REG[ 1]=00000d5c
PC=00000374, REG[15]=00000001
PC=00000378, ---
PC=0000037c, REG[ 2]=0000ff00
PC=00000380, ---
PC=00000384, ---
PC=00000388, ---
PC=0000038c, ---
PC=00000390, ---
PC=00000394, ---
PC=00000398, REG[20]=0000ff60
PC=0000039c, REG[15]=00000000
PC=000003a0, ---
PC=000003a4, REG[14]=00000000
PC=000003a8, REG[14]=0000ff60
PC=000003ac, REG[17]=00000001
PC=000003b0, REG[13]=00000000
PC=000003b4, REG[10]=0000ff20
PC=000003b8, REG[14]=00000000
PC=000003bc, REG[15]=00000002
PC=000003c0, REG[14]=0000ff20
PC=000003c4, REG[15]=00020000
PC=000003c8, ---
PC=000003cc, ---
PC=000003d0, REG[15]=00000002
PC=000003d4, ---
PC=000003d8, REG[ 9]=00100000
PC=000003dc, REG[ 9]=00000010
PC=000003e0, REG[ 8]=00000100
PC=000003e4, REG[19]=00000001
PC=000003e8, REG[ 8]=01000000
PC=000003ec, REG[ 8]=00000100
PC=000003f0, REG[12]=00000100
PC=000003f4, ---
PC=000005d4, REG[15]=00000010
PC=000005d8, REG[14]=00000010
PC=000005dc, ---
PC=000005e0, REG[12]=000000ef
PC=000005e4, REG[15]=00ef0000
PC=000005e8, REG[15]=000000ef
PC=000005ec, REG[12]=00ef0000
PC=000005f0, REG[12]=000000ef
