PC=00000000, ---
PC=00000004, REG[ 1]=00000004
PC=00000008, REG[ 1]=00000090
PC=0000000c, REG[ 2]=0001000c
PC=00000010, REG[ 2]=00010000
PC=00000014, REG[ 8]=00010000
PC=00000018, REG[ 3]=00001018
PC=0000001c, REG[ 3]=00000ac0
PC=00000020, REG[ 4]=00000000
PC=00000024, REG[ 5]=00000000
PC=00000028, REG[ 6]=00000000
PC=0000002c, REG[ 7]=00000000
PC=00000030, REG[ 9]=00000000
PC=00000034, REG[10]=00000000
PC=00000038, REG[11]=00000000
PC=0000003c, REG[12]=00000000
PC=00000040, REG[13]=00000000
PC=00000044, REG[14]=00000000
PC=00000048, REG[15]=00000000
PC=0000004c, REG[16]=00000000
PC=00000050, REG[17]=00000000
PC=00000054, REG[18]=00000000
PC=00000058, REG[19]=00000000
PC=0000005c, REG[20]=00000000
PC=00000060, REG[21]=00000000
PC=00000064, REG[22]=00000000
PC=00000068, REG[23]=00000000
PC=0000006c, REG[24]=00000000
PC=00000070, REG[25]=00000000
PC=00000074, REG[26]=00000000
PC=00000078, REG[27]=00000000
PC=0000007c, REG[28]=00000000
PC=00000080, REG[29]=00000000
PC=00000084, REG[30]=00000000
PC=00000088, REG[31]=00000000
PC=0000008c, ---
PC=00000160, REG[ 2]=0000ffd0
PC=00000164, ---
PC=00000168, ---
PC=0000016c, ---
PC=00000170, ---
PC=00000174, ---
PC=00000178, ---
PC=0000017c, ---
PC=00000180, ---
PC=00000184, ---
PC=00000188, ---
PC=0000018c, ---
PC=00000190, REG[ 8]=00010000
PC=00000194, REG[15]=00000000
PC=00000198, REG[14]=0000000c
PC=0000019c, REG[15]=00000030
PC=000001a0, REG[15]=0000003f
PC=000001a4, REG[15]=00000030
PC=000001a8, REG[ 2]=0000ffa0
PC=000001ac, REG[23]=0000ffa0
PC=000001b0, REG[ 2]=0000ff70
PC=000001b4, REG[24]=0000ff70
PC=000001b8, REG[ 2]=0000ff40
PC=000001bc, REG[25]=0000ff40
PC=000001c0, ---
PC=000001c4, REG[20]=0000ffa0
PC=000001c8, REG[19]=0000ff70
PC=000001cc, REG[18]=0000ff40
PC=000001d0, REG[ 9]=00000000
PC=000001d4, REG[21]=00010000
PC=000001d8, REG[21]=0000ffff
PC=000001dc, REG[22]=00000000
PC=000001e0, REG[ 1]=000001e0
PC=000001e4, REG[ 1]=000001e8
PC=00000138, REG[13]=00000000
PC=0000013c, REG[15]=0720f8a4
PC=00000140, REG[14]=00004000
PC=00000144, REG[14]=000041a7
PC=00000148, REG[15]=05a3d6fc
PC=0000014c, REG[14]=80000000
PC=00000150, REG[14]=7fffffff
PC=00000158, ---
PC=0000015c, ---
PC=000001e8, REG[10]=00000000
PC=000001ec, ---
PC=000001f0, REG[ 1]=000001f0
PC=000001f4, REG[ 1]=000001f8
PC=00000138, REG[13]=00000000
PC=0000013c, REG[15]=05a3d6fc
PC=00000140, REG[14]=00004000
PC=00000144, REG[14]=000041a7
PC=00000148, REG[15]=47773a64
PC=0000014c, REG[14]=80000000
PC=00000150, REG[14]=7fffffff
PC=00000158, ---
PC=0000015c, ---
PC=000001f8, REG[10]=00000000
PC=000001fc, ---
PC=00000200, ---
PC=00000204, REG[ 9]=00000001
PC=00000208, REG[20]=0000ffa4
PC=0000020c, REG[19]=0000ff74
PC=00000210, REG[18]=0000ff44
PC=00000214, REG[15]=0000000c
PC=00000218, ---
PC=000001e0, REG[ 1]=000001e0
PC=000001e4, REG[ 1]=000001e8
PC=00000138, REG[13]=00000000
PC=0000013c, REG[15]=47773a64
PC=00000140, REG[14]=00004000
PC=00000144, REG[14]=000041a7
PC=00000148, REG[15]=e49a7b3c
PC=0000014c, REG[14]=80000000
PC=00000150, REG[14]=7fffffff
PC=00000158, ---
PC=0000015c, ---
PC=000001e8, REG[10]=00000000
PC=000001ec, ---
PC=000001f0, REG[ 1]=000001f0
PC=000001f4, REG[ 1]=000001f8
PC=00000138, REG[13]=00000000
PC=0000013c, REG[15]=e49a7b3c
PC=00000140, REG[14]=00004000
PC=00000144, REG[14]=000041a7
PC=00000148, REG[15]=5a10a024
PC=0000014c, REG[14]=80000000
PC=00000150, REG[14]=7fffffff
PC=00000158, ---
PC=0000015c, ---
PC=000001f8, REG[10]=00000000
PC=000001fc, ---
PC=00000200, ---
PC=00000204, REG[ 9]=00000002
PC=00000208, REG[20]=0000ffa8
PC=0000020c, REG[19]=0000ff78
PC=00000210, REG[18]=0000ff48
PC=00000214, REG[15]=0000000c
PC=00000218, ---
PC=000001e0, REG[ 1]=000001e0
PC=000001e4, REG[ 1]=000001e8
PC=00000138, REG[13]=00000000
PC=0000013c, REG[15]=5a10a024
PC=00000140, REG[14]=00004000
PC=00000144, REG[14]=000041a7
PC=00000148, REG[15]=f9819b7c
PC=0000014c, REG[14]=80000000
PC=00000150, REG[14]=7fffffff
PC=00000158, ---
PC=0000015c, ---
PC=000001e8, REG[10]=00000000
PC=000001ec, ---
PC=000001f0, REG[ 1]=000001f0
PC=000001f4, REG[ 1]=000001f8
PC=00000138, REG[13]=00000000
PC=0000013c, REG[15]=f9819b7c
PC=00000140, REG[14]=00004000
PC=00000144, REG[14]=000041a7
PC=00000148, REG[15]=ac06e9e4
PC=0000014c, REG[14]=80000000
PC=00000150, REG[14]=7fffffff
PC=00000158, ---
PC=0000015c, ---
PC=000001f8, REG[10]=00000000
PC=000001fc, ---
PC=00000200, ---
PC=00000204, REG[ 9]=00000003
PC=00000208, REG[20]=0000ffac
PC=0000020c, REG[19]=0000ff7c
PC=00000210, REG[18]=0000ff4c
PC=00000214, REG[15]=0000000c
PC=00000218, ---
PC=000001e0, REG[ 1]=000001e0
PC=000001e4, REG[ 1]=000001e8
PC=00000138, REG[13]=00000000
PC=0000013c, REG[15]=ac06e9e4
PC=00000140, REG[14]=00004000
PC=00000144, REG[14]=000041a7
PC=00000148, REG[15]=f9e577bc
PC=0000014c, REG[14]=80000000
PC=00000150, REG[14]=7fffffff
PC=00000158, ---
PC=0000015c, ---
PC=000001e8, REG[10]=00000000
PC=000001ec, ---
PC=000001f0, REG[ 1]=000001f0
PC=000001f4, REG[ 1]=000001f8
PC=00000138, REG[13]=00000000
PC=0000013c, REG[15]=f9e577bc
PC=00000140, REG[14]=00004000
PC=00000144, REG[14]=000041a7
PC=00000148, REG[15]=4817d7a4
PC=0000014c, REG[14]=80000000
PC=00000150, REG[14]=7fffffff
PC=00000158, ---
PC=0000015c, ---
PC=000001f8, REG[10]=00000000
PC=000001fc, ---
PC=00000200, ---
PC=00000204, REG[ 9]=00000004
PC=00000208, REG[20]=0000ffb0
PC=0000020c, REG[19]=0000ff80
PC=00000210, REG[18]=0000ff50
PC=00000214, REG[15]=0000000c
PC=00000218, ---
PC=000001e0, REG[ 1]=000001e0
PC=000001e4, REG[ 1]=000001e8
PC=00000138, REG[13]=00000000
PC=0000013c, REG[15]=4817d7a4
PC=00000140, REG[14]=00004000
PC=00000144, REG[14]=000041a7
PC=00000148, REG[15]=154e4ffc
PC=0000014c, REG[14]=80000000
PC=00000150, REG[14]=7fffffff
PC=00000158, ---
PC=0000015c, ---
PC=000001e8, REG[10]=00000000
PC=000001ec, ---
PC=000001f0, REG[ 1]=000001f0
PC=000001f4, REG[ 1]=000001f8
PC=00000138, REG[13]=00000000
PC=0000013c, REG[15]=154e4ffc
PC=00000140, REG[14]=00004000
PC=00000144, REG[14]=000041a7
PC=00000148, REG[15]=c8652964
PC=0000014c, REG[14]=80000000
PC=00000150, REG[14]=7fffffff
PC=00000158, ---
PC=0000015c, ---
PC=000001f8, REG[10]=00000000
PC=000001fc, ---
PC=00000200, ---
PC=00000204, REG[ 9]=00000005
PC=00000208, REG[20]=0000ffb4
PC=0000020c, REG[19]=0000ff84
PC=00000210, REG[18]=0000ff54
PC=00000214, REG[15]=0000000c
PC=00000218, ---
PC=000001e0, REG[ 1]=000001e0
PC=000001e4, REG[ 1]=000001e8
PC=00000138, REG[13]=00000000
PC=0000013c, REG[15]=c8652964
PC=00000140, REG[14]=00004000
PC=00000144, REG[14]=000041a7
PC=00000148, REG[15]=6980643c
PC=0000014c, REG[14]=80000000
PC=00000150, REG[14]=7fffffff
PC=00000158, ---
PC=0000015c, ---
PC=000001e8, REG[10]=00000000
PC=000001ec, ---
PC=000001f0, REG[ 1]=000001f0
PC=000001f4, REG[ 1]=000001f8
PC=00000138, REG[13]=00000000
PC=0000013c, REG[15]=6980643c
PC=00000140, REG[14]=00004000
PC=00000144, REG[14]=000041a7
PC=00000148, REG[15]=6c349f24
PC=0000014c, REG[14]=80000000
PC=00000150, REG[14]=7fffffff
PC=00000158, ---
PC=0000015c, ---
PC=000001f8, REG[10]=00000000
