PC=00000000, ---
PC=00000004, REG[ 1]=00000004
PC=00000008, REG[ 1]=000000a0
PC=0000000c, REG[ 2]=0001000c
PC=00000010, REG[ 2]=00010000
PC=00000014, REG[ 8]=00010000
PC=00000018, REG[ 3]=00001018
PC=0000001c, REG[ 3]=00000ee0
PC=00000020, REG[ 4]=00000000
PC=00000024, REG[ 5]=00000000
PC=00000028, REG[ 6]=00000000
PC=0000002c, REG[ 7]=00000000
PC=00000030, REG[ 9]=00000000
PC=00000034, REG[10]=00000000
PC=00000038, REG[11]=00000000
PC=0000003c, REG[12]=00000000
PC=00000040, REG[13]=00000000
PC=00000044, REG[14]=00000000
PC=00000048, REG[15]=00000000
PC=0000004c, REG[16]=00000000
PC=00000050, REG[17]=00000000
PC=00000054, REG[18]=00000000
PC=00000058, REG[19]=00000000
PC=0000005c, REG[20]=00000000
PC=00000060, REG[21]=00000000
PC=00000064, REG[22]=00000000
PC=00000068, REG[23]=00000000
PC=0000006c, REG[24]=00000000
PC=00000070, REG[25]=00000000
PC=00000074, REG[26]=00000000
PC=00000078, REG[27]=00000000
PC=0000007c, REG[28]=00000000
PC=00000080, REG[29]=00000000
PC=00000084, REG[30]=00000000
PC=00000088, REG[31]=00000000
PC=0000008c, ---
PC=00000100, REG[ 2]=0000ffe0
PC=00000104, ---
PC=00000108, ---
PC=0000010c, ---
PC=00000110, ---
PC=00000114, ---
PC=00000118, ---
PC=0000011c, ---
PC=00000120, ---
PC=00000124, REG[ 8]=00010000
PC=00000128, REG[22]=00000000
PC=0000012c, REG[14]=00000004
PC=00000130, REG[15]=00000010
PC=00000134, REG[15]=0000001f
PC=00000138, REG[15]=00000010
PC=0000013c, REG[ 2]=0000ffd0
PC=00000140, REG[19]=0000ffd0
PC=00000144, REG[ 2]=0000ffc0
PC=00000148, REG[18]=0000ffc0
PC=0000014c, REG[ 2]=0000ffb0
PC=00000150, ---
PC=00000154, REG[21]=00010000
PC=00000158, REG[ 9]=0000ffb0
PC=0000015c, REG[20]=00000000
PC=00000160, REG[21]=0000ffff
PC=00000164, REG[ 1]=00000164
PC=00000168, REG[ 1]=0000016c
PC=000001ec, REG[15]=00000000
PC=000001f0, REG[16]=000002c0
PC=000001f4, REG[11]=4c958000
PC=000001f8, REG[11]=4c957f2d
PC=000001fc, REG[13]=00000001
PC=00000200, REG[14]=00000000
PC=00000204, REG[15]=4c957f2d
PC=00000208, REG[12]=4c957f2e
PC=0000020c, REG[15]=00000000
PC=00000210, ---
PC=00000214, REG[12]=5851f000
PC=00000218, REG[12]=5851f42d
PC=0000021c, REG[12]=5851f42d
PC=00000220, REG[14]=00000000
PC=00000224, REG[13]=00000000
PC=00000228, REG[14]=5851f42d
PC=0000022c, REG[14]=5851f42d
PC=00000230, REG[15]=5851f42d
PC=00000234, REG[10]=b0a3e85a
PC=00000238, ---
PC=0000023c, REG[10]=5851f42d
PC=00000240, ---
PC=0000016c, REG[10]=0000f42d
PC=00000170, ---
PC=00000174, REG[ 1]=00000174
PC=00000178, REG[ 1]=0000017c
PC=000001ec, REG[15]=00000000
PC=000001f0, REG[16]=000002c0
PC=000001f4, REG[11]=4c958000
PC=000001f8, REG[11]=4c957f2d
PC=000001fc, REG[13]=4c957f2e
PC=00000200, REG[14]=5851f42d
PC=00000204, REG[15]=4e252d16
PC=00000208, REG[12]=4e252d17
PC=0000020c, REG[15]=00000000
PC=00000210, ---
PC=00000214, REG[12]=5851f000
PC=00000218, REG[12]=5851f42d
PC=0000021c, REG[12]=010d3316
PC=00000220, REG[14]=a8bb3ee9
PC=00000224, REG[13]=16e91ad0
PC=00000228, REG[14]=a9c871ff
PC=0000022c, REG[14]=c0b18ccf
PC=00000230, REG[15]=c0b18ccf
PC=00000234, REG[10]=8163199e
PC=00000238, ---
PC=0000023c, REG[10]=40b18ccf
PC=00000240, ---
PC=0000017c, REG[15]=00000004
PC=00000180, REG[10]=00008ccf
PC=00000184, ---
PC=00000188, ---
PC=0000018c, REG[20]=00000001
PC=00000190, REG[19]=0000ffd4
PC=00000194, REG[18]=0000ffc4
PC=00000198, REG[ 9]=0000ffb4
PC=0000019c, ---
PC=00000164, REG[ 1]=00000164
PC=00000168, REG[ 1]=0000016c
PC=000001ec, REG[15]=00000000
PC=000001f0, REG[16]=000002c0
PC=000001f4, REG[11]=4c958000
PC=000001f8, REG[11]=4c957f2d
PC=000001fc, REG[13]=4e252d17
PC=00000200, REG[14]=c0b18ccf
PC=00000204, REG[15]=404a560b
PC=00000208, REG[12]=404a560c
PC=0000020c, REG[15]=00000000
PC=00000210, ---
PC=00000214, REG[12]=5851f000
PC=00000218, REG[12]=5851f42d
PC=0000021c, REG[12]=57c9d90b
PC=00000220, REG[14]=5c8b7163
PC=00000224, REG[13]=1760abd8
PC=00000228, REG[14]=b4554a6e
PC=0000022c, REG[14]=cbb5f646
PC=00000230, REG[15]=cbb5f646
PC=00000234, REG[10]=976bec8c
PC=00000238, ---
PC=0000023c, REG[10]=4bb5f646
PC=00000240, ---
PC=0000016c, REG[10]=0000f646
PC=00000170, ---
PC=00000174, REG[ 1]=00000174
PC=00000178, REG[ 1]=0000017c
PC=000001ec, REG[15]=00000000
PC=000001f0, REG[16]=000002c0
PC=000001f4, REG[11]=4c958000
PC=000001f8, REG[11]=4c957f2d
PC=000001fc, REG[13]=404a560c
PC=00000200, REG[14]=cbb5f646
PC=00000204, REG[15]=d2bd141c
PC=00000208, REG[12]=d2bd141d
PC=0000020c, REG[15]=00000000
PC=00000210, ---
PC=00000214, REG[12]=5851f000
PC=00000218, REG[12]=5851f42d
PC=0000021c, REG[12]=80e0901c
PC=00000220, REG[14]=32e7044e
PC=00000224, REG[13]=133b9cbf
PC=00000228, REG[14]=b3c7946a
PC=0000022c, REG[14]=c7033129
PC=00000230, REG[15]=c7033129
PC=00000234, REG[10]=8e066252
PC=00000238, ---
PC=0000023c, REG[10]=47033129
PC=00000240, ---
PC=0000017c, REG[15]=00000004
PC=00000180, REG[10]=00003129
PC=00000184, ---
PC=00000188, ---
PC=0000018c, REG[20]=00000002
PC=00000190, REG[19]=0000ffd8
PC=00000194, REG[18]=0000ffc8
PC=00000198, REG[ 9]=0000ffb8
PC=0000019c, ---
PC=00000164, REG[ 1]=00000164
PC=00000168, REG[ 1]=0000016c
PC=000001ec, REG[15]=00000000
PC=000001f0, REG[16]=000002c0
PC=000001f4, REG[11]=4c958000
PC=000001f8, REG[11]=4c957f2d
PC=000001fc, REG[13]=d2bd141d
PC=00000200, REG[14]=c7033129
PC=00000204, REG[15]=2917ec19
PC=00000208, REG[12]=2917ec1a
PC=0000020c, REG[15]=00000000
PC=00000210, ---
PC=00000214, REG[12]=5851f000
PC=00000218, REG[12]=5851f42d
PC=0000021c, REG[12]=97952d19
PC=00000220, REG[14]=59cffb35
PC=00000224, REG[13]=3f0b32b6
PC=00000228, REG[14]=f165284e
PC=0000022c, REG[14]=30705b04
PC=00000230, REG[15]=30705b04
PC=00000234, REG[10]=60e0b608
PC=00000238, ---
PC=0000023c, REG[10]=30705b04
