PC=00000000, ---
PC=00000004, REG[ 1]=00000004
PC=00000008, REG[ 1]=000000a0
PC=0000000c, REG[ 2]=0001000c
PC=00000010, REG[ 2]=00010000
PC=00000014, REG[ 8]=00010000
PC=00000018, REG[ 3]=00002018
PC=0000001c, REG[ 3]=000024a0
PC=00000020, REG[ 4]=00000000
PC=00000024, REG[ 5]=00000000
PC=00000028, REG[ 6]=00000000
PC=0000002c, REG[ 7]=00000000
PC=00000030, REG[ 9]=00000000
PC=00000034, REG[10]=00000000
PC=00000038, REG[11]=00000000
PC=0000003c, REG[12]=00000000
PC=00000040, REG[13]=00000000
PC=00000044, REG[14]=00000000
PC=00000048, REG[15]=00000000
PC=0000004c, REG[16]=00000000
PC=00000050, REG[17]=00000000
PC=00000054, REG[18]=00000000
PC=00000058, REG[19]=00000000
PC=0000005c, REG[20]=00000000
PC=00000060, REG[21]=00000000
PC=00000064, REG[22]=00000000
PC=00000068, REG[23]=00000000
PC=0000006c, REG[24]=00000000
PC=00000070, REG[25]=00000000
PC=00000074, REG[26]=00000000
PC=00000078, REG[27]=00000000
PC=0000007c, REG[28]=00000000
PC=00000080, REG[29]=00000000
PC=00000084, REG[30]=00000000
PC=00000088, REG[31]=00000000
PC=0000008c, ---
PC=00001b34, REG[ 2]=0000fff0
PC=00001b38, ---
PC=00001b3c, REG[ 1]=00000b3c
PC=00001b40, REG[ 1]=00001b44
PC=000009c4, REG[ 2]=0000ffd0
PC=000009c8, REG[10]=0000000c
PC=000009cc, ---
PC=000009d0, ---
PC=000009d4, ---
PC=000009d8, ---
PC=000009dc, ---
PC=000009e0, ---
PC=000009e4, REG[ 1]=000009e4
PC=000009e8, REG[ 1]=000009ec
PC=00000464, REG[15]=00004000
PC=00000468, ---
PC=0000046c, REG[ 2]=0000ffb0
PC=00000470, ---
PC=00000474, ---
PC=00000478, ---
PC=0000047c, ---
PC=00000480, ---
PC=00000484, ---
PC=00000488, REG[15]=00000000
PC=0000048c, REG[ 8]=0000000c
PC=00000490, ---
PC=00000494, REG[19]=00002000
PC=00000498, REG[12]=00000000
PC=0000049c, REG[ 9]=00000014
PC=000004a0, ---
PC=00000590, REG[12]=00002000
PC=00000594, REG[15]=00001ce8
PC=00000598, ---
PC=0000059c, ---
PC=000005a0, ---
PC=000005a4, REG[13]=00000000
PC=000005a8, REG[12]=00001ce8
PC=000005ac, ---
PC=000004ac, ---
PC=000004b0, REG[18]=00002000
PC=000004b4, REG[20]=00002000
PC=000004b8, ---
PC=000004c8, REG[14]=00001ce8
PC=000004cc, ---
PC=000004d0, REG[15]=00004000
PC=000004d4, REG[14]=00003fec
PC=000004d8, ---
PC=000004dc, REG[10]=00001cf0
PC=000004e0, ---
PC=000004e4, REG[15]=00001d04
PC=000004e8, ---
PC=000004ec, REG[10]=00001cf8
PC=000004f0, ---
PC=000004f4, REG[ 1]=000004f4
PC=000004f8, REG[ 1]=000004fc
PC=0000013c, REG[15]=00002000
PC=00000140, REG[15]=00001cf0
PC=00000144, ---
PC=00000148, REG[15]=00006000
PC=0000014c, REG[15]=00005cf0
PC=00000150, ---
PC=00000154, REG[16]=00002000
PC=00000158, REG[15]=00001ce8
PC=0000015c, REG[13]=00001cf0
PC=00000160, REG[14]=00001ce8
PC=00000164, ---
PC=00000168, ---
PC=0000016c, ---
PC=00000184, REG[11]=0000000c
PC=00000188, REG[12]=00000060
PC=0000018c, REG[12]=00001d50
PC=00000190, ---
PC=00000194, REG[17]=00000000
PC=00000198, ---
PC=0000019c, REG[12]=00000000
PC=000001a0, REG[12]=00001ce8
PC=000001a4, ---
PC=000001a8, ---
PC=000001ac, ---
PC=000001b0, ---
PC=000004fc, REG[14]=00001ce8
PC=00000500, ---
PC=00000504, REG[15]=00001cf0
PC=00000508, REG[12]=00001ce8
PC=0000050c, REG[13]=0000000c
PC=00000510, ---
PC=00000514, ---
PC=000005b0, REG[13]=00001ce8
PC=000005b4, ---
PC=000005b8, ---
PC=0000052c, REG[ 1]=000009ec
PC=00000530, REG[ 8]=00010000
PC=00000534, ---
PC=00000538, REG[ 9]=00000000
PC=0000053c, REG[18]=00000000
PC=00000540, REG[19]=00000000
PC=00000544, REG[20]=00000000
PC=00000548, REG[10]=00001cf8
PC=0000054c, REG[ 2]=0000ffd0
PC=00000550, ---
PC=000009ec, REG[15]=00000006
PC=000009f0, REG[ 8]=00001cf8
PC=000009f4, ---
PC=000009f8, REG[10]=00000018
PC=000009fc, REG[ 1]=000009fc
PC=00000a00, REG[ 1]=00000a04
PC=00000464, REG[15]=00004000
PC=00000468, ---
PC=0000046c, REG[ 2]=0000ffb0
PC=00000470, ---
PC=00000474, ---
PC=00000478, ---
PC=0000047c, ---
PC=00000480, ---
PC=00000484, ---
PC=00000488, REG[15]=00000000
PC=0000048c, REG[ 8]=00000018
PC=00000490, ---
PC=00000494, REG[19]=00002000
PC=00000498, REG[12]=00001ce8
PC=0000049c, REG[ 9]=00000020
PC=000004a0, ---
PC=000004a4, REG[15]=00001ce8
PC=000004a8, REG[13]=00000000
PC=000004ac, ---
PC=000004b0, REG[18]=00002000
PC=000004b4, REG[20]=00002000
PC=000004b8, ---
PC=000004c8, REG[14]=00001ce8
PC=000004cc, ---
PC=000004d0, REG[15]=00003fec
PC=000004d4, REG[14]=00003fcc
PC=000004d8, ---
PC=000004dc, REG[10]=00001d04
PC=000004e0, ---
PC=000004e4, REG[15]=00001d24
PC=000004e8, ---
PC=000004ec, REG[10]=00001d0c
PC=000004f0, ---
PC=000004f4, REG[ 1]=000004f4
PC=000004f8, REG[ 1]=000004fc
PC=0000013c, REG[15]=00002000
PC=00000140, REG[15]=00001cf0
PC=00000144, ---
PC=00000148, REG[15]=00006000
PC=0000014c, REG[15]=00005cf0
PC=00000150, ---
PC=00000154, REG[16]=00002000
PC=00000158, REG[15]=00001ce8
PC=0000015c, REG[13]=00001d04
PC=00000160, REG[14]=00001ce8
PC=00000164, ---
PC=00000168, ---
PC=0000016c, ---
PC=00000184, REG[11]=00000018
PC=00000188, REG[12]=000000c0
PC=0000018c, REG[12]=00001dc4
PC=00000190, ---
PC=00000194, REG[17]=00000000
PC=00000198, ---
PC=0000019c, REG[12]=00000000
PC=000001a0, REG[12]=00001ce8
PC=000001a4, ---
PC=000001a8, ---
PC=000001ac, ---
PC=000001b0, ---
PC=000004fc, REG[14]=00001ce8
PC=00000500, ---
PC=00000504, REG[15]=00001d04
PC=00000508, REG[12]=00001ce8
PC=0000050c, REG[13]=00000018
PC=00000510, ---
PC=00000514, ---
PC=000005b0, REG[13]=00001ce8
PC=000005b4, ---
PC=000005b8, ---
PC=0000052c, REG[ 1]=00000a04
PC=00000530, REG[ 8]=00001cf8
PC=00000534, ---
PC=00000538, REG[ 9]=00000000
PC=0000053c, REG[18]=00000000
PC=00000540, REG[19]=00000000
PC=00000544, REG[20]=00000000
PC=00000548, REG[10]=00001d0c
PC=0000054c, REG[ 2]=0000ffd0
PC=00000550, ---
PC=00000a04, ---
PC=00000a08, REG[10]=00000018
PC=00000a0c, REG[ 1]=00000a0c
