PC=00000000, ---
PC=00000004, REG[ 1]=00000004
PC=00000008, REG[ 1]=000000a0
PC=0000000c, REG[ 2]=0001000c
PC=00000010, REG[ 2]=00010000
PC=00000014, REG[ 8]=00010000
PC=00000018, REG[ 3]=00002018
PC=0000001c, REG[ 3]=00002000
PC=00000020, REG[ 4]=00000000
PC=00000024, REG[ 5]=00000000
PC=00000028, REG[ 6]=00000000
PC=0000002c, REG[ 7]=00000000
PC=00000030, REG[ 9]=00000000
PC=00000034, REG[10]=00000000
PC=00000038, REG[11]=00000000
PC=0000003c, REG[12]=00000000
PC=00000040, REG[13]=00000000
PC=00000044, REG[14]=00000000
PC=00000048, REG[15]=00000000
PC=0000004c, REG[16]=00000000
PC=00000050, REG[17]=00000000
PC=00000054, REG[18]=00000000
PC=00000058, REG[19]=00000000
PC=0000005c, REG[20]=00000000
PC=00000060, REG[21]=00000000
PC=00000064, REG[22]=00000000
PC=00000068, REG[23]=00000000
PC=0000006c, REG[24]=00000000
PC=00000070, REG[25]=00000000
PC=00000074, REG[26]=00000000
PC=00000078, REG[27]=00000000
PC=0000007c, REG[28]=00000000
PC=00000080, REG[29]=00000000
PC=00000084, REG[30]=00000000
PC=00000088, REG[31]=00000000
PC=0000008c, ---
PC=000015e8, REG[15]=00001000
PC=000015ec, REG[ 2]=0000ff90
PC=000015f0, REG[15]=000017e0
PC=000015f4, ---
PC=000015f8, REG[14]=0000ff94
PC=000015fc, REG[13]=00001830
PC=00001600, REG[16]=00000020
PC=00001604, REG[10]=0000000f
PC=00001608, REG[11]=00000141
PC=0000160c, REG[12]=00000005
PC=00001610, ---
PC=00001614, ---
PC=00001618, ---
PC=0000161c, ---
PC=00001620, REG[15]=000017f0
PC=00001624, REG[14]=0000ffa4
PC=00001628, ---
PC=00001600, REG[16]=00000004
PC=00001604, REG[10]=00000003
PC=00001608, REG[11]=00000002
PC=0000160c, REG[12]=0000004a
PC=00001610, ---
PC=00001614, ---
PC=00001618, ---
PC=0000161c, ---
PC=00001620, REG[15]=00001800
PC=00001624, REG[14]=0000ffb4
PC=00001628, ---
PC=00001600, REG[16]=00000009
PC=00001604, REG[10]=00000004
PC=00001608, REG[11]=0000034e
PC=0000160c, REG[12]=00000523
PC=00001610, ---
PC=00001614, ---
PC=00001618, ---
PC=0000161c, ---
PC=00001620, REG[15]=00001810
PC=00001624, REG[14]=0000ffc4
PC=00001628, ---
PC=00001600, REG[16]=00000054
PC=00001604, REG[10]=00001994
PC=00001608, REG[11]=0000002f
PC=0000160c, REG[12]=000017e1
PC=00001610, ---
PC=00001614, ---
PC=00001618, ---
PC=0000161c, ---
PC=00001620, REG[15]=00001820
PC=00001624, REG[14]=0000ffd4
PC=00001628, ---
PC=00001600, REG[16]=00000001
PC=00001604, REG[10]=00000011
PC=00001608, REG[11]=000001e5
PC=0000160c, REG[12]=00000544
PC=00001610, ---
PC=00001614, ---
PC=00001618, ---
PC=0000161c, ---
PC=00001620, REG[15]=00001830
PC=00001624, REG[14]=0000ffe4
PC=00001628, ---
PC=0000162c, REG[16]=00000004
PC=00001630, REG[13]=0000053d
PC=00001634, REG[15]=00000300
PC=00001638, REG[10]=0000ff94
PC=0000163c, REG[12]=00000017
PC=00001640, REG[11]=00000000
PC=00001644, ---
PC=00001648, ---
PC=0000164c, ---
PC=00001650, REG[ 1]=00000650
PC=00001654, REG[ 1]=00001658
PC=00000298, REG[ 2]=0000ff70
PC=0000029c, ---
PC=000002a0, REG[ 8]=00000017
PC=000002a4, REG[ 8]=0000000b
PC=000002a8, ---
PC=000002ac, ---
PC=000002b0, ---
PC=000002b4, ---
PC=000002b8, REG[ 8]=0000000b
PC=000002bc, REG[ 9]=00000000
PC=000002c0, REG[18]=00000017
PC=000002c4, REG[19]=0000ff94
PC=000002c8, ---
PC=00000304, REG[12]=0000000b
PC=00000308, REG[ 1]=00000308
PC=0000030c, REG[ 1]=00000310
PC=00000298, REG[ 2]=0000ff50
PC=0000029c, ---
PC=000002a0, REG[ 8]=0000000b
PC=000002a4, REG[ 8]=00000005
PC=000002a8, ---
PC=000002ac, ---
PC=000002b0, ---
PC=000002b4, ---
PC=000002b8, REG[ 8]=00000005
PC=000002bc, REG[ 9]=00000000
PC=000002c0, REG[18]=0000000b
PC=000002c4, REG[19]=0000ff94
PC=000002c8, ---
PC=00000304, REG[12]=00000005
PC=00000308, REG[ 1]=00000308
PC=0000030c, REG[ 1]=00000310
PC=00000298, REG[ 2]=0000ff30
PC=0000029c, ---
PC=000002a0, REG[ 8]=00000005
PC=000002a4, REG[ 8]=00000002
PC=000002a8, ---
PC=000002ac, ---
PC=000002b0, ---
PC=000002b4, ---
PC=000002b8, REG[ 8]=00000002
PC=000002bc, REG[ 9]=00000000
PC=000002c0, REG[18]=00000005
PC=000002c4, REG[19]=0000ff94
PC=000002c8, ---
PC=00000304, REG[12]=00000002
PC=00000308, REG[ 1]=00000308
PC=0000030c, REG[ 1]=00000310
PC=00000298, REG[ 2]=0000ff10
PC=0000029c, ---
PC=000002a0, REG[ 8]=00000002
PC=000002a4, REG[ 8]=00000001
PC=000002a8, ---
PC=000002ac, ---
PC=000002b0, ---
PC=000002b4, ---
PC=000002b8, REG[ 8]=00000001
PC=000002bc, REG[ 9]=00000000
PC=000002c0, REG[18]=00000002
PC=000002c4, REG[19]=0000ff94
PC=000002c8, ---
PC=00000304, REG[12]=00000001
PC=00000308, REG[ 1]=00000308
PC=0000030c, REG[ 1]=00000310
PC=00000298, REG[ 2]=0000fef0
PC=0000029c, ---
PC=000002a0, REG[ 8]=00000001
PC=000002a4, REG[ 8]=00000000
PC=000002a8, ---
PC=000002ac, ---
PC=000002b0, ---
PC=000002b4, ---
PC=000002b8, REG[ 8]=00000000
PC=000002bc, REG[ 9]=00000000
PC=000002c0, REG[18]=00000001
PC=000002c4, REG[19]=0000ff94
PC=000002c8, ---
PC=000002cc, REG[11]=00000001
PC=000002d0, ---
PC=000002d4, REG[12]=00000000
PC=000002d8, REG[ 8]=00000001
PC=000002dc, REG[ 1]=00000310
PC=000002e0, REG[13]=00000001
PC=000002e4, REG[11]=00000000
PC=000002e8, REG[18]=00000002
PC=000002ec, REG[ 9]=00000000
PC=000002f0, REG[10]=0000ff94
PC=000002f4, REG[19]=0000ff94
PC=000002f8, REG[ 2]=0000ff10
PC=000002fc, REG[ 6]=000002fc
PC=00000300, ---
PC=000000b4, REG[ 2]=0000fed0
PC=000000b8, ---
PC=000000bc, REG[21]=00000000
PC=000000c0, ---
PC=000000c4, REG[24]=00000001
PC=000000c8, ---
PC=000000cc, ---
PC=000000d0, REG[18]=00000000
PC=000000d4, REG[22]=00000001
PC=000000d8, REG[12]=00000004
PC=000000dc, ---
PC=000000e0, REG[14]=00000013
PC=000000e4, REG[27]=00000004
PC=000000e8, ---
PC=000000ec, ---
PC=000000f0, ---
PC=000000f4, ---
PC=000000f8, ---
PC=000000fc, ---
PC=00000100, ---
PC=00000104, ---
PC=00000108, REG[ 8]=0000ff10
PC=0000010c, REG[14]=00000010
PC=00000110, REG[15]=00000013
