PC=00000000, ---
PC=00000004, REG[ 1]=00000004
PC=00000008, REG[ 1]=000000a0
PC=0000000c, REG[ 2]=0001000c
PC=00000010, REG[ 2]=00010000
PC=00000014, REG[ 8]=00010000
PC=00000018, REG[ 3]=00001018
PC=0000001c, REG[ 3]=00000e00
PC=00000020, REG[ 4]=00000000
PC=00000024, REG[ 5]=00000000
PC=00000028, REG[ 6]=00000000
PC=0000002c, REG[ 7]=00000000
PC=00000030, REG[ 9]=00000000
PC=00000034, REG[10]=00000000
PC=00000038, REG[11]=00000000
PC=0000003c, REG[12]=00000000
PC=00000040, REG[13]=00000000
PC=00000044, REG[14]=00000000
PC=00000048, REG[15]=00000000
PC=0000004c, REG[16]=00000000
PC=00000050, REG[17]=00000000
PC=00000054, REG[18]=00000000
PC=00000058, REG[19]=00000000
PC=0000005c, REG[20]=00000000
PC=00000060, REG[21]=00000000
PC=00000064, REG[22]=00000000
PC=00000068, REG[23]=00000000
PC=0000006c, REG[24]=00000000
PC=00000070, REG[25]=00000000
PC=00000074, REG[26]=00000000
PC=00000078, REG[27]=00000000
PC=0000007c, REG[28]=00000000
PC=00000080, REG[29]=00000000
PC=00000084, REG[30]=00000000
PC=00000088, REG[31]=00000000
PC=0000008c, ---
PC=0000044c, REG[ 2]=0000ffe0
PC=00000450, REG[10]=0000000c
PC=00000454, ---
PC=00000458, REG[ 1]=00000458
PC=0000045c, REG[ 1]=00000460
PC=0000017c, REG[15]=00004000
PC=00000180, ---
PC=00000184, REG[ 2]=0000ffc0
PC=00000188, ---
PC=0000018c, ---
PC=00000190, ---
PC=00000194, ---
PC=00000198, ---
PC=0000019c, ---
PC=000001a0, REG[15]=00000000
PC=000001a4, REG[ 8]=0000000c
PC=000001a8, ---
PC=000001ac, REG[19]=00000000
PC=000001b0, REG[12]=00000000
PC=000001b4, REG[ 9]=00000014
PC=000001b8, ---
PC=000002a8, REG[12]=00000000
PC=000002ac, REG[15]=00000644
PC=000002b0, ---
PC=000002b4, ---
PC=000002b8, ---
PC=000002bc, REG[13]=00000000
PC=000002c0, REG[12]=00000644
PC=000002c4, ---
PC=000001c4, ---
PC=000001c8, REG[18]=00000000
PC=000001cc, REG[20]=00000000
PC=000001d0, ---
PC=000001e0, REG[14]=00000644
PC=000001e4, ---
PC=000001e8, REG[15]=00004000
PC=000001ec, REG[14]=00003fec
PC=000001f0, ---
PC=000001f4, REG[10]=0000064c
PC=000001f8, ---
PC=000001fc, REG[15]=00000660
PC=00000200, ---
PC=00000204, REG[10]=00000654
PC=00000208, ---
PC=0000020c, REG[ 1]=0000020c
PC=00000210, REG[ 1]=00000214
PC=000000b4, REG[15]=00000000
PC=000000b8, REG[15]=0000064c
PC=000000bc, ---
PC=000000c0, REG[15]=00004000
PC=000000c4, REG[15]=0000464c
PC=000000c8, ---
PC=000000cc, REG[16]=00000000
PC=000000d0, REG[15]=00000644
PC=000000d4, REG[13]=0000064c
PC=000000d8, REG[14]=00000644
PC=000000dc, ---
PC=000000e0, ---
PC=000000e4, ---
PC=000000fc, REG[11]=0000000c
PC=00000100, REG[12]=00000060
PC=00000104, REG[12]=000006ac
PC=00000108, ---
PC=0000010c, REG[17]=00000000
PC=00000110, ---
PC=00000114, REG[12]=00000000
PC=00000118, REG[12]=00000644
PC=0000011c, ---
PC=00000120, ---
PC=00000124, ---
PC=00000128, ---
PC=00000214, REG[14]=00000644
PC=00000218, ---
PC=0000021c, REG[15]=0000064c
PC=00000220, REG[12]=00000644
PC=00000224, REG[13]=0000000c
PC=00000228, ---
PC=0000022c, ---
PC=000002c8, REG[13]=00000644
PC=000002cc, ---
PC=000002d0, ---
PC=00000244, REG[ 1]=00000460
PC=00000248, REG[ 8]=00010000
PC=0000024c, ---
PC=00000250, REG[ 9]=00000000
PC=00000254, REG[18]=00000000
PC=00000258, REG[19]=00000000
PC=0000025c, REG[20]=00000000
PC=00000260, REG[10]=00000654
PC=00000264, REG[ 2]=0000ffe0
PC=00000268, ---
PC=00000460, REG[14]=00000004
PC=00000464, REG[15]=00000654
PC=00000468, ---
PC=0000046c, REG[14]=00000001
PC=00000470, ---
PC=00000474, ---
PC=00000478, REG[12]=00000002
PC=0000047c, REG[11]=00000005
PC=00000480, REG[10]=0000ffec
PC=00000484, ---
PC=00000488, REG[ 1]=00000488
PC=0000048c, REG[ 1]=00000490
PC=00000398, REG[ 2]=0000ffc0
PC=0000039c, ---
PC=000003a0, REG[18]=0000ffec
PC=000003a4, REG[10]=0000000c
PC=000003a8, ---
PC=000003ac, ---
PC=000003b0, ---
PC=000003b4, REG[ 9]=00000002
PC=000003b8, REG[19]=00000005
PC=000003bc, REG[ 8]=00000654
PC=000003c0, ---
PC=000003c4, REG[ 1]=000003c4
PC=000003c8, REG[ 1]=000003cc
PC=0000017c, REG[15]=00004000
PC=00000180, ---
PC=00000184, REG[ 2]=0000ffa0
PC=00000188, ---
PC=0000018c, ---
PC=00000190, ---
PC=00000194, ---
PC=00000198, ---
PC=0000019c, ---
PC=000001a0, REG[15]=00000000
PC=000001a4, REG[ 8]=0000000c
PC=000001a8, ---
PC=000001ac, REG[19]=00000000
PC=000001b0, REG[12]=00000644
PC=000001b4, REG[ 9]=00000014
PC=000001b8, ---
PC=000001bc, REG[15]=00000644
PC=000001c0, REG[13]=00000000
PC=000001c4, ---
PC=000001c8, REG[18]=00000000
PC=000001cc, REG[20]=00000000
PC=000001d0, ---
PC=000001e0, REG[14]=00000644
PC=000001e4, ---
PC=000001e8, REG[15]=00003fec
PC=000001ec, REG[14]=00003fd8
PC=000001f0, ---
PC=000001f4, REG[10]=00000660
PC=000001f8, ---
PC=000001fc, REG[15]=00000674
PC=00000200, ---
PC=00000204, REG[10]=00000668
PC=00000208, ---
PC=0000020c, REG[ 1]=0000020c
PC=00000210, REG[ 1]=00000214
PC=000000b4, REG[15]=00000000
PC=000000b8, REG[15]=0000064c
PC=000000bc, ---
PC=000000c0, REG[15]=00004000
PC=000000c4, REG[15]=0000464c
PC=000000c8, ---
PC=000000cc, REG[16]=00000000
PC=000000d0, REG[15]=00000644
PC=000000d4, REG[13]=00000660
PC=000000d8, REG[14]=00000644
PC=000000dc, ---
PC=000000e0, ---
PC=000000e4, ---
PC=000000fc, REG[11]=0000000c
PC=00000100, REG[12]=00000060
PC=00000104, REG[12]=000006c0
PC=00000108, ---
PC=0000010c, REG[17]=00000000
PC=00000110, ---
PC=00000114, REG[12]=00000000
PC=00000118, REG[12]=00000644
PC=0000011c, ---
PC=00000120, ---
PC=00000124, ---
PC=00000128, ---
PC=00000214, REG[14]=00000644
PC=00000218, ---
PC=0000021c, REG[15]=00000660
PC=00000220, REG[12]=00000644
PC=00000224, REG[13]=0000000c
PC=00000228, ---
PC=0000022c, ---
PC=000002c8, REG[13]=00000644
PC=000002cc, ---
PC=000002d0, ---
PC=00000244, REG[ 1]=000003cc
PC=00000248, REG[ 8]=00000654
PC=0000024c, ---
PC=00000250, REG[ 9]=00000002
PC=00000254, REG[18]=0000ffec
PC=00000258, REG[19]=00000005
