PC=00000000, REG[ 4]=00001000
PC=00000004, REG[ 5]=00001000
PC=00000008, REG[ 5]=00001008
PC=0000000c, REG[ 6]=00001000
PC=00000010, REG[ 6]=00001010
PC=00000014, REG[10]=00000002
PC=00000018, REG[ 2]=00000001
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[ 2]=00000001
PC=00000028, REG[ 3]=00000001
PC=0000002c, REG[ 3]=00000002
PC=00000030, ---
PC=00000034, REG[ 2]=00000001
PC=00000038, REG[ 3]=00000002
PC=0000003c, REG[ 3]=00000003
PC=00000040, ---
PC=00000044, REG[ 2]=00000002
PC=00000048, REG[ 3]=00000003
PC=0000004c, REG[ 3]=00000005
PC=00000050, ---
PC=00000054, REG[ 2]=00000003
PC=00000058, REG[ 3]=00000005
PC=0000005c, REG[ 3]=00000008
PC=00000060, ---
PC=00000064, REG[ 6]=00001030
PC=00000068, REG[ 4]=00001020
PC=0000006c, REG[ 5]=00001028
PC=00000070, REG[11]=00000001
PC=00000074, REG[10]=00000006
PC=00000078, ---
PC=00000024, REG[ 2]=00000005
PC=00000028, REG[ 3]=00000008
PC=0000002c, REG[ 3]=0000000d
PC=00000030, ---
PC=00000034, REG[ 2]=00000008
PC=00000038, REG[ 3]=0000000d
PC=0000003c, REG[ 3]=00000015
PC=00000040, ---
PC=00000044, REG[ 2]=0000000d
PC=00000048, REG[ 3]=00000015
PC=0000004c, REG[ 3]=00000022
PC=00000050, ---
PC=00000054, REG[ 2]=00000015
PC=00000058, REG[ 3]=00000022
PC=0000005c, REG[ 3]=00000037
PC=00000060, ---
PC=00000064, REG[ 6]=00001050
PC=00000068, REG[ 4]=00001040
PC=0000006c, REG[ 5]=00001048
PC=00000070, REG[11]=00000001
PC=00000074, REG[10]=0000000a
PC=00000078, ---
PC=00000024, REG[ 2]=00000022
PC=00000028, REG[ 3]=00000037
PC=0000002c, REG[ 3]=00000059
PC=00000030, ---
PC=00000034, REG[ 2]=00000037
PC=00000038, REG[ 3]=00000059
PC=0000003c, REG[ 3]=00000090
PC=00000040, ---
PC=00000044, REG[ 2]=00000059
PC=00000048, REG[ 3]=00000090
PC=0000004c, REG[ 3]=000000e9
PC=00000050, ---
PC=00000054, REG[ 2]=00000090
PC=00000058, REG[ 3]=000000e9
PC=0000005c, REG[ 3]=00000179
PC=00000060, ---
PC=00000064, REG[ 6]=00001070
PC=00000068, REG[ 4]=00001060
PC=0000006c, REG[ 5]=00001068
PC=00000070, REG[11]=00000000
PC=00000074, REG[10]=0000000e
PC=00000078, ---
PC=0000007c, REG[ 2]=000000e9
PC=00000080, REG[ 3]=00000179
PC=00000084, REG[ 3]=00000262
PC=00000088, REG[ 4]=00001068
PC=0000008c, REG[ 5]=00001070
PC=00000090, ---
PC=00000094, REG[ 6]=00001078
PC=00000098, REG[ 2]=00000179
PC=0000009c, REG[ 3]=00000262
PC=000000a0, REG[ 3]=000003db
PC=000000a4, REG[ 4]=00001070
PC=000000a8, REG[ 5]=00001078
PC=000000ac, ---
PC=000000b0, REG[ 6]=00001080
PC=000000b4, ---
